Sr. no,GRI 14 Content,Underlying GRI Topic Standard,Vedanta Coverage,Page no.,Disclosure
1,Climate Change,GRI 102: Climate Chnage 2025 + GRI 103: Energy 2025 (was GRI 302: Energy 2016 + GRI 305: Emmissions 2016 pre-V1.1),Strong,104-121,"302-1-302-5, 305-1-305-7, 201-2, GRI 11.2.4"
3,Air Emissions,GRI 305: Emissions 2016,Moderate,"117, 196-204","305-7 (NOx, SOx, PM significant air emissions)"
4,Biodiversity,GRI 101: Biodiversity 2024 (Vedanta reports against legacy GRI 304: Biodiversity 2016),Strong,"134Ð143, 196-204","304-1, 304-2, 304-3, 304-4"
5,Waste,GRI 306: Waste 2020,Strong,"132, 144-149, 196-204","306-1, 306-2, 306-3, 306-4"
6,Tailings,No GRI Topic Standard (sector-specific disclosures only),Moderate,"150-151, 196-204","14.6.2 (tailings disposal methods), 14.6.3 (tailings facilities)"
7,Water and Effluents,GRI 303: Water and Effluents 2018,Strong,"122-131, 196-204","303-1, 303-2, 303-3, 303-4, 303-5"
8,Closure and Rehabilitation,GRI 402: Labor/Management Relations 2016 + GRI 404: Training and Education 2016,Partial,"77-88, 196-204","402-1, 404-2, 14.8.4, 14.8.5"
9,Economic Impacts,GRI 201: Economic Performance 2016 + GRI 203: Indirect Economic Impacts 2016 + GRI 204: Procurement Practices 2016,Moderate,"196-204, 209, 229","201-1, 203-1, 203-2, 204-1"
10,Local Communities,GRI 413: Local Communities 2016,Moderate,206-207,"413-1, 413-2, 14.10.4"
11,Rights of Indigenous Peoples,GRI 411: Rights of Indigenous Peoples 2016,Moderate,80-82,"411-1, 14.11.3, 14.11.4"
12,Land and Resource Rights,No GRI Topic Standard (sector-specific disclosures only),Partial,77-88,14.12.2 (involuntary resettlement)
13,Artisanal and Small-Scale Mining,No GRI Topic Standard (sector-specific disclosures only),Minimal,N/A,N/A (no dedicated ASM disclosure found)
14,Security Practices,GRI 410: Security Practices 2016,Moderate,"86, 204",410-1
15,Critical Incident Management,"GRI 306: Effluents and Waste 2016 (spills content, Disclosure 306-3, remains in effect)",Moderate,154-163,"306-3, 14.15.3 (critical incidents), 14.15.4 (emergency preparedness)"
16,Occupational Health and Safety,GRI 403: Occupational Health and Safety 2018,Strong,"154-163, 196-204","403-1, 403-2, 403-3, 403-4, 403-5, 403-6, 403-7, 403-8, 403-9, 403-10"
17,Employment Practices,GRI 202: Market Presence 2016 + GRI 401: Employment 2016 + GRI 402: Labor/Management Relations 2016 + GRI 404: Training and Education 2016 + GRI 414: Supplier Social Assessment 2016,Strong,"154-169, 196-204, 209-210","202-1, 401-1, 401-2, 401-3, 402-1, 404-1, 404-2, 414-1"
18,Child Labour,GRI 408: Child Labour 2016 + GRI 414: Supplier Social Assessment 2016,Partial,83-84,"408-1, 414-1"
19,Forced Labour and Modern Slavery,GRI 409: Forced or Compulsory Labour 2016 + GRI 414: Supplier Social Assessment 2016,Partial,83-84,"409-1, 414-1"
20,Freedom of Association and Collective Bargaining,GRI 407: Freedom of Association and Collective Bargaining 2016,Partial,"85, 204",407-1
21,Non-discrimination and Equal Opportunity,GRI 202: Market Presence 2016 + GRI 404: Training and Education 2016 + GRI 405: Diversity and Equal Opportunity 2016 + GRI 406: Non-discrimination 2016,Strong,"164-169, 204, 207-210","202-2, 404-1, 405-1, 405-2, 406-1"
22,Anti-corruption,GRI 205: Anti-corruption 2016,Moderate,170-178,"205-1, 205-2, 205-3"
23,Payments to Governments,GRI 201: Economic Performance 2016 + GRI 207: Tax 2019,Strong,26-34 (Tax Transparency Report FY2024),"201-1, 201-4, 207-1, 207-2, 207-3, 207-4"
24,Public Policy,GRI 415: Public Policy 2016,Partial,210,415-1
25,Conflict-affected and High-risk Areas,No GRI Topic Standard (sector-specific disclosures only),Minimal,N/A,N/A (Vedanta does not have explicit conflict-area disclosures)
