disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,351.53,51-60%,532115,2024,2900000.0,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,1355,41-50%,1160340,2024,1485582,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,101.3,21-30%,1715062,2024,1677047.0,2030,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,268.0,21-30%,116000,2022,1230000.0,2038,GBP Pound Sterling,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,Federal district,3054.0,61-70%,710317,2024,827365,2041,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,587.0,11-20%,2715450,2024,3036099.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,778.0,31-40%,8804190.0,2020,9400000.0,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,1595.0,41-50%,9060855,2024,9897222,2050,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,188.0,61-70%,995574,2024,1057700,2034,SEK Swedish Krona,CRF Complete level
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,National,Local government area within a greater metropolitan area,3465,21-30%,1519509,2022,1647398,2040,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,368.0,11-20%,669679,2023,980000,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,1218.0,21-30%,3814318,2024,4871244.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,115.64,51-60%,589670,2024,590303,2038,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,906.1,21-30%,364136,2023,405257.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,115.1179,21-30%,311976,2023,315038,2040,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,Town,5013,I do not have this data,327055,2023,338071,2040,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,75,31-40%,331077,2024,344928,2032,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,454.0,61-70%,724300,2025,743000.0,2030,NOK Norwegian Krone,CRF Complete level
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,45.59,61-70%,162100,2021,160791,2026,GBP Pound Sterling,CRF Complete level
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,375.55,21-30%,648097,2023,774219,2045,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,40.4,21-30%,178200,2023,189334,,GBP Pound Sterling,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,217.0,61-70%,797700,2024,800000.0,2035,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Other: District/Borough Council,County / Province,Town,144.2,61-70%,152223.0,2021,165043.0,2030,GBP Pound Sterling,
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Local parish,407,61-70%,83075,2021,102203.0,2050,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Consolidated city-county,No lower level of government,114.97,21-30%,680848,2024,990690,2050,CAD Canadian Dollar,CRF Simplified level
