disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate component,"col2_Other types of governments engaged in the development, implementation and/or monitoring of component",col3_Outline the purpose of this engagement,col4_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate action plan,Lower level of government|National-level government,To facilitate information sharing across different levels of government|To facilitate capacity building across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government,"The CoA's previous greenhouse gas (GHG) reduction target was 40 percent below 2009 levels by 2030. To help meet this target, steps were taken to reduce energy consumption in commercial and residential buildings, reduce transportation GHG emissions, and increase waste diversion rate to landfills up to 80% by 2020. The different sectors chosen to quantify the metrics are green space, energy production, commercial buildings, residential buildings, transportation & mobility, water consumption, materials management & recycling, food security, and green space access."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Community-wide GHG emissions inventory,Lower level of government,To facilitate information sharing across different levels of government|To facilitate capacity building across different levels of government|To collect data and/or feedback from other levels of government to inform its development|To facilitate the integration of this component into assessments and policy developed across different levels of government,"The last Atlanta Community-Wide Inventory was conducted in 2023. This was developed with guidance from the Global Protocol for Community-Scale Greenhouse Gas Inventory (GPC) with the following sectors calculated CO2e through ClearPath: Energy, Transportation, Solid Waste, Water & Wastewater, and Agriculture Forestry & Other Land Use (AFOLU). The emissions are divided between 3 measurement scopes: physically within the city (scope 1), outside the city (scope 3), and the use of electricity, steam, and heating/cooling from grids (scope 2). A new methodology change for the 2021 & 2023 inventories was to convert the Electricity Factor Set from SERC South to Georgia Power GRID, this is to create more of an accurate local model of GHG accounting."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,4,Row 4,Other: Resilient Atlanta: Atlanta's Resilient Action Strategy,Lower level of government,To facilitate information sharing across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate capacity building across different levels of government,"Over the last decade, agencies and organizations across Atlanta have produced a range of reports and frameworks establishing a vision for the future of the city. Resilient Atlanta builds on these efforts by bringing together decades of planning and applying a resilience lens to projects previously identified or already underway. This Strategy sets specific Visions, Targets, and Actions in order to ensure that our future Atlanta is a more equitable, connected, transparent, and sustainable city. In total 4 visions (aspirational guides that will lead to a resilient region), 16 targets (measured goals for tracking progress toward achieving the visions) and 57 Actions (policies, programs, or practices that the City and partners will implement to reach targets).https://resilientcitiesnetwork.org/downloadable_resources/Network/Atlanta-Resilience-Strategy-English.pdf"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,5,Row 5,Climate adaptation goal,Lower level of government,To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate capacity building across different levels of government,"To tackle the serious consequences of burning fossil fuels, in 2017, the CoA passed the Clean Energy Resolution, which pledged to transition the city to 100 percent clean energy for City operations and community-wide by 2035. Transforming the way electricity is produced and used is a tremendous opportunity to help the City develop in ways that are more equitable, resilient, sustainable, healthy, and profitable. The choices we make now can serve as a stimulus to advance equity, create jobs, improve public health, and slash Atlanta's contribution to climate change. The Clean Energy Resolution defines “clean energy” as “energy derived from wind, solar, existing and low impact hydroelectric, geothermal, biogas, and wave technology sources” and directs the City of Atlanta Mayor's Office of Resilience to develop a plan for the city to transition to 100 percent clean energy by 2035. The resolution also states that this transition plan would include “interim milestones, budget estimates, equity metrics (such as, but not limited to, energy burden), estimated financial impacts, financing mechanisms, and the percentage of clean energy that shall be locally and distributivity generated.” In response, OSR led in the drafting of the Clean Energy Atlanta Plan and was voted on and adopted in a resolution from City Council in March of 2019. As specifically recognized in the Clean Energy Atlanta Plan, this is not only about climate related GHG mitigation, but also a commitment and goal for climate adaptation. As stated in Clean Energy Atlanta, Electricity generation requires a tremendous amount of water, which is used to cool power plants and to produce steam which is then used to generate electricity. In 2010, power generation was responsible for 40 percent of freshwater withdrawals in Georgia. To meet Atlanta's 2018 electricity demands, approximately 2.2 billion gallons of water were consumed from Atlanta's waterways. This exceeds Atlanta's direct use of water by more than 10 percent. The increasing use of renewable energy under business-as-usual practices will reduce water needs for electricity. However, the planned addition of more nuclear power and combined-cycle natural gas power plants removes some of these water-saving benefits. Under business as usual, projected water consumption needed to meet Atlanta's electricity demand are 2 billion gallons in 2035. The CoA only has approximately 1-2 months of backup water supply with the addition of the new Westside Quarry Park reservoir. Atlanta's clean energy goals are directly linked to water usage, and decreasing our dependence on water-intensive means of energy production which enhances our resilience and will help Atlanta further adapt to climate related droughts that are already historically impacting the Midwest (100atl.com). The 2018 City of Atlanta Green Infrastructure Action Plan is directly connected to Atlanta's resilience strategy and sets climate adaptation goals in terms of mitigating flooding with the increase of frequency and intensity of storms the City is and will continue to face more and more. Green infrastructure (GI) is a cost-effective way for the CoA to address localized flooding and water quality concerns from stormwater runoff, while improving the resiliency of our watersheds and natural resources in the face of rapid growth and climate change. These types of infrastructure investments also provide significant environmental, economic, and community benefits to City of Atlanta residents. This Action Plan is needed to help address institutional and funding barriers, steer policy, increase effectiveness, and engage multiple city departments, citizens, the development community, and environmental groups in implementing GI at scale across the City. As part of its 2022 strategic action plan, the Department of Watershed management goes into further detail it's focus on multiple objectives to support the adaptation goal of establishing and maintaining a safe and reliable 30-day emergency water supply, while also making Atlanta more resilient and adaptable to climate-related flooding and urban heat impacts through the implementation of DWM's Green Infrastructure Strategic Action Plan. DWM's 2018 GREEN INFRASTRUCTURE STRATEGIC ACTION PLAN: https://drive.google.com/file/d/1u65BWi5qBFA-iYQmdBLm9wAVE7yHJnyf/view?usp=sharing, DWM 2022 Strategic Action Plan https://www.atlantawatershed.org/sp2022/"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government,"To facilitate capacity building across different levels of government|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)","We are leading a regional climate action planning process as part of the EPA's Climate Pollution Reduction Grant (CPRG) program, for the five-county Austin - Round Rock - Georgetown Metropolitan Statistical Area"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate risk and vulnerability assessment,State/Regional-level government,To facilitate capacity building across different levels of government|To facilitate information sharing across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government,"We are working with Travis County, the University of Texas, and local entities to revisit our climate risk and vulnerability assessment. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Community-wide GHG emissions inventory,State/Regional-level government,To facilitate capacity building across different levels of government|To collect data and/or feedback from other levels of government to inform its development|To facilitate information sharing across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government,"We work with Travis County to collect data, align methodologies, and report community-wide GHG emissions."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government|Higher level of government (not listed above)|Lower level of government|National-level government,To facilitate information sharing across different levels of government,"Some of the actions and objectives of the Climate Plan depend in part on other levels of government because the City Council does not have full powers. To do this, it shares workspaces and collaborates with other administrations at different levels: Ministries (Government of Spain), Generalitat de Catalunya (Regional Government), Barcelona Provincial Council (provincial administration) and Barcelona Metropolitan Area. Likewise, the plan is also developed at the district and neighborhood level, so it must be coordinated with the different district management offices. "
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate adaptation goal,National-level government,"Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)","Having successfully secured and utilised £296,550 of revenue support for utility and chemical cost pressures across our swimming pools from phase I of Sport England's Swimming Pool Support Fund, the City Council has subsequently been awarded a further £250,000 under phase II, match funded with £118,643 from the UK Shared Prosperity Fund, totalling £368,643. The funding will be used to provide new efficient gas boilers and pool covers at Handsworth Wellbeing Centre"
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Other: Net Zero Neighbourhood Retrofit Bid,State/Regional-level government,To facilitate capacity building across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government,"The Local Net Zero Accelerator (LNZA) programme has been funded by the Department for Net Zero and Energy Security and the West Midlands Combined Authority (WMCA) has been tasked with implementing the programme with its member Local Authorities. Each Authority has chosen a neighbourhood and there is approximately £545,000 over 2 years for each Authority to explore how neighbourhood wide net zero measures can be funded. They are particularly interested in gathering evidence to attract impact investors and patient capital. In Birmingham, Castle Vale has been chosen and the focus of the LNZA will be on the creation of a community energy co-operative using roof top solar. Profits from the co-operative will be modelled and the impact of using these profits to invest in retrofit measures analysed. This will involve equipping homes with sensors, undertaking retrofit assessments, understanding possible heat network opportunities as well as the development of a neighbourhood investment portfolio."
