disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Civil society: Climate initiatives/networks,Collaborative initiative,Adaptation|Forestry|Natural environment|Water|Industry|Energy|Building and Infrastructure|Emissions reduction|Agriculture|Waste|Transport (Mobility),"The Climate Resilient ATL plan that is being currently drafted, incorporating feedback from the community through surveys, innovation labs, visioning sessions, CoA departments, and the Climate Resilience Advisory Board. A diverse range of stakeholders is giving insight into the actions that will be incorporated in the plan. This will be focused on mitigation and adaptation strategies informed by this feedback and a Climate Resilience Vulnerability Assessment. This plan is a collaborative effort between Atlanta residents, climate and sustainability advocacy, and municipal departments.",Climate initiatives/networks|Residents/community groups|Utilities|Agriculture|Vulnerable population groups|Energy|Waste|Education sector|Transport|Academia|Faith-based organizations|NGO and associations|Financials
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Civil society: NGO and associations,Collaborative initiative|Knowledge or data sharing,Energy|Building and Infrastructure|Inclusive climate action and/or equity|Agriculture|Food|Waste|Transport (Mobility)|Water|Resilience|Landscape and jurisdictional approaches|Adaptation|Finance|Public health|Industry|Emissions reduction|Social Services|Forestry|Education,"On September 19, 2016, the City of Atlanta hosted an Agenda Setting Workshop at The Carter Center. It was well attended by a diverse cross section of Atlanta stakeholders and was the initial kick-off of the Resilient Atlanta effort. In November 2016, the City of Atlanta hired its first Chief Resilience Officer (CRO) and expanded, restructured, and renamed the Mayor's Office of Sustainability to become the Mayor's Office of Resilience. The CRO is an innovative position in city government that serves on the Mayor's Cabinet and coordinates resilience efforts across the City. From November 2016 to October 2017, Atlanta's CRO and her team worked with over 7,000 Metro Atlantans to develop a clear actionable set of initiatives that articulate their aspirations for the city's future. Diversity is a cornerstone of Atlanta's rich history and culture, so the process was designed to ensure a broad range of participants representing Metro Atlanta's communities, neighborhoods, and perspectives. ",Residents/community groups
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Civil society: NGO and associations,Climate action plan implementation,Resilience|Food|Agriculture|Education|Social Services|Inclusive climate action and/or equity|Waste|Public health,"City of Atlanta's OSR and Department of City Planning helped create and fund AgLanta which represents a combination of agriculture and Atlanta to help tackle issues like food insecurity that is widespread in Atlanta. It's goal is to create a more equitable access to fresh, healthy food in low-income, food desert areas of Atlanta and make sure 85% of Atlanta residents are within a 1/2 mile of fresh food. Some of AgLanta's programs include Urban Food Forest at Browns Mill, AgLanta grown, AgLanta \'Grows-A-Lot\', and Food Matters. The Urban Food Forest is the city's first managed food forest and the seven acre city owned land is located in Lakewood. The area is identified as a food desert so residents who have difficulty with transportation or financial issues can have a local source to buy locally grown produce. Carbon emissions can be greatly lowered by reducing the distance residents travel for a necessity like food and also cutting down transportation emissions from trucks supplying the food to grocery stores from farms. AgLanta \'Grows-A-Lot\' helps entrepreneurs, non-profits, and residents to create food forests of their own by adopting an empty public property to help create a new urban garden or urban farm. Excluding the food forest at Browns Mill, 7 other food forests have been adopted in places like Mechanicsville, Carver Hills, Venetian Hills, Downtown, Fairburn Heights, Vine City, and Oakland City. The Food Matters program is focused on saving the percentage of produce wasted which is up to 40% of all produce. Reducing food waste has environmental, societal, and economic benefits as less food is in landfill producing methane and carbon emissions and more disadvantaged communities can have access to the food that's not being used. Preventing food waste is reducing the quantity of food wasted, recovery is utilizing the excess food, and composting is using food scraps for soil nutrition which help grow healthier crops and sequester carbon.https://www.aglanta.org/",Vulnerable population groups|Residents/community groups
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Civil society: NGO and associations,Funding (grants)|Circular economy business model support,Waste|Education,"Lifecycle building center, rebuild ATL coalitionThe Lifecycle Building Center focuses on the waste produced in Atlanta to help reuse the materials from construction or donations from residents in the city. The City of Atlanta alongside the Environmental Protection Agency provided LBC with $80,000 in environmental assessment grant to help acquire the warehouse property in Oakland City that was at risk of demolition, so the program's origins were in reusing the property. With their efforts they hope to reduce solid waste disposal and increase resource efficiency and to this date they have diverted 5.6 million pounds of building materials from the landfills. Material reuse uses less energy than recycling and still reduces landfill waste and conserving environmental limited resources. https://www.lifecyclebuildingcenter.org/material-donation",National government
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Civil society: Residents/community groups,Collaborative initiative|Policy and regulation development/ implementation|Climate action plan implementation|Convening industry groups|Project implementation and management|Capacity development|Knowledge or data sharing,Emissions reduction|Building and Infrastructure|Transport (Mobility)|Adaptation|Resilience|Education|Energy,"The members of the Climate Resilience Advisory Board are appointed for a two-year term and represent diverse perspectives including that of civic leaders, public, nonprofit, private sectors, community-based organizations, academia, youth climate advocates, and community members from Atlanta's most energy burdened Neighborhood Planning Units. The board meets quarterly and develops recommendations to advise Mayor Dickens and Chief Sustainability Officer Farley on climate solutions that drive the City's goals and plan of action.",National government|Academia|Energy|Agriculture|NGO and associations|Residents/community groups|Education sector|Vulnerable population groups
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",7,Row 7,Civil society: Residents/community groups,Labour market training initiatives|Collaborative initiative,Emissions reduction|Energy|Social Services|Education|Public health|Building and Infrastructure,"For the WeatheRISE program, the City has collaborated with three implementation partners currently: Sustainable Georgia Futures, Greenlink Analytics, and Partners in Action for Healthy Living (PAHL) to perform home energy audits and weatherization upgrades for low-income residents currently facing energy burden. Canvasing in the most energy-burdened neighborhoods was conducted to educate on the program, collect surveys, and to be able to evaluate the homes that would move forward to the audit stage and then the retrofitting. There were 5,400 people's doors were knocked, to engage in this process and serve as a repository for future funding and other energy efficiency programming. ",Energy|Vulnerable population groups|NGO and associations
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Business: Energy,Reporting of climate and/or environmental data|Convening industry groups|Knowledge or data sharing,Waste|Transport (Mobility)|Energy|Emissions reduction|Resilience|Building and Infrastructure|Water|Adaptation,"Austin Energy, the publicly owned utility for the City of Austin is a partner in climate action and provides technical expertise and insight, as well as relevant, up-to-date data for implementation tracking. We also partner with local businesses, non-profits, and community orgs through the Green Business Leadership program and other Office of Sustainability Initiatives. The Office of Sustainability manages meetings and workshops to brainstorm, plan, implement and track climate mitigation, adaptation and resilience work. Through upcoming climate finance opportunities, we expect this collaboration to grow.",Residents/community groups|Academia|Climate initiatives/networks
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Local government within country/area,Collaborative initiative|Reporting of climate and/or environmental data|Multi-jurisdictional regional collaboratives|Knowledge or data sharing|Capacity development,Resilience|Emissions reduction|Adaptation,"Through strategies in the Climate Equity Plan and direct engagement with City departments and the Travis County government, work is underway on collaborative, regional climate action implementation.",Neighboring local government|Regional government
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Civil society: Academia,Knowledge or data sharing|Collaborative initiative|Climate action plan implementation|Procurement|Capacity development|Funding (grants)|Reporting of climate and/or environmental data|Convening industry groups|Circular economy business model support,Resilience|Adaptation|Waste|Emissions reduction|Industry|Public health|Energy|Education|Food,"In 2020, the City of Austin approved a five-year interlocal agreement (ILA) between the City and The University of Texas at Austin that streamlines and coordinate research efforts between the two organizations. This has allowed us to save time, money, and allowing staff to meet the needs of City residents more easily. Prior to the adoption of the ILA, the process to identify research partners and secure funding was time-consuming and decentralized. Now, the ILA streamlines city research projects by establishing pre-negotiated terms and conditions, removing administrative barriers, and pre-approving $7.5 million for research, consulting and technical assistance from UT faculty and researchers. To date, multiple projects have used the ILA to advance research and projects to address challenging civic issues. Some of those projects include updating climate projections, a projections of Green Job opportunities in Austin, support tool for promoting equitable Transit-Oriented Development, mapping ambient heat in low-income communities and improving housing conditions and stability for residents experiencing gentrification, and advancing a localized air quality monitoring network. Recently, staff from the Office of Sustainability have worked with UT Austin faculty, community organizers and community members to map heat in low-income communities and For the Resilience Hub Network initiative, City of Austin staff continue their collaboration with Austin Independent School District (AISD) and Travis County staff to explore what it would take to deliver on the Resilience Hub resolution's intent. This initiative represents a robust collaborative among key Central Texas agencies, which yield a strong long-term program aimed at better preparing our community to respond to and bounce back from extreme events. Organizations participating in the initiative include local hospitals, community organizers, food pantries, disaster relief organizations, and other groups representing low-income, communities of color.The Office of Sustainability partnered with the UT School of Public Health and Dell Medical School to assess community food needs during the COVID-19 pandemic response utilizing call data from United Way's 211 hotline. Additionally, the Office of Sustainability contracted the Division of Community Engagement and Healthy Equity at Dell Medical School at UT Austin to identify community needs related to food access during the heigh of the COVID-19 pandemic by gathering data from local organizations. The research contributed to the strategy for emergency food access implemented by the City of Austin's Emergency Operations Center.The Austin Climate Equity Plan was adopted in September 2021. The process to strategize and draft the plan was highly collaborative and involved partnerships and relationship-building with community-based organizations, academics, practitioners, and included the creation of a pilot Community Climate Ambassadors Program. Now that the plan has been passed, the City is in the process of creating an implementation framework that can continue to expand community engagement and move the City to a community ownership model of decision-making. ",Regional government|Utilities|Energy|Other: Many local community orgs|Neighboring local government|Health Care
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Government/Public body: Neighboring local government,Capacity development|Requirement to develop and implement emissions reduction target|Requirement to develop emissions inventory|Funding (grants)|Collaborative initiative|Reporting of climate and/or environmental data|Multi-jurisdictional regional collaboratives,Transport (Mobility)|Agriculture|Building and Infrastructure|Industry|Inclusive climate action and/or equity|Landscape and jurisdictional approaches|Finance|Emissions reduction|Natural environment|Waste|Energy|Forestry,"The City of Austin is collaborating with cities, counties, and regional agencies in the five-county Austin - Round Rock - Georgetown MSA on a regional climate action planning process.",Education sector|NGO and associations|Waste|Utilities|Residents/community groups|Vulnerable population groups|Transport|Energy
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Government/Public body: Neighboring local government,Project implementation and management|Collaborative initiative|Funding (grants),Emissions reduction|Transport (Mobility),"The City of Austin is leading a Transportation Demand Management project, funded by the EPA's Climate Pollution Reduction Grant. The project aims to mitigate traffic impact caused by construction in the region to support mode shift away from single-occupancy vehicles.",NGO and associations|Transport|Residents/community groups|Regional government|National government|Vulnerable population groups|Construction
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: Climate initiatives/networks,Funding (grants),Other: ,"The call for subsidies for the climate seeks to encourage projects that promote the fight against the climate crisis and proposals for solutions to achieve the objectives of the plan. The objective is to promote citizen involvement and support collective actions, especially the most innovative initiatives. All projects subsidized during 2020 were made up of three or more entities and a maximum of 80% of the project was financed, with a limit of €20,000 per project. In this second edition, endowed with €200,000, 60 proposals have been submitted, of which 11 projects have been selected in different fields such as: sustainable mobility; consumption and waste; Energy; green and biodiversity; water and culture and sustainability.By 2023 1 million € have been allocated to citizen subsidies. Next call will be in 2025.",Other: Barcelona més Sostenible
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: Regional government,Knowledge or data sharing,Energy,ICAEN (Catalan Energy Institute) provides valuable information disaggregated by economic sector and energy source to deliver Barcelona city inventories on time.,Public authority
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Business: Energy,Funding (grants)|Collaborative initiative|Project delivery - Public Private Partnership,Building and Infrastructure,"The Energy Company Obligation (ECO) is a government energy efficiency scheme designed to tackle fuel poverty and help reduce carbon emissions, which is currently in its 4th iteration, ECO4, running from April 2022 to March 2026. Over the last year the council has identified several opportunities and made significant progress on drawing investment for Birmingham's homes through the ECO retrofit programme. Building on our previous experience with ECO and learning from best practice examples from other local authorities, including Greater Manchester Combined Authority and Liverpool City Council, Birmingham City Council took the bold decision to procure ECO installer partners to deliver home retrofit measures. The two partners have already commenced installations across the city and are working with the council, communities and other stakeholders, to drive the delivery of energy efficiency measures to Birmingham homes. The initiative aims to harness £45m per year of private investments, achieve estimated fuel bill savings of £1.2m, and reduce the carbon emissions from the city's homes by 4,500 tonnes per year.",Residents/community groups|Climate initiatives/networks|Vulnerable population groups
