disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Percentage of region's natural forest area characterized by the forest ownership category,col2_Please explain
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,12,"57,000 ha of broadleaves is owned/managed by FLS. At this moment we do not have figures on ownership in relation to 'native', so 'broadleaves' are used as a close proxy."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,We have no land fitting into this category.
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,1,"We don't have an exact figure for community ownership of semi-natural woodlands, but we know the figure is low."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,87,"377,000 ha of broadleaves are owned/managed by private sector. We do not have figures on ownership in relation to 'native', so 'broadleaves' are used as a close proxy."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",90.0,"350,000 ha of broadleaves is owned/managed by private sector. At this moment we do not have figures on ownership in relation to 'native', so 'broadleaves' are used as a close proxy."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,5.5,"Segundo dados do SIGA/GO 5506,15 km² no Estado são Áreas Protegidas UCs - Proteção Integral, compreendendo as áreas federais, estaduais e municipais. Os entes implementam política para regularização fundiária destas áreas. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,3.11,"Segundo dados do SIGAA/GO 404,63 km² no Estado são Terras Indígenas e 2.824,65 km² e Territórios Quilombolas. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0.0,"O estado não possui esse dado. Mas pode haver terras privadas pertencentes a quilombolas, segundo legislação vigente. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,82.23,"O dado de florestas em terras privadas foi obtido a partir do cruzamento dos remanescentes de vegetação nativa do estado (segundo coleção do Mapbiomas de 2022, precisão de 10 metros), com os imóveis inscritos no Cadastro Ambiental Rural (CAR), com eliminação de áreas sobrepostas no CAR. Segundo a lei LEI Nº 12.651, DE 25 DE MAIO DE 2012 o cadastro ambiental rural integra informações ambientais de propriedades e posses rurais, no entanto o cadastramento não será considerado título para fins de reconhecimento do direito de propriedade ou posse, assim é um dado declaratório que só será validado após a análise. No entanto, com a eliminação de sobreposições feita na análise, é um dado confiável para saber a porcentagem de vegetação nativa que está sob gestão de particulares. Não obstante, o dado pode ser atualizado ano a ano, na medida em que os CARs são validados ou cancelados. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",9.16,"Esta categoria abrange áreas onde não foi possível identificar propriedades, incluindo terras não inscritas no CAR, não cadastradas no sistema de gestão fundiária ou terras devolutas que não foram destinadas a Unidades de Conservação, comunidades tradicionais, ou que não possuem posse registrada e demarcada no CAR"
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,12,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,30,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,5,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,50,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",3,
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,17.87,"Valor de 653.770,70 ha se refere às unidades de conservação administradas pelos governos Municipais, Estadual e Federal. Contempla as categorias \'Proteção Integral\' e \'Uso Sustentável\', com áreas sobre domínio público e privado. As informações foram retiradas do Inventário Florestal Catarinense (projeto MonitoraSC)."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,2.61,"Percentual referente ao total de 97.325 ha. Dados retirados da plataforma MapBiomas. Compreende áreas de floresta natural em: \na) territórios indígenas (Terras Indígenas e Reservas Indígenas) das etnias Guarani, Kaingang e Laklãnõ, em diferentes estágios de regularização;\nb) territórios quilombolas em diferentes estágios de regularização; e\nc) áreas de assentamentos da reforma agrária. "
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0,não há áreas desta categoria em Santa Catarina
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,0.78,"Dados se referem às Reservas Particulares do Patrimônio Natural (RPPN) reconhecidas a nível Federal, Estadual e Municipal, que totalizam 29.133,25 ha no ano de 2017. As informações foram retiradas do Inventário Florestal Catarinense (projeto MonitoraSC)."
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,65,"Federal management including USFS, BLM and NPS"
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,5,"State, County, City, Tribal and NGOs"
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0,NA
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,30,Private Landowners
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",0,NA
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,27,"See USDA's Forests of Maryland 2021 FIA Annual Snapshot, https://www.fs.usda.gov/nrs/pubs/ru/ru_fs376.pdf\n\n"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0,
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,73,"See USDA's Forests of Maryland 2021 FIA Annual Snapshot, https://www.fs.usda.gov/nrs/pubs/ru/ru_fs376.pdf\n"
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,29,"State, municipal and federal owned forest as per USDA Forest Service FIA Program (2018)"
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,Not listed on the USDA Forest Service FIA Program
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,1,Not listed on the USDA Forest Service FIA Program
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,71,Privately owned forest as per USDA Forest Service FIA Program (2018)
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",0,Not listed on the USDA Forest Service FIA Program
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,56.3,"This includes total forestland administered by government (44.1% Federal, 10.6% State trust lands, 1.6% county and municipal). Source: https://www.wfpa.org/wp-content/uploads/2017/11/forestfacts-and-figures10.pdf"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,7,7% of forestland within WA boundaries is administered by tribes. Source: https://www.wfpa.org/wp-content/uploads/2017/11/forestfacts-and-figures10.pdf
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,,"We don't have data on this category, but it is a relevant category for Washington Source: https://www.wfpa.org/wp-content/uploads/2017/11/forestfacts-and-figures10.pdf"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,36.7,36.7% of forestland in Washington is administered by Industrial and nonindustrial private landowners. Source: https://www.wfpa.org/wp-content/uploads/2017/11/forestfacts-and-figures10.pdf
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,56,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,36.0,"Percentage only available for total forest area.Includes state, federal, and county lands."
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,64.0,Private ownership may include ownership by community and indigenous groups.
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,10.0,"6,969 ha of Ancient Woodland Sites excluding Plantations on Ancient Woodland Sites (PAWS)."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,60.0,"Of the approximately 27 million acres of forest in California, federal agencies (including the United States Forest Service, Bureau of Land Management, and National Park Service) own and manage 57%. State, local, and other public agencies including the California Department of Forestry and Fire Protection, local open space, park and water districts and land trusts own another 3%."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,1.0,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,39.0,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",0,
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,1.7,Datos elaborados por la Dirección Xeral de Ordenación Forestal recogidos en el “Documento de diagnóstico del monte y el sector forestal gallego” de la 1ª REVISIÓN DEL PLAN FORESTAL DE GALICIA. https://distritoforestal.es/images/DIAGNOSTICO_PFG_CAST_1.pdf
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,no aplica
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,33.1,Datos elaborados por la Dirección Xeral de Ordenación Forestal recogidos en el “Documento de diagnóstico del monte y el sector forestal gallego” de la 1ª REVISIÓN DEL PLAN FORESTAL DE GALICIA. https://distritoforestal.es/images/DIAGNOSTICO_PFG_CAST_1.pdf Montes abertales y montes vecinales en man común. \nEn Galicia existen 3072 comunidades de montes vecinales.
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,64.2,Datos elaborados por la Dirección Xeral de Ordenación Forestal recogidos en el “Documento de diagnóstico del monte y el sector forestal gallego” de la 1ª REVISIÓN DEL PLAN FORESTAL DE GALICIA. https://distritoforestal.es/images/DIAGNOSTICO_PFG_CAST_1.pdf\n
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",0,no aplica\n
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,65.96,"Existe un visor de información sobre los bosques que se actualiza periódicamente, y que responde e a la necesidad de informar y monitorizar la principal herramienta de gestión forestal de Gobierno de Navarra, la Agenda Forestal de Navarra. \n\nEl dato que aquí se ofrece responde al cálculo actualizado de la titularidad del terreno forestal, y, en concreto, al sumatorio del % de superficie forestal que es de Patrimonio Forestal de Gobierno de Navarra (un 7.37%) y de comunal (un 58,59%).\n\nEl observatorio que muestra esta recopilación de datos está disponible en: www.navarra.es/es/medio-ambiente/gestion-forestal"
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,24.32,
