disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Current natural forest area (in square km),col2_Reporting year used for your region's natural forest area,col3_Methodology used to collect data and quantify natural forest area,col4_Can you provide information on the ownership or tenure rights associated with your region's natural forest area?
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,4630,2023,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,4376473.83,2020,Land cover maps,Do not know
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,117000,2023,Other: |Reports or publications|Land cover maps,Yes
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,134664.61,2020,Land cover maps|Satellite imagery|Forest inventory|Field sampling,Yes
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,16125.6,2017,Reports or publications,Do not know
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,650.0,2021.0,Satellite imagery|Forest inventory|Reports or publications|Land cover maps,No
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,37224.77,2021,Land cover maps|Field sampling|Reports or publications|Forest inventory|Satellite imagery,Yes
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,97124.55,2020,Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,10117,2022,Satellite imagery|Forest inventory|Field sampling|Land cover maps|Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,64773,2021,Forest inventory,Do not know
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,7244.28,2017.0,Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,89288.61,2023,"Other: https://apps.fs.usda.gov/nicportal/temppdf/sfs/naweb/WA_std.pdf#:~:text=For%20the%202023-25%20biennium,%20DNR%20intends%20to%20define%20and%20build|Forest inventory|Reports or publications",Yes
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,71099,2023,Field sampling|Other: USDA USFS FIA data. This estimate includes 4014 sq km of artificially regenerated stands which may or may not be plantations.,Yes
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,5739.0,2017,Forest inventory|Satellite imagery|Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,679.0,2021,Forest inventory|Satellite imagery|Land cover maps|Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,108860,2022,Land cover maps|Satellite imagery|Field sampling|Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,20306.81,2018,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,5944,2025,Forest inventory|Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,1926.61,2024,Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,20420.17,2023,Satellite imagery|Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,3600,2013,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,17900,2020,Land cover maps|Reports or publications,No
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,4043.65,2018,Land cover maps|Satellite imagery,No
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,229.58,2007,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,153.54,2015,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,6431.96,2010,Field sampling|Satellite imagery|Forest inventory|Land cover maps,Yes
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,44740.98,2013,Other: La metodología consiste en un Muestreo Estratificado Sistemático por Conglomerados en dos etapas. Para este diseño y la distribución de conglomerados (unidades de muestreo primarias) se dividió el país en regiones cuadrangulares (paneles de 2.5 X 2.5,Yes
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,37000,2023,Reports or publications,No
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,1474.82,2024,Land cover maps|Satellite imagery|Reports or publications,No
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,28371.29,2020,Satellite imagery,No
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,42976.0,2020.0,,Yes
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,2822.0,2018.0,Satellite imagery,No
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,3585555,2022,Satellite imagery,Do not know
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,67507.11,2020,Satellite imagery|Forest inventory|Land cover maps,No
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,55328.77,2024,Satellite imagery|Forest inventory|Land cover maps,No
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,8980,2022,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,5560,2025,Field sampling|Forest inventory|Land cover maps|Satellite imagery,Yes
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,315775.0,2018.0,,No
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,900168,2023,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,137479.04,2022.0,Reports or publications|Land cover maps|Satellite imagery,Yes
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,477.21,2024,"Other: Os dados reportados foram retirados da plataforma MapBiomas, plataforma colaborativa para o mapeamento anual da cobertura e uso da terra.",Do not know
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,53726,2023,Reports or publications,Do not know
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,56704.0,2020,Land cover maps|Forest inventory|Satellite imagery,No
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,139337.88,2024,Satellite imagery|Land cover maps,Yes
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,5900500,2025,Land cover maps|Satellite imagery|Reports or publications,Do not know
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,13000,2018,Forest inventory,No
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,192170.6,2024,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,48660,2023,Other: Collected from spatial datasets of the National Forest Inventory. Published in ABARES Australia's forests at a glance 2023|Reports or publications|Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,3165.0,2013.0,Forest inventory,No
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,7378.2,2021,Satellite imagery,No
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,4304.25,2025,Reports or publications|Land cover maps|Satellite imagery,Do not know
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,2422454,2023,Land cover maps|Reports or publications|Satellite imagery,Do not know
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,11044.37,2022,Other: Cartografía de usos de suelo y vegetación 2022,No
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,42455,2022,Reports or publications|Forest inventory|Other: plan estatal de gobierno,Do not know
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,23132.38,2024,Satellite imagery|Land cover maps|Forest inventory,Do not know
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,77373.57,2025,Satellite imagery|Land cover maps|Forest inventory,Do not know
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,55396,2024,Reports or publications,Do not know
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,109874.6,2025,Land cover maps|Satellite imagery|Other: Unidade de Geoprocessamento (UNIGEO),No
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,31192,2024,Forest inventory|Satellite imagery,Do not know
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,116240,2024,Land cover maps|Satellite imagery|Forest inventory,Do not know
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,7241.55,2021,Land cover maps,Do not know
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,19850.92,2022,Reports or publications|Forest inventory,Do not know
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,840.76,2023,Forest inventory,Yes
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,448,2024,Reports or publications,Yes
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.1,Please provide the details of your region's current natural forest area.,1,Details of region's natural forest area,14630.48,2023,Reports or publications,Yes
