disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Risk assessment procedure,col2_Forests-related issue assessed,col3_Drivers assessed,col4_Frequency of assessment,col5_Tools and methods used to identify and assess risks,col6_Issues considered,col7_Communities and organizations considered,col8_Risk assessment web link,col9_Please explain
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Forest degradation,,,Field surveys,Climate change impacts,,https://www.juntadeandalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/sanidad-forestal/seca-y-decaimiento-forestal/estrategias/red-equilibrios-biologicos-andalucia,"Red SEDA (Seguimiento de Daños sobre Ecosistemas Forestales). Desde el año 2000, la Junta de Andalucía ha implementado la Red SEDA, un sistema pionero que evalúa anualmente el estado de más de 10.000 árboles en más de 400 parcelas distribuidas por toda la región. Esta red permite detectar de forma temprana amenazas fitosanitarias y otros factores de estrés, como la defoliación, la decoloración o la presencia de agentes patógenos, proporcionando datos esenciales para la planificación de políticas públicas de conservación y actuación forestal"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of strategic environmental assessments,"Conversion of natural habitats|Deforestation|Other: Other, please specify|Forest degradation",,Other: Adecuaciónes decenales del Plan Forestal Andaluz,Desk-based research and studies,"Governance issues (e.g. political instability, corruption)|Prices and demand trends of forest commodities|Climate change impacts|Legal framework (e.g. policies, regulations)|Socio-economic impacts",,https://www.juntadeandalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/planificacion-y-ordenacion-forestal/plan-forestal-andaluz,"En el marco de la adecuación del Plan Forestal Andaluz, horizonte 2030, se procede a realizar un minucioso diagnóstico sobre la situación actual del escenario forestal. además del diagnóstico se realiza un análisis DAFO . Todo ello deriva en la adecuación del enfoque estratégico del Plan a la situación actual de cambio global."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Deforestation|Conversion of natural habitats|Forest degradation,Large-scale agriculture|Fires,Annually,Consultations with partners|National specific tools and databases|Region-specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|Desk-based research and studies,"Climate change impacts|Socio-economic impacts|Legal framework (e.g. policies, regulations)|Prices and demand trends of forest commodities",Indigenous peoples|Local communities|National governments|Local authorities (city-level)|Companies,https://goias.gov.br/meioambiente/semad-atua-em-plano-de-prevencao-e-combate-ao-desmatamento-e-queimadas-em-goias/,Análise de vetores diretos e indiretos do desmatamento e degradação no âmbito de plano de mitigação no setor de MUTF. 
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Deforestation|Forest degradation,Fires,Other: Misiones utiliza un sistema de monitoreo continuo para detectar los riesgos de deforestación.,Desk-based research and studies|Region-specific tools and databases|WRI Global Forest Watch|Field surveys|Remote sensing (e.g. satellite or aerial photographs)|National specific tools and databases,Climate change impacts,Local authorities (city-level),https://alertatemprana.misiones.gob.ar/,
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: The Colorado Forest Atlas is a web portal providing a suite of interactive mapping applications about Colorado's forests. These applications provide Colorado with the best available information about forest conditions.,Forest degradation|Other: Forest Health and Wildfire Mitigation,Fires,Other: Every 3 years,Consultations with partners|Desk-based research and studies|Region-specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|Field surveys,Socio-economic impacts,Other: All,https://coloradoforestatlas.org/,The Colorado Forest Atlas is a web portal providing a suite of interactive mapping applications about Colorado's forests. These applications provide Colorado with the best available information about forest conditions and Colorado State Forest Service activities.
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of strategic environmental assessments,Forest degradation|Conversion of natural habitats|Deforestation,Infrastructure,"Other: The Strategic Forest Lands Assessment grows out of this Green Infrastructure Assessment (GIA), completed in 2000",Region-specific tools and databases|Desk-based research and studies|Remote sensing (e.g. satellite or aerial photographs),"Socio-economic impacts|Legal framework (e.g. policies, regulations)|Prices and demand trends of forest commodities",Local authorities (city-level)|Local communities,https://dnr.maryland.gov/forests/Documents/sfla_report.pdf,"Sustainable use of our forest resources, for the multiple benefits they provide, requires planned management in such a way that the needs of today are met without hurting the ability of future\ngenerations to meet their needs. This implies a stewardship of the environment, and living within some limits. Maryland's Strategic Forest Lands Assessment provides a baseline of information about where we are now, and criteria and indicators\nthat can also be used to measure change, as a first step in working toward sustainability for Maryland's forests."
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: Center for Land Use Education and Research info is the primary source for forest land loss (deforestation) in CT. USDA Forest Service Inventory and Analysis is also helpful but the mapping feature UCONN provides is superior.,Other: Loss of forest land and core forest analysis over time,Other: Loss of forest land over time,"Other: Irregular; dependent on funding and University of Connecticut staff capacity. Update dates - 1990, 1995, 2002, 2006, 2010 and 2015.",Remote sensing (e.g. satellite or aerial photographs),"Other: forest land conversation to residential, turf/grass, commercial uses","Other: Municipal, local land trust, statewide conservation organizations, various Department expertise",N/A,Land acquisition and conservation easement funding priorities are based upon existing permanently conserved lands and connectivity to imperilled wildlife habitats. Internal committee meets regularly to rank proposed acquisitions from willing sellers. 
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as a standalone issue,Forest degradation|Deforestation|Conversion of natural habitats,Fires,Other: 5-10 years,Desk-based research and studies|Field surveys|Online tools (e.g. WWF-SIGHT and Analytics),,,,
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: U.S. Forest Service 2014 climate change vulnerability assessment for northern MN; annual MN DNR forest health assessments,Other: Forest health,Mining|Infrastructure|Large-scale agriculture,Other: Climate vuln. assessment (below) was one-off; forest health assessments are annual,Remote sensing (e.g. satellite or aerial photographs)|National specific tools and databases,Other: Forest health impacts from insects and disease|Climate change impacts,Other regional governments,https://www.fs.fed.us/nrs/pubs/gtr/gtr_nrs133.pdf,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of land use planning,"Conversion of natural habitats|Forest degradation|Deforestation|Other: Feral ungulate damage, invasive species invasion, disease & pests","Fires|Unsustainable logging|Other: Other, please specify","Other: Risk of deforestation and forest degradation is assessed incidentally in project-related environmental assessments, regular forest health surveys, monitoring activities of incentive programs, and through the Hawaii Forest Action Plan.",Remote sensing (e.g. satellite or aerial photographs)|Desk-based research and studies|Region-specific tools and databases|National specific tools and databases|Consultations with partners|Field surveys|Online tools (e.g. WWF-SIGHT and Analytics),"Socio-economic impacts|Prices and demand trends of forest commodities|Impacts on water security|Legal framework (e.g. policies, regulations)|Climate change impacts",Indigenous peoples|Local communities|Local authorities (city-level)|Companies|NGOs,https://dlnr.hawaii.gov/forestry/info/fap/,"The plan assesses and addresses key issues regarding risk factors that threaten Hawaii's forests such as water quality & quantity, forest health: invasive species, insects & disease, wildfire, urban & community forestry, climate change & sea level rise, conservation of native biodiversity, hunting, nature-based recreation & tourism"
