disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Reason,col2_Please explain
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,"Other: Our legislative protections for woodland and control of loss are comparably robust. We also undertake an inventory of our forests annually to monitor changes. Any plans for deforestation, on a case-by-case basis, is assessed by Scottish Forestry (to","Our legislative protections for woodland and control of loss is comparably robust. We also undertake an inventory of our forests annually to monitor changes. Any plans for deforestation, on a case-by-case basis, is assessed by Scottish Forestry."
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment in progress,"Com a atualização do PPCASD, está sendo incluída a abordagem de riscos, impactos e oportunidades das florestas."
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment is still in the planning stages,The county is in the planning stages awaiting implementation of the risk assessment.
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Human resources/capacities constraint,Atualmente não há recursos humanos para conduzir tal avaliação.
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of funding,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Other: We are unable at this stage to say if/when this will change,
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment is still in the planning stages,"La evaluación de riesgos está en proceso de planificación, se pretende abordarla en los próximos años. "
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Intending to undertake in the future,"Debido a la normativa constante en torno a la protección de los bosques, la degradación de estos no ha sido demasiado relevante para priorizar estos análisis por encima de otros, sin embargo, se considera realizarlos a corto plazo."
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of expertise and knowledge of deforestation risks,"KZN has not undertaken a risk and vulnerability assessment on deforestation due to lack of the following:\ni) A policy directive (provincial or national) requiring it (e.g. through DFFE, etc.).\n\nii) Climate risk frameworks that explicitly include forest cover and degradation (not just fire, floods) at sub-national scales.\n\niii) Donor funding or programme requirements (e.g. REDD+ or similar) that mandate risk assessments.\n\niv) Civil society / research institutions advocating for it, showing data gaps or threats.\n\nv) Institutional capacity building: more GIS / remote sensing capacity, data sharing agreements, clear mandates between departments."
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Forest management is not a priority for the region,"The Western Cape has very limited indigenous forest cover (small patches like Knysna and Tsitsikamma) and does not face large-scale deforestation like tropical regions.\n\nThese forests are already legally protected under the National Forests Act (1998), and the main provincial biodiversity risks are fynbos and renosterveld loss, invasive alien plants, wildfires, and climate change - not deforestation."
