disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Impacts,col2_Forests-related issue causing the impact,col3_Driver causing the impact,col4_Anticipated timescale,col5_Impact seriousness,col6_Impact description,col7_Primary action taken,col8_Status of action,col9_Action description
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Deforestation,,Medium-term,Serious,"With increase in climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. an integrated wildfire management plan and the publication of a Routemap to Resilience for Scotland's Forests and Woodlands).",,Monitoring and reporting,"Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure Also (10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Deforestation,,Medium-term,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). ",,Monitoring and reporting,"(10.11.1.3) Driver causing the impact Select all that apply ☐ Mining\t☐ Unsustainable logging ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure \t☐ Small-scale agriculture ☐ Forest plantations\t☐ Large-scale agriculture ☐ Hydroelectric power\t☐ Charcoal and fuelwood production(10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Habitat fragmentation,Deforestation,,Medium-term,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). ",,Monitoring and reporting,"Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure . Also (10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Disruption of sources of livelihoods,Deforestation,,,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). ",,Monitoring and reporting,"Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure. (10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Habitat loss and wildlife displacement,Deforestation,,Medium-term,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). ",,Monitoring and reporting,"Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure . Also (10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Increased soil erosion,Deforestation,,,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy).",,Monitoring and reporting," Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires ☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure .Also(10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. Scottish Forestry undertakes an extensive annual surveillance and monitoring programme; for example, over 1 million hectares of forest were surveyed in 2022 alone to detect tree health issues. Other actions include follow-up field visits following aerial surveys, insect trapping networks, and the issuing of Statutory Plant Health Notices, which compel forest managers to undertake remedial action. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,7,Row 7,Decline in water quality,Deforestation,,Medium-term,Serious,"With increase is climate change events, we could see increased risks from those drivers which could result in deforestation, e.g. wildfires, tree disease, and wind throw. Currently, we do not require land owners to restock woodlands that have been lost to, e.g. fires and storm damage, if the woodland is dead as a result. Effort is being spent now to create prevention and management plans (e.g. Wildfire Management Plan and resilience strategy). ",,Monitoring and reporting,"Column driver causing the impact is locked! No access so we add them here; (10.11.1.3) Driver causing the impact Select all that apply ; ☐ Fires \t☐ Other, please specify other climate change driven events, e.g. storms causing wind blow, and tree health concerns (increase and spread of disease) ☐ Infrastructure. (10.11.1.9) \n\nAction description: As above, much effort is being spent on monitoring and action for new tree disease, and better biosecurity, the need for wildlife management plans, and there is a national resilience plan being developed now to address climate change driven impacts. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Forest degradation|Deforestation|Conversion of natural habitats,Large-scale agriculture|Fires|Infrastructure,Short-term,Serious,"En Andalucía, el aumento de los gases de efecto invernadero (GEI) se traduce en un cambio climático más intenso que agrava varios problemas ambientales como pueden ser la deforestación o la degradación forestal. Igualmente el propio clima mediterráneo de Andalucía es muy sensible a estos efectos producidos en el clima que intensifican las olas de calor, las sequías y la irregularidad de las lluvias.\n",Adoption of reforestation strategies,Operation,En Andalucía se llevan diferentes actuaciones que permiten paliar en cierta medida el aumento de GEI a través de medidas como las adoptadas en proyectos o iniciativas como el Catálogo Andaluz de Proyectos de Absorción (CAPA) o el proyecto Life blue natura
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Loss of carbon sinks,Deforestation|Conversion of natural habitats,Infrastructure|Large-scale agriculture|Fires,Short-term,Serious,"La pérdida de sumideros de carbono en Andalucía se debe a actividades humanas como la degradación de praderas marinas por el fondeo de barcos recreativos, la contaminación y la deforestación, que reducen la capacidad de la tierra y el mar para absorber CO2, agravando el cambio climático. Esto se traduce en un aumento de gases de efecto invernadero en la atmósfera y puede llevar a que los ecosistemas liberen más carbono, acelerando la crisis climática y afectando gravemente a la salud de estos ecosistemas",Adoption of reforestation strategies,Operation,"Andalucía está invirtiendo en la restauración de ecosistemas, promoviendo la sostenibilidad forestal y agrícola, y aplicando medidas de gestión del territorio para aumentar la capacidad de absorción de carbono de sus bosques, suelos y humedales. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Disruptions in the water cycle,Forest degradation,Large-scale agriculture|Fires|Infrastructure,Short-term,Serious,"La deforestación y degradación forestal afectan gravemente el ciclo del agua al disminuir la transpiración y la humedad atmosférica, reduciendo así las precipitaciones y provocando sequías. Los árboles también ayudan a la infiltración y retención del agua, por lo que su pérdida compacta el suelo, aumenta la escorrentía superficial, la erosión y reduce las reservas de agua subterránea. En consecuencia, se incrementan los riesgos de inundaciones y sequías más intensas y frecuentes, alterando el equilibrio hídrico regional. ",Enforcing forest policies and regulations,Operation,"Para mitigar estos efectos, la Junta de Andalucía realiza acciones dentro de su Plan Andaluz de Acción por el Clima, priorizando la gestión del agua "
