disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: No, please specify why"
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Other: 
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: Gross and net rates of deforestation rates are very low in Minnesota. Existing policies, guidelines, and incentives are a framework for current and ongoing forest management and stewardship."
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: No, please specify why"
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Other: Existen normativas de protección forestal
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: The province has very limited indigenous forest cover (Knysna, Tsitsikamma, small Afrotemperate patches), which are legally protected under the National Forests Act (1998). As such, large-scale deforestation or forest degradation does not present a"
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
