disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Opportunity,col2_Describe how the region is maximizing this opportunity
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Climate change mitigation,"There is a UK Woodland Carbon Code in the UK, administered (and largely delivered) in Scotland. The Woodland Carbon Code is a government scheme administered by Scottish Forestry but available UK wide. The Code allows the owners of new woodland planting schemes to calculate the total carbon sequestration their woodland will achieve over the lifetime of the trees. The planting scheme must then be validated by a third party but once this is done Pending Issuance Units (PIUs) are generated. PIUs have a value and may be sold but may not be used in an offsetting calculation until the trees have grown and the carbon sequestration verified. Verification allows the PIUs to be converted to Woodland Carbon Units which may be used to offset UK based emissions. Woodland Carbon Code schemes may last between 35 and 100 years.\n\nhttps://woodlandcarboncode.org.uk/"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Sustain livelihoods dependent on forests,"Forestry makes a substantial contribution to the economy at both a local and national level through the production of timber and other wood fibre, and the provision of recreation and tourism assets. The forestry sector is particularly important for rural communities, where the majority of economic activities associated with woodland creation, management, harvesting and transportation take place.\nhttps://forestry.gov.scot/forestry-business/economic-contribution-of-forestry"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Increasing resilience to climate change impacts and other disasters,"The UK Forestry Standard has a requirement on resilience, which all forest planners and managers are expected to follow. Climate change is already making itself felt in Scotland, and scientific projections suggest that the speed and impacts of change will increase. For forests, the unpredictability and intensity of weather patterns and the increase in forest pathogens will be especially problematic. They'll challenge our established forestry practices, so it's vital that the forestry sector acts now to start developing more resilient forests. Scottish Forestry, working with Forest Research have published an information note on adaption and resilience.\nhttps://forestry.gov.scot/forests-environment/resilient-forests"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,4,Row 4,"Other ecosystem services from forests realized (e.g. improved well-being, soil erosion management)","The previous Scottish Forestry Strategy, published in 2006, sets a vision for Scottish forestry in the second half of the 21st century. It lays out the range of economic, social and environmental benefits forestry can deliver within the context of sustainable forest management. The Strategy identifies a number of woodland creation priorities for Scotland: • Helping to tackle greenhouse gas emissions. Carbon sequestration, timber and fuel production. • Restoring lost habitats and adapting to climate change. Forest habitat networks and new native woodlands. • Helping to manage ecosystem services. Sustainable flood management, and protection of soil and water resources. • Underpinning a sustainable forest products industry. Consistent and reliable timber supply for timber processing and wood fuel investments. • Supporting rural development. Supporting local businesses and farm diversification. • Providing community benefits. Provision of welcoming and well-managed woodlands in and around communities and where health and community need is greatest. • Enhancing urban areas and improving landscapes. Improving derelict, underused and neglected land, improving degraded or unsightly environments and diversifying farmed landscapes.https://forestry.gov.scot/images/corporate/pdf/ForestExpansion.pdf"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,5,Row 5,Increase opportunities for partnerships and establish joint forest management principles,"Scotland's Biodiversity Strategy 2045 is a plan to become \'Nature Positive\' by 2030 and achieve widespread restoration and regeneration of biodiversity by 2045, replacing the previous 2004 strategy.\n\nThe Scottish Biodiversity Strategy to 2045 presents several key opportunities for partnerships and landscape-scale management, particularly aimed at addressing the nature emergency and achieving a \'Nature Positive\' Scotland by 2030: Opportunities for Partnerships include: \nCross-sector Collaboration. The strategy explicitly calls for deep collaboration across government, land managers, marine industries, conservation groups, and communities. It recognises that no single entity can tackle biodiversity loss alone; International and UK-wide Partnerships. Scotland is committed to working with partners across the UK, EU, and globally, aligning with the Global Biodiversity Framework agreed at COP15. This includes support for the Edinburgh Declaration, which promotes sub-national government roles in biodiversity delivery; Community and Stakeholder Engagement. The strategy emphasises public engagement and stewardship, encouraging local communities to play an active role in nature restoration. This opens doors for NGOs, local authorities, and citizen science initiatives to contribute meaningfully.\n\nThe Scottish Biodiversity Strategy to 2045 will facilitate Landscape-Scale Management Opportunities: Catchment and Ecosystem Restoration Case studies like the Glen Muick catchment restoration illustrate how landscape-scale approaches are already being piloted. These projects integrate hydrology, habitat restoration, and species recovery across large areas, including forest habitats; Nature Networks and Connectivity. The strategy promotes the development of ecological networks that connect protected areas and other habitats, enabling species movement and ecosystem resilience at scale, including forest connectivity; Nature-Positive Land Use. There is a strong focus on embedding nature-positive practices in farming, forestry, and fisheries. This includes incentives and support for land managers to adopt regenerative methods that benefit biodiversity across entire landscapes; Delivery Plans and Statutory Targets. The strategy is supported by six-year delivery plans and forthcoming statutory targets under a Natural Environment Bill. These mechanisms are designed to ensure coordinated, long-term action across sectors (including forestry) and regions.\n"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,6,Row 6,Climate change mitigation,"There is a UK Woodland Carbon Code in the UK, administered (and largely delivered) in Scotland. The Woodland Carbon Code is a government scheme administered by Scottish Forestry but available UK wide. The Code allows the owners of new woodland planting schemes to calculate the total carbon sequestration their woodland will achieve over the lifetime of the trees. The planting scheme must then be validated by a third party but once this is done Pending Issuance Units (PIUs) are generated. PIUs have a value and may be sold but may not be used in an offsetting calculation until the trees have grown and the carbon sequestration verified. Verification allows the PIUs to be converted to Woodland Carbon Units which may be used to offset UK based emissions. Woodland Carbon Code schemes may last between 35 and 100 years.https://woodlandcarboncode.org.uk/"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,7,Row 7,Continued access to forest products,"In line with our Forestry Strategy, we're committed to supporting timber haulage best practice and taking part in projects which minimise the environmental and social impact of timber miles.\nhttps://forestry.gov.scot/forestry-business/timber-transport\n- We work with the Association of Scottish Hardwood Sawmillers and Scottish Furniture Makers Association to promote the range, quality and use of Scottish grown hardwoods and niche softwoods as well as provide guidance and resources to help develop this sector.\nhttps://forestry.gov.scot/forestry-business/small-scale-wood-processing\n- The woodfuel industry needs a robust supply chain. Forestry and Land Scotland supply large biomass volumes to industry, but offer extra volumes on the open market.\nhttps://forestry.gov.scot/forestry-business/woodfuel-and-bio-energy"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,8,Row 8,Ensuring clean water supply,"In Scotland there's legislation to secure good water management. These legal requirements are reflected in the UK Forestry Standard. Forest managers must follow this to receive approval and grant aid from us. \nhttps://forestry.gov.scot/forests-environment/protecting-and-managing-water-in-forests\n- The UK Forestry Standard chapter on water offers explanation and guidance on good practice water management. More resources, including videos, to help forest owners, managers and practitioners follow good forestry practice to improve water management are available through the Forestry and Water Scotland initiative. Forest managers may also wish to read about research on good water management by Forest Research. We work closely with partners such as Scottish Environment Protection Agency (SEPA) and NatureScot to improve the water environment by, for example, encouraging the removal of non-native conifer stands that are planted too close to a watercourse, supporting the removal of fish barriers in salmon rivers, and advising on how to protect Groundwater Dependent Terrestrial Ecosystems."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,9,Row 9,Development of recreation and tourism industry,"Forests and woodlands provide opportunities for people to engage in healthy activities, to take more exercise and improve their physical health. Access to green space, forests and woodlands for children, through outdoor play and learning, is positively associated with: improved self-esteem, physical health, development of language skills, disposition to learning attainment levels. We empower communities across Scotland by supporting community use, management and ownership of woodlands: We work with others like the Community Woodlands Association to make sure suitable advice and guidance is available. We provide funding, through the Community Fund, for community groups to use and enjoy woods including projects supporting The Queen's Green Canopy initiative. We encourage engagement with local communities, and for woodland owners and managers to involve them more directly in the use and management of woods, when they can."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Climate change mitigation,"1. Para el secuestro de carbono en bosques y suelos tenemos como oportunidad identificada el aumento de la captura de carbono mediante el manejo sostenible de bosques para ello Andalucía dispone de actuaciones concretas como los Planes de ordenación de montes, la proyectos de reforestaciones o el Catálogo Andaluz de Proyectos de Absorción. \n2. Reducción del riesgo de incendios que permitan como oportunidad identificada el evitar emisiones de CO₂ derivadas de incendios mediante prevención y manejo forestal para lo cual Andalucía actúa a través de la limpieza de matorrales y desbroces controlados, los cortafuegos y franjas de seguridad o la creación de Planes de prevención de incendios forestales.\n3. Producción sostenible de biomasa para energía, que nos brinda la oportunidad de usar restos forestales como fuente de energía renovable en lugar de combustibles fósiles.\n4. Restauración de ecosistemas degradados que permitan mejorar la capacidad de secuestro de carbono"
