disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Deforestation/forest degradation is an issue for the region,col2_Current drivers of deforestation and/or forest degradation,col3_Total current annual deforestation rate (%),col4_Comments
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Large-scale agriculture|Fires,,
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Mining|Large-scale agriculture|Fires,63.28,"Enquanto 36% da área do Estado tem uma cobertura natural, 63,28% já foi antropizada. Segundo os dados do Relatório Anual de Desmatamento no Brasil (RAD), do MapBiomas, foram desmatados 695,4 km² no estado em 2023, um aumento de 125,3% em relação a 2022. Apesar de um dado preocupante, o que ele realmente ressalta é a melhoria nas ferramentas de monitoramento, que agora é capaz de captar desmatamentos menores e em mais tipos de fitofisionomia, segundo o próprio relatório. Ademais, observa-se um aumento na porcentagem da área desmatada que foi autorizada ou fiscalizada pelo órgão ambiental. saiu de 58% de área autorizada ou fiscalizada em 2021 e 2022 para 74,5% em 2023. Fonte: https://storage.googleapis.com/alerta-public/rad_2023/RAD2023_COMPLETO_FINAL_28-05-24.pdf"
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Mining|Fires|Large-scale agriculture,5.52,"Em Rondônia, a taxa de desmatamento e degradação em 2024 apresentou resultados mistos: desmatamento caiu 51% em relação a 2023, segundo o MapBiomas, mas os focos de queimadas aumentaram 38% nos primeiros três meses do ano, de acordo com o Inpe. Dados mais recentes do Imazon para o ano completo de 2024 mostram uma queda de 321 km² para 191 km², uma redução de 40,5% no desmatamento, comparado ao período de janeiro a dezembro de 2023. "
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Fires|Charcoal and fuelwood production|Small-scale agriculture|Forest plantations,0.23,"Promedio de pérdida anual (2017-2022): 0,23 % del bosque nativo por año. En términos absolutos, sobre una superficie total de 1.612.558 ha, esto equivale a una pérdida media de unas 3.700 ha por año."
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Charcoal and fuelwood production|Small-scale agriculture|Unsustainable logging,9.8,Deforestattion has resulted to rapid degradation of the natural environment which Nyandarua County is actively working to resolve
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture|Infrastructure|Mining|Other: Urbanização|Large-scale agriculture,0.01,"De acordo com o RAD 2024 - Alertas consolidados em 2024, entre os principais vetores de desmatamento, a agropecuária é responsável por 70,8% do desmatamento.\nhttps://lookerstudio.google.com/u/0/reporting/81166003-66ee-4dee-881d-cc9814eac59e/page/gbGLF \n\nFonte da taxa de desmatamento: Painel de dados por Estado RAD 2023 https://lookerstudio.google.com/u/0/reporting/1ef57f1d-3e8e-48cb-9f29-9c966fa1484f/page/p_mvu2mr46hd "
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Fires,2.7,"2.7 percent represents the 2020 wildfire season in Colorado, where 665,454 acres were burned from wildfires. 2020 was Colorado's largest wildfire season on record."
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure,0.14,"Findings from three independent data sources (FIA, CBPO, and the National Land Cover Dataset or NLCD) agree on similar trends in Maryland's forests. Forest area has shown a slightly decreasing trend over 5- and 20-year intervals but with a trend toward stabilization in the past 10 years (-0.14% annually from 2013-2018; -0.23% annually from 1999-2019). The decrease in forest cover has been offset somewhat by an increase in tree canopy outside forests, resulting in a more modest decrease in the total tree canopy (-0.077% annually).\n\n2022 technical study: https://agnr.umd.edu/sites/agnr.umd.edu/files/files/documents/Hughes%20Center/Maryland%20Forest%20Technical%20Study_Use_Final_Web.pdf"
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Forest plantations|Fires,,
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Other: Land conversion to non-forest use; invasive species; forest health|Unsustainable logging,1.1,Fair market values for raw land entice woodland owners to sell to commercial and residential real estate developers
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Other: Residential development,,
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Mining|Large-scale agriculture,0.8,"In terms of net acreage, forestland is currently contracting slightly in Minnesota (see Forest Inventory and Analysis data to compare total forest acres year-to-year over the last decade). According to FIA data from the most current cycle (2018-2023), there has been a 0.81% conversion of forest to non-forest land, and a 0.16% conversion of non-forest to forest land (a net decrease in forest acres). Much of these transitions are driven by precipitation and drought, which can result in conversions between wetlands and forests. There are small-scale instances of deforestation in the state that impact certain forest ecosystems more than others. One example is in the dry pineland sands ecoregion in the north central portion of the state, a threatened habitat, where native pine forests are being cleared for irrigated agriculture. "
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,"Unsustainable logging|Other: Feral ungulate damage, invasive species invasion, disease & pests, land use conversion|Fires",,"The current annual deforestation rate is not measured.Historically, direct human destruction has had the greatest impact on Hawaii's forests overall. Current greatest impacts include invasive species and wildland fires.DevelopmentIncremental conversion of forests and native ecosystems continues throughout the state but is most prevalent on the most densely populated island (Oahu), as well as on the largest island (Hawaii).Managed and feral grazing animals continue in forests and on large private ranches, within many of which occur native ecological systems or are former native forest areas.Unsustainable harvesting of timber and non-timber forest products has resulted in a general decline in resource availability"
