disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,What types of mining activities operate within your region?
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)|Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)|Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)|Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.3,What types of mining activities operate within your region?,,,Do not know
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)|Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Other: O estado possui apenas mineração de pequeno a médio porte.
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,"Other: Não metálicos, a gipsita, a água mineral, rochas ornamentais, brita, areia, argilas e calcários sedimentar e metamórfico. Entre os metálicos, o ferro ocupa lugar de destaque, vindo, em segundo plano, a Ilmenita vanadífera."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.3,What types of mining activities operate within your region?,,,Artisanal or small-scale mining (ASM)|Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,"Other: Atividades de exploração de minério de ferro, ouro, pedras ornamentais e petróleo. Sobre as de menor escala podem-se citar: areia, saibro e cascalho.|Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)"
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.3,What types of mining activities operate within your region?,,,Large-scale mining (LSM)|Artisanal or small-scale mining (ASM)
