disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Budget set aside for dedicated work on forest protection/conservation,https://www.forestry.gov.scot/forests-environment/biodiversity/native-woodlands/scotland-s-rainforest,"The Scottish Government is committed to restoring and expanding Scotland's temperate or Atlantic rainforest. This is a policy priority set out in Scotland's Forestry Strategy and the 2023 Programme for Government. In 2023 total funding allocated for rainforest work was £4.5M, including over £1M of FGS funding. For Scotland's rainforest we will maintain Forestry Grant Scheme funding at a level comparable with that approved in 2023. The Scottish Government also launched a strategic approach to rainforest restoration in July 2024, as created by Scottish Forestry working with key stakeholders through the Alliance for Scotland's Rainforest (ASR). As of August 2024, the Scottish Government is committed to developing and Ancient Woodland Register and has committed an initial £50,000 for NatureScot to start the work.\n"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Management of Protected Areas,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/687147/The_UK_Forestry_Standard.pdf - UK Forestry Standard (UKFS) The UKFS defines the agreed approach to sustainable forest management across all four administrations of the UK. It is reviewed every five years with the input of the forestry sector and environmental stakeholders.,"The conservation of biodiversity is an essential part of the UK Forestry Standard. Appropriate protection and conservation must be afforded where sites, habitats and species are subject to the legal provisions of EU Directives and UK and country legislation.An appropriate assessment for a Natura 2000 site should be undertaken as part of a Habitats Regulations Appraisal required under the Conservation (Natural Habitats, &c.) Regulations 1994 (as amended)."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,National laws on avoided conversion,http://www.legislation.gov.uk/asp/2019/13/contents/enacted The Planning (Scotland) Act 2019 determines the structure of the planning system in Scotland.,"This Act includes a statutory requirements for planning authorities to prepare, consult on and publish a 'forest and woodland strategy'. Each strategy must set out the planning authority's policies and proposals in their area as to the development of forestry and woodlands, including; their protection and enhancement, resilience to climate change, expansion of a range of types to provide multiple benefits and any other matter the planning authority consider appropriate. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Officially approved registry for land ownership,https://www.ros.gov.uk/our-registers/land-register-of-scotlandThe Land Register of Scotland is the Scottish Government's map based system which records the legal title to land ownership in Scotland. The older General Register of Sasines is being closed in 2024,"Registers of Scotland (RoS) keeps public registers of land, property, and other legal documents in Scotland. The Keeper of the Registers of Scotland is directly accountable to the Scottish Parliament. RoS is responsible for public records, including the Land Register of Scotland and the General Register of Sasines."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Land use planning,"https://www.gov.scot/publications/scottish-planning-policy/ Scottish Planning Policy (SPP) is the Scottish Government policy on how nationally important land use planning matters should be addressed across the country. Land use - getting the best from our land: strategy 2021 to 2026 - gov.scot (www.gov.scot) Scotland's Land Use Strategy sets out our vision, objectives and policies to achieve sustainable land use in Scotland. https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/687147/The_UK_Forestry_Standard.pdfUK Forestry Standard (UKFS) The UKFS defines the agreed approach to sustainable forest management across all four administrations of the UK. It is reviewed every five years with the input of the forestry sector and environmental stakeholders.","SPP includes safeguards for sets out that woodlands and trees, particularly ancient semi-natural woodland and veteran trees of high nature conservation and landscape value. It also sets safeguards for connectivity between woodland habitats. There is statutory duty on planning authorities to ensure, that whenever it is appropriate, that in granting planning permission for any development adequate provision is made, by the imposition of conditions, for the preservation or planting of trees.Policy 6 covers Woodland, Forestry and Trees. is clear that forests, woodland and tree cover will be protected and expanded and that woodland and trees on development sites will be sustainably managed. The policy strengthens the role of planning in supporting the delivery of Scottish Government's forestry commitments, and the contribution the sector and woodland expansion to net zero, reversing biodiversity decline and supporting a growing economy. Scotland's Land Use Strategy covers the next five years and aims to provide a holistic understanding of our land, the demands we place upon it and the benefits we get from it. This will enable us to look at the kind of changes that will be required to achieve sustainable land use in Scotland. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,National laws on improved forest management,"Forestry and Land Managemnt (Scotland) Act 2018(http://www.legislation.gov.uk/asp/2018/8/enacted) This Act makes provision about Scottish Ministers' functions in relation to forestry and forest management. The UK Forestry Standard - The government's approach to sustainable forestry(https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/687147/The_UK_Forestry_Standard.pdf) The UKFS defines the agreed approach to sustainable forest management across all four administrations of the UK. It is reviewed every five years with the input of the forestry sector and environmental stakeholders. It is currently under review (led by Scottish Forestry)The Plant Health (Official Controls and Miscellaneous Provisions) (Scotland) Regulations 2019http://www.legislation.gov.uk/ssi/2019/421/made The regulations consolidates and strengthens EU plant health legislation on protective measures against the introduction into Scotland of organisms harmful to trees, plants or plant products and against their spread within Scotland.","The Forestry and Land Management (Scotland) Act places a duty on Scottish Ministers and Scottish public authorities to promote sustainable forest management.The UKFS sets out the regulatory requirements for forestry and is the basis for assessing felling licenses and forest plans. In addition, government grants for woodland creation and forest management are conditional on meeting UKFS requirements. The Scottish Government is committed to the use of the UKFS to help inform forest planning decisions relating to all forests and woodlands and to ensure that international agreements and conventions are applied.Efficient and effective management of tree pests and diseases, coupled with longer term resilience-building measures, is vital to maintain and expand Scotland's woodland area, and sustain its economic benefits and related ecosystem services"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Long-term forest management/protection/conservation plans,https://forestry.gov.scot/support-regulations/forestry-grants/forest-plan-resources \n-\nPreparing a forest management plan is often part of a Forestry Grant Scheme application. For woodlands of less than 100 hectares these typically cover a 10-year period and for larger woodlands they typically cover 20 years.,The UK Forestry Standard is the benchmark against which forest management plans are assessed.Where FSC certification is the objective (currently mandatory for government managed sites and voluntarily for private sites) additional standards are set . These include the requirement for minimum areas of natural reservesset aside for 200 years and selected for biodiversity value and aims.
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,8,Row 8,Strategic environmental assessments,"https://www.gov.scot/policies/environmental-assessment/strategic-environmental-assessment-sea/In Scotland, public bodies and private companies operating in a public character, such as utility companies, are required to assess, consult on, and monitor the likely impacts their plans, programmes and strategies will have on the environment. This process is known as Strategic Environmental Assessment (SEA).http://www.legislation.gov.uk/ssi/2017/113/madeForestry (Environmental Impact Assessment) (Scotland) Regulations 2017 The Scottish Government also assesses the environmental impact of proposals for afforestation, deforestation and the construction and maintenance of forest roads and quarries. If proposals are assessed as having a significant effect on the environment, then consent for the proposal must be applied for under the Forestry (Environmental Impact Assessment) (Scotland) Regulations 2017.","SEA helps to better protect the environment, aims to ensure that any development is sustainable, and increases opportunities for public participation in decision-making. It ensures that expert views are sought at various points in the preparation process from the public and the consultation authorities.The aim of this process is to avoid, reduce or offset any adverse effects on the environment."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,9,Row 9,Regional laws on avoided conversion,https://forestry.gov.scot/support-regulations/control-of-woodland-removal\n-\nThe Scottish Government's Control of Woodland Removal policy (CWRP) is designed to provide direction for decisions on woodland removal in Scotland for the purpose of conversion to another land use.,"The CWRP includes a presumption in favour of protecting woodland. Removal should only be permitted where it would achieve significant and clearly defined additional public benefits. Where woodland is removed in association with development, developers will generally be expected to provide compensatory planting. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,10,Row 10,Traceability system for forest commodities,http://ukwas.org.uk/ UKWAS is the UK Woodland Assurance Standard. It is an independent certification standard for verifying sustainable woodland management in the UK.,"The UK Woodland Assurance Standard is the certification standard for verifying sustainable forest management used by both the Forest Stewardship Council (FSC) and the Programme for the Endorsement of Forest Certification (PEFC). Statistics for 2019 indicated that in Scotland, 86% of softwood output was certified (78% of private sector softwood output and 100% of public sector softwood output) - see Forestry Statistics 2020 - Forest Research "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,11,Row 11,High conservation value assessments,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/687147/The_UK_Forestry_Standard.pdfUK Forestry Standard (UKFS) The UKFS defines the agreed approach to sustainable forest management across all four administrations of the UK. It is reviewed every five years with the input of the forestry sector and environmental stakeholders.,"In line with the UK Forestry Standard, forests and woodlands are managed in a way that conserves or enhancesbiodiversity; opportunities for enhancing biodiversity should be considered in forest management plans.In addition, with the application of the above mentioned UKWAS, there is built in teh protection for high conservation value habitats and species.https://ukwas.org.uk/standard/natural-historical-and-cultural-environment/#section-1"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Long-term forest management/protection/conservation plans,https://www.cma.junta-andalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/planificacion-y-ordenacion-forestal/plan-forestal-andaluz,El plan implementa medidas como:\n- selvicultura adaptativa\n- migración asistida de especies\n- detección temprana para identificar zonas de decaimiento forestal\n- restauración de ecosistemas\n- conservación de la biodiversidad
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Long-term forest management/protection/conservation plans,https://www.cma.junta-andalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/sanidad-forestal/planes-lucha-integrada,"Los Planes de Lucha Integrada son protocolos de trabajo en los que se indica, de forma fundamentada y comprobada, el procedimiento a seguir para el control de la plaga de la forma más eficiente y con el menor perjuicio del equilibrio biológico. Existen medidas como:\n- gestión activa del monte a través de la ordenación de los montes públicos y privados\n- restauración de ecosistemas, que permitan la restauración de ecosistemas forestales degradados y la corrección de la pérdida de recursos del suelo.\n- adaptación al cambio climático, trabajando para aumentar la resistencia y resiliencia de los bosques ante el cambio climático a través de la gestión forestal sostenible.\n- conservación de la biodiversidad, promoviéndose funciones ecológicas de las formaciones forestales que aseguren la conservación de la biodiversidad"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,"Other: Plan anual de prevención, vigilancia y extinción de incendios forestales",https://juntadeandalucia.es/organismos/transparencia/planificacion-evaluacion-estadistica/planes/detalle/539503.html,"\nEl objeto del Plan es ser un instrumento de gestión anual en materia de incendios forestales desde una perspectiva integral de prevención vigilancia y extinción. Este plan es una herramienta de recopilación anual de actuaciones de prevención y extinción de incendios forestales, teniendo como fin la protección civil de la población, de manera que identifica el conjunto de instrumentos de planificación para la prevención previstos en la Comunidad Autónoma de Andalucía. Se identifican medidas como:\n- el comportamiento responsable\n- la gestión de la vegetación\n- la concienciación pública"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Other: Certificación forestal con sello PEFC,https://www.cma.junta-andalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/montes-publicos/certificacion-forestal,"La certificación forestal es un proceso voluntario por el cual una superficie forestal se somete a una examen externo por parte de una tercera parte independiente donde se evalúa el cumplimiento en dicha superficie de los criterios, parámetros o indicadores establecidos en una determinada norma de gestión forestal sostenible internacionalmente reconocida. Se implementarán medidas como:\n- el mantenimiento y mejora de la biodiversidad\n- la prohibición de la conversión forestal\n- el uso de productos químicos peligrosos\n- la limitación de la tala\n- el control de la erosión\n- la protección de la calidad del agua\n- la promoción de la reforestación con especies autóctonas"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Long-term forest management/protection/conservation plans,En elaboración,Programa de Actuación para la protección y recuperación del pinsapo durante el período 2025-2030 está actualmente elaborándose
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Regional laws on improved forest management,https://www.juntadeandalucia.es/medioambiente/portal/landing-page-normativa/-/asset_publisher/5WqqWSjN2vgc/content/ley-2-1992-de-15-de-junio-forestal-de-andaluc-c3-ada./20151,"Ley 2/1992, de 15 de junio, Forestal de Andalucía en la cual se incluyen medidas para la protección forestal:\n- Protección y Vigilancia Especial: El Artículo 2 de la Ley establece que los montes o terrenos forestales están sujetos a una especial protección, vigilancia y actuación de los poderes públicos, dada su importancia. \n- Clasificación de Terrenos Forestales:\nLa Ley permite a la Comunidad Autónoma ordenar y planificar los recursos forestales, lo que incluye la clasificación de los terrenos forestales para aplicar las medidas de protección adecuadas. \n- Definición de Montes o Terrenos Forestales:\nSe establece qué superficies rústicas, ya sean de origen natural o introducidas, que presentan cubierta vegetal de especies arbóreas, arbustivas, matorrales o herbáceas, tienen la consideración legal de monte o terreno forestal. \n- Regímenes de Conservación y Sostenibilidad:\nLa ley establece un marco jurídico y administrativo para la gestión de los montes, buscando su conservación, mejora y desarrollo sostenible.\n- Potestades de la Comunidad Autónoma:\nLa Junta de Andalucía ejerce potestades para la ordenación, planificación y clasificación de los recursos y terrenos forestales, lo que es fundamental para la aplicación de medidas de protección."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Regional laws on improved forest management,https://www.juntadeandalucia.es/medioambiente/portal/web/cae/detalle/-/asset_publisher/S16tVNj0etAT/content/ley-5-1999-de-29-de-junio-de-prevenci-c3-b3n-y-lucha-contra-los-incendios-forestales./20151,"Ley 5/1999, de 29 de junio, de Prevención y Lucha contra los Incendios Forestales con medidas como:\n- Planes de Restauración: Los propietarios de terrenos afectados por un incendio están obligados a redactar un plan de restauración para el área dañada.\n- Comercialización de Productos Forestales:\nLa venta de productos derivados de un incendio requiere la autorización de la Consejería de Medio Ambiente.\n- Destino de los Fondos: Las ganancias obtenidas de la venta de productos procedentes de áreas incendiadas deben destinarse, al menos en parte, a la restauración de esos terrenos.\n- Colaboración y prevención a través de las Agrupaciones de Defensa Forestal (ADF) donde se fomenta la colaboración de los particulares través de estas agrupaciones y los Grupos Locales de Pronto Auxilio (GLPA) que también se promueve la participación ciudadana mediante estos grupos"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on improved forest management,"Políticas estaduais para uma melhor gestão florestal https://legisla.casacivil.go.gov.br/pesquisa_legislacao/90203/lei-18104; https://legisla.casacivil.go.gov.br/pesquisa_legislacao/100893/lei-20694;https://legisla.casacivil.go.gov.br/pesquisa_legislacao/104746/lei-21231;https://legisla.casacivil.go.gov.br/pesquisa_legislacao/103356/decreto-9710; https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/90204/pdf#:~:text=LEI%20N%C2%BA%2018.102%2C%20DE%2018,estadual%20e%20d%C3%A1%20outras%20provid%C3%AAncias;https://www.meioambiente.go.gov.br/files/CAR/emenda-constitucional-no_-49-2012.pdf.https://www.meioambiente.go.gov.br/files/Arquivos_2022/CEMAM/DECRETO10054.pdfhttps://legisla.casacivil.go.gov.br/pesquisa_legislacao/88751/lei-7733https://www.meioambiente.go.gov.br/component/content/article/136-meio-ambiente/cadastro-ambiental-rural-car/1374-car.html?Itemid=101;https://www.meioambiente.go.gov.br/acesso-a-informacao/122-meio-ambiente/licenciamento-ambiental/2196-geflora-gerencia-de-autorizacees-e-acompanhamento-para-flora.html","A Lei Estadual nº 18.104/2013 estabelece normas sobre a proteção da vegetação, dispõe sobre as áreas de Preservação Permanente e as áreas de Reserva Legal, define regras sobre a exploração florestal, cria o Cadastro Ambiental Rural do Estado de Goiás - CAR GOIÁS e prevê programas de incentivo para o alcance de seus objetivos, com o Programa de Regularização Ambiental - PRA e a Cota de Reserva Ambiental - CRA. Em complementação, a Lei Estadual nº 20.694/2019 estabelece normas gerais para o licenciamento de atividades ou empreendimentos utilizadores de recursos ambientais, efetiva ou potencialmente poluidores ou capazes, sob qualquer forma, de causar degradação ao meio ambiente, conforme a Lei Federal Nº 12.651/2012; a Lei Estadual Nº 20.773/2020 institui o Regime Extraordinário de Licenciamento Ambiental - REL como medida de enfrentamento da situação extrema de âmbito econômico no Estado de Goiás, provocada em razão da decretação de estado de calamidade pública, decorrente da infecção humana pelo Novo Coronavírus (COVID-19); e, a Lei Estadual nº 21.231/2022 dispõe sobre a regularização de passivos ambientais de imóveis rurais e urbanos, bem como a compensação florestal e a compensação por danos para regularizar a supressão da vegetação nativa realizada sem a prévia autorização do órgão ambiental competente, também a definição dos parâmetros da compensação florestal e da reposição florestal no Estado de Goiás.Ainda, o Decreto Estadual Nº 9.710/2020 regulamenta, no âmbito do Poder Executivo Estadual, a Lei Estadual nº 20.694/2019, que dispõe sobre as normas gerais para o Licenciamento Ambiental no Estado de Goiás e dá outras providências; e, o Decreto Estadual Nº 10.054/2022 altera os Decretos Estaduais nº 9.710/2020, e o Anexo Único do Decreto nº 9.308/ 2018, que dispõe sobre a metodologia para a definição do grau de impacto ambiental para fins de cumprimento da compensação ambiental de que trata a Lei nº 14.247/2002, e dá outras providências.Em particular, utiliza-se a autocomposição ambiental como uma solução para a celebração da conversão de multas nos termos da Lei Estadual nº 18.102, de 18 julho de 2013; e, a Emenda Constitucional nº. 049/2012 - Altera o Artigo 129 da Constituição Estadual que trata da delimitação, remanejamento e registro no órgão competente do Poder Executivo de reservas legais na forma da lei, vedada sua redução."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on avoided conversion,https://www.planalto.gov.br/ccivil_03/leis/l9985.htm;,"A Lei N° 9985/2000 regulamenta o art. 225, § 1o, incisos I, II, III e VII da Constituição Federal, institui o Sistema Nacional de Unidades de Conservação da Natureza e dá outras providências. Esta Lei institui o Sistema Nacional de Unidades de Conservação da Natureza - SNUC, estabelece critérios e normas para a criação, implantação e gestão das unidades de conservação. O SNUC é constituído pelo conjunto das unidades de conservação federais, estaduais e municipais"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,National laws on avoided conversion,"http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11428.htm#:~:text=LEI%20N%C2%BA%2011.428%2C%20DE%2022%20DE%20DEZEMBRO%20DE%202006.&text=Disp%C3%B5e%20sobre%20a%20utiliza%C3%A7%C3%A3o%20e,Atl%C3%A2ntica%2C%20e%20d%C3%A1%20outras%20provid%C3%AAncias;http://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2008/Decreto/D6660.htm","A Lei Federal Nº 11.428/2006 dispõe sobre a conservação, a proteção, a regeneração e a utilização do Bioma Mata Atlântica, patrimônio nacional, observarão o que estabelece esta Lei, bem como a legislação ambiental vigente, em especial a Lei nº 12.651/2012.O Decreto Federal Nº 6.660/2008 regulamenta dispositivos da Lei no 11.428, de 22 de dezembro de 2006, que dispõe sobre a utilização e proteção da vegetação nativa do Bioma Mata Atlântica"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Management of Protected Areas,https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/81809/pdfhttps://portal.meioambiente.go.gov.br/unidadeconservacao/login.jsp;jsessionid=53F5C0EA9F109988F107E2F5EDC6FADEhttps://www.meioambiente.go.gov.br/images/imagens_migradas/upload/arquivos/2017-01/resolucao-cemam-006-2016--estudos-tecnicos.pdfhttps://www.meioambiente.go.gov.br/images/imagens_migradas/upload/arquivos/2017-01/resolucao-cemam-007-2016-consulta-publica.pdfhttps://legisla.casacivil.go.gov.br/pesquisa_legislacao/65654/decreto-7665https://www.meioambiente.go.gov.br/meio-ambiente-e-recursos-h%C3%ADdricos/parques-e-unidades-de-conserva%C3%A7%C3%A3o.htmlhttps://www.meioambiente.go.gov.br/component/content/article/118-meio-ambiente/unidades-de-conserva%C3%A7%C3%A3o/1082-unidade-de-conserva%C3%A7%C3%A3o-em-goias.html?Itemid=101;https://www.meioambiente.go.gov.br/meio-ambiente-e-recursos-h%C3%ADdricos/icms-ecol%C3%B3gico.html;,"A Lei Estadual nº 14.247/2002 institui o Sistema Estadual de Unidades de Conservação no Estado de Goiás e dá outras providências. Em Goiás, a criação de uma Unidade de Conservação Estadual ou Municipal envolve as etapas de realização de estudos técnicos - para identificar os aspectos naturais e culturais da unidade de conservação e seu entorno, conforme as diretrizes da Resolução CEMAm nº 006/2016; realização de Consulta Pública - reunião com a população local e outras partes interessadas para apresentação dos estudos técnicos, conforme as diretrizes da Resolução CEMAm nº 007/2016; e, Instituição Legal da Unidade com a publicação de Lei ou Decreto. Assim, Goiás possui 23 unidades de conservação, sendo 13 pertencentes ao grupo de proteção integral (12 parques e 1 estação ecológica) e 10 ao grupo de uso sustentável (08 áreas de proteção ambiental, 1 floresta estadual e 1 área de relevante interesse ecológico).O Decreto Estadual Nº 7.665/2012 institui o Programa Estadual de Apoio a Reservas Particulares do Patrimônio Natural, dispõe sobre a criação, implantação e gestão de reservas particulares do patrimônio natural e dá outras providências."
