disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Policy name,col2_Year enforced,col3_Focus area,col4_Drivers covered by the policy,col5_Policy web link,col6_Policy description and region's role in its enforcement
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Scottish Planning Policy,2014.0,Deforestation|Forest degradation,,https://www.gov.scot/publications/scottish-planning-policy/,"OTHER: all matters regulated under Town and Country Planning ActDESCRIPTION: The purpose of the SPP is to set out national planning policies which reflect Scottish Ministers' priorities for operation of the planning system and for the development and use of land. The SPP promotes consistency in the application of policy across Scotland whilst allowing sufficient flexibility to reflect local circumstances.SPP includes safeguards for sets out that woodlands and trees, particularly ancient semi-natural woodland and veteran trees of high nature conservation and landscape value. It also sets safeguards for connectivity between woodland habitats. There is statutory duty on planning authorities to ensure, that whenever it is appropriate, that in granting planning permission for any development adequate provision is made, by the imposition of conditions, for the preservation or planting of trees. These are; 1) ☐ Infrastructure 2) ☐ Other, please specify - other developments that result in loss of natural habitats, these can include housing, wind farms, public buildings, but they can also include woodland loss to other habitat restoration, including peatland (i.e. forest to bog) and below (Other) and 3) ☐ Hydroelectric power "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,The Scottish Government's Control of Woodland Removal policy (CWRP),2009.0,Deforestation,,National Planning Framework 4 - gov.scot (www.gov.scot) https://www.gov.scot/publications/scottish-planning-policy/,"OTHER: Other habitat restoration (e.g. peatland), public safety, historic environments, conservation of soil and water resources.DESCRIPTION:The Scottish Government's Control of Woodland Removal policy (CWRP) is designed to provide direction for decisions on woodland removal in Scotland for the purpose of conversion to another land use. The CWRP includes a presumption in favour of protecting woodland. Removal should only be permitted where it would achieve significant and clearly defined additional public benefits. Where woodland is removed in association with development, developers will generally be expected to provide compensatory planting.Principal aims of this policy statement • To provide a strategic framework for appropriate woodland removal. • To support the maintenance and expansion of forest cover in Scotland. • To contribute towards achieving an appropriate balance between forested and non-forested land in Scotland. • To support climate change mitigation and adaptation in Scotland. • To provide a sound basis for Scotland's participation in the global debate and actions on deforestation. • To develop a clear understanding of the nature and extent of future woodland removal in Scotland.Scottish Forestry is the regulatory body which implements this policy through felling permissions, the creation of guidance, and consultation with other government bodies, e.g. local planning authorities"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,4,Row 4,The Forestry (Environmental Impact Assessment) (Scotland) Regulations 2017,2017.0,Deforestation|Forest degradation|Conversion of natural habitats,,https://www.legislation.gov.uk/ssi/2017/113/regulation/2/made,"OTHER: Impacts on non-wooded habtiats, historic, landscape and other priorities and sensitivities.DESCRIPTION: Environmental Impact Assessment (EIA) is the process of identifying the environmental effects, either positive or negative, of the proposed project on the environment with the aim of avoiding, reducing or offsetting any adverse impacts. There is guidance which describes how the Forestry EIA Regulations 2017 are applied to forestry projects, namely afforestation, deforestation, roads and quarries. If Scottish Forestry (SF), the competent authority, decides that a proposal for one of these projects is likely to have a significant effect on the environment then under EIA Regulations you, the applicant, must obtain our consent for the work. As a result, you will be required to submit an EIA report as part of your application for consent. Environmental Impact Assessment (EIA) is the process of identifying the environmental effects, either positive or negative, of the proposed project on the environment with the aim of avoiding, reducing or offsetting any adverse impacts. "
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,5,Row 5,Adapting Forest and Woodland Management to the Changing Climate,2022.0,Conversion of natural habitats|Forest degradation|Forest restoration,,https://www.forestresearch.gov.uk/publications/adapting-forest-and-woodland-management-to-the-changing-climate/,"OTHER: Climate Change and resiliencyDESCRIPTION: This Practice Guide provides advice to forest and woodland owners, managers, planners and policymakers on how to adapt management and plan for the changing climate by providing an adaptation framework that takes the reader through the process of choosing and implementing appropriate adaptation measures. It brings together the latest insights from research and practice, supplemented by case studies to show how adaptation measures are being applied. This Guide supports the UK Forestry Standard and its Guidelines on Climate Change, which are the primary source of information on good practice requirements.The guide is embedded as part of the UKFS sets out the regulatory requirements for forestry and is the basis for assessing felling licenses and forest plans. In addition, government grants for woodland creation and forest management are conditional on meeting UKFS requirements. This is delivered by Scottish Forestry."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,6,Row 6,Forestry and Land Management (Scotland) Act 2018,2018.0,Forest degradation|Conversion of natural habitats|Forest restoration,,https://www.legislation.gov.uk/asp/2018/8/enacted,"OTHER: sustainable forest management, climate change, economic development, environmental enhancement, health and well-being. \nDESCRIPTION: On 1 April 2019, the Forestry and Land Management (Scotland) Act 2018 came into effect completing the devolution of forestry to Scotland. This means that Forestry will be fully accountable to Scottish Ministers and the Scottish Parliament. It also means that new fully devolved arrangements will come into place, including the creation of two new Scottish Government forestry agencies. One of them, Forestry and Land Scotland, is now responsible for managing the Scottish Ministers' land known as the National Forest Estate. Scottish Forestry (SF), an Executive Agency of the Scottish Government, replaces Forestry Commission Scotland, and is responsible for forestry policy, regulation, support and the awarding and payment of forestry grants. Together, they will play a significant role in taking forward the Scottish Government's ambitions and priorities of tackling climate change, economic development, environmental enhancement and improving health and well-being - all helping to create a more successful country with opportunities for all of Scotland to flourish."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.5.1,Please provide details of your region's forests-related policies.,7,Row 7,OTHER: all matters regulated under Town and Country Planning Act ,2023,Other: ,,,": NPF4 was adopted and published by the Scottish Ministers on 13 February 2023. This marks the culmination of an ambitious 3-year process of preparation. NPF4 is a crucial document to support the challenges we face in climate and nature and guide land use planning across Scotland. NPF4 recognises that we must think differently about our places and lead the transition to stronger, greener, fairer and healthier communities across Scotland. For the first time, NPF4 merges a national spatial plan with national planning policy. From this point on, NPF4 forms part of the statutory development plan, therefore, has an enhanced position and influence on planning decisions. NPF4 is clear that forests, woodland and tree cover will be protected and expanded and that woodland and trees on development sites will be sustainably managed. NPF4 policy strengthens the role of planning in supporting the delivery of Scottish Government's forestry commitments, and the contribution the sector and woodland expansion to net zero, reversing biodiversity decline and supporting a growing economy. NPF4 Policy 6: Forestry, Woodland and Trees sets out that development proposals that enhance, expand and improve woodland and tree cover will be supported. Policy 6 c) also sets out that development proposals involving woodland removal will only be supported where they will achieve significant and clearly defined additional public benefits in accordance with relevant Scottish Government policy on woodland removal. Where woodland is removed, compensatory planting will most likely be expected to be delivered. NPF4 Policy 6 reflects the Scottish Government's overarching policy on Woodland removal which is currently known as the Control of Woodland Removal Policy."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Adecuación del Plan Forestal de Andalucía Horizonte 2030,2020,Forest restoration|Forest degradation|Conversion of natural habitats|Deforestation,,https://www.juntadeandalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/planificacion-y-ordenacion-forestal/plan-forestal-andaluz/adecuacion-horizonte-2030,"La Adecuación del Plan Forestal de Andalucía Horizonte 2030 tiene como política principal adecuar el Plan Forestal Andaluz de 1989 a la realidad ambiental actual y promover un desarrollo rural sostenible a través de la gestión y conservación forestal. Busca mejorar el medio ambiente y generar riqueza y empleo en la zona, enfocándose en la restauración de ecosistemas, la lucha contra el cambio climático como sumideros de CO2, la protección de los recursos hídricos y la conservación de la biodiversidad, integrando la dimensión social y económica de la gestión forestal. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.5.1,Please provide details of your region's forests-related policies.,2,Row 2,Anteproyecto de Ley de Montes de Andalucía,,Forest restoration|Forest degradation|Conversion of natural habitats,,https://www.juntadeandalucia.es/medioambiente/portal/areas-tematicas/medio-forestal/planificacion-y-ordenacion-forestal/anteproyecto-ley-montes-andalucia,"En desarrollo, esta ley busca modernizar la legislación forestal para hacerla compatible con los retos del siglo XXI: cambio climático, desertificación y sostenibilidad. Se está elaborando de forma participativa con expertos, instituciones y ciudadanos."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.5.1,Please provide details of your region's forests-related policies.,3,Row 3,Protocolo colaboración público-privada,2025,Forest restoration,,https://www.juntadeandalucia.es/medioambiente/portal/landing-page-noticia/-/asset_publisher/XYiggbz580YL/content/la-junta-y-el-sector-forestal-andaluz-impulsan-su-colaboraci%C3%B3n-con-la-firma-de-un-protocolo-general/20151\n,"El Protocolo General de Colaboración firmado con la AAEF establece un marco de trabajo conjunto entre la Administración autonómica y el tejido empresarial forestal andaluz. Entre las áreas prioritarias de actuación se encuentra la promoción de tecnologías innovadoras que incrementen la eficiencia y sostenibilidad en la gestión forestal, con el objetivo de garantizar un uso óptimo de los recursos naturales. Además, el protocolo impulsa la formación continua y la profesionalización del sector, fomentando la especialización de los trabajadores para que las actividades forestales se desarrollen bajo los más altos estándares de calidad y sostenibilidad. Asimismo, se reforzará la divulgación y sensibilización acerca del valor estratégico de los montes andaluces, destacando su importancia para la biodiversidad, el desarrollo rural y su papel clave en la mitigación del cambio climático."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.5.1,Please provide details of your region's forests-related policies.,1,Row 1,Política Florestal do Estado de Goiás,2013,Forest degradation|Deforestation|Conversion of natural habitats,Fires|Large-scale agriculture, https://www.meioambiente.go.gov.br/files/Arquivos_23/RELATORIODEGESTAO2022.pdf,"No início de 2019 existia um passivo de mais de 3.000 (três mil) processos de demandas para fiscalização pendentes de atendimento. A sistematização e qualificação desses processos, aliado a mudanças de estratégias permitiram que nos anos de 2020 e 2022 o número de processos para atendimento de fiscalização seja em média de 800 (oitocentos) de forma rotativa. Em relação às ações de fiscalização in loco, observa-se que a demanda se restringe basicamente ao atendimento de demandas do Ministério Público do Estado e da sociedade em feral registradas na Ouvidoria da Secretaria. A mudança de estratégia consiste me realizar ações de fiscalização remotas para coibir o desmatamento e a degradação florestal, operações de fiscalização com alvos específicos e em parceria com instituições de segurança pública do Estado (DEMA, Batalhão Ambiental da Polícia Militar e GT3) e de Meio Ambiente do Governo Federal (ICMBio e IBAMA), além da utilização de aeronaves remotamente pilotadas. Essa ação foi iniciada no segundo semestre de 2020. As fiscalizações remotas são realizadas utilizando-se de alertas de desmatamento disponibilizados pelo INPE/DETER e pelo MapBiomas. Os alertas são aferidos a partir do confronto entre as imagens de satélites obtidas gratuitamente e dos vetores disponibilizados no SIGA. As operações de fiscalização se fazem valer ainda de novas tecnologias e capacitações, como por exemplo a utilização de aeronaves remotamente pilotadas e de aplicação para registro e sistematização de denúncias ambientais, bem como a lavratura e acompanhamento de autos de infração e demais procedimentos administrativos de maneira eletrônica. Quando consideradas as autuações remotas mais as presenciais relacionadas à desmatamento ilegal, verifica-se um salto de aproximadamente 6.800 hectares autuados em 2019 para 46.000 hectares autuados em 2022. Com isso, nos anos de 2021 e 2022 o total de área autuada por desmatamento foi superior ao total de alertas de desmatamento do MapBiomas. Essas ações contribuíram significativamente para a redução do desmatamento no Estado de Goiás. Segundo dados do MapBiomas, o Estado apresentou um decrescimento de 30% no desmatamento total entre 2019 e 2020. No período entre 2019 e 2021, o saldo houve um decrescimento de aproximadamente 6% do desmatamento em Goiás."
