disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Various,"At the UK level, Scotland is participating with the following, which is assumed to reported elsewhere:• NYDF (the UK endorsed this in 2014) • The European Landscape Convention• Convention on Biological Diversity (CBD)• Convention on International Trade in Endangered Species (CITES)• International Plant Protection Convention (IPPC)"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Bonn Challenge,"The Scottish Government has committed to a range of future actions as part of the pledge to the Bonn Challenge, including:by 2030, for the Bonn Challenge, 165,000 hectares of new woodland will be planted. This is part of Scotland's wider ambitions to increase woodland cover from 18% to 21% by 2032delivering a greater level of carbon sequestration with around 10MtCO2e of emissions being soaked up each year up to 2032 - some 130 Million tonnes of C02eincreasing the annual woodland creation target of 10,000 hectares a year to 15,000 hectares by 2024/25a commitment to improve the condition and extent of native woodlands - delivering a target to ensure 3,000 to 5,000 hectares of new native woodland is established each year.Complementary actions include:Increasing the use of Scottish wood products in construction from 2.2 million cubic metres to 3 million cubic metres by 2031/32Publishing a new Forestry Strategy for Scotland that has Sustainable Forest Management at its core and will support its ambitions for forestry restoration through woodland expansionWorking with the forest industries to double the current economic contribution to Scotland from forestry to £2 billion each year by 2030."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: UNFCCC and the Glasgow Leaders Declaration on Forests and Landuse (GLD),"On 2 November 2021, the Glasgow Declaration on Forests and Land Use was announced at the twenty-sixth UN Climate Change Conference of the Parties (COP26). Signed by 100 countries, representing 85% of the globe's forested land, the declaration issues a pledge to end or reduce deforestation by 2030. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"Andalucía participa en iniciativas y proyectos que alinean sus políticas (incluida la gestión de montes) con los ODS — por ejemplo acciones en el marco de plataformas de cooperación subnacional y proyectos como Catalyst 2030 y RegionsAdapt/Regions4 que conectan ODS, clima y naturaleza."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,World Heritage Convention,Como parte del Estado español que firma la convención https://lajunta.es/163y4
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Regions4 / RegionsAdapt,"Andalucía se adhiere a esta organización internacional, Regions4 es una entidad que da voz a los gobiernos regionales en los foros globales (como las Naciones Unidas o la Unión Europea) sobre cambio climático, biodiversidad y desarrollo sostenible."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: LIFE CO2RK,"LIFE CO2RK busca crear un marco operativo que dirija proyectos de compensación de emisiones en bosques de fagáceas en Europa, partiendo del alcornocal como referencia. Pretende así cuantificar y demostrar el potencial del alcornocal en la mitigación del cambio climático, para promocionar así el corcho como producto reservorio de carbono. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,"Estamos comprometidos em até dois anos implementar o Programa Estadual de REDD+ para coordenar, acompanhar e monitorar ações e projetos de redução e remoção de emissões e estratégias de captação de pagamento por resultados e alocação de incentivos. O Programa poderá registrar, verificar e emitir créditos de redução e remoção de emissões em escala jurisdicional a partir de padrões com reconhecida integridade ambiental e social, de forma que possam ser utilizados nos mercados de carbono."
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Rio Branco Declaration,"O Estado de Rondônia é signatário da Declaração de Rio Branco, como membro da Força Tarefa dos Governadores pelo Clima e Florestas. "
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,"O Estado é signatário da Declaração de Nova York, e vem atuando em parceria via MOUnder 2, The Climate Group. "
