disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate your state/region's involvement with jurisdictional REDD+,col2_Mechanisms in place to implement the jurisdictional REDD+,"col3_Financial sources, both secured or at application stage, for the jurisdictional REDD+",col4_Provide more details on the jurisdictional REDD+,,,
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Multi-partner governance structure|Policy strategy,None,"Estamos instituindo estrutura de governança participativa, operacional e transparente para a implementação de abordagem jurisdicional da redução e remoção de emissões, bem como para o cumprimento das salvaguardas de REDD+, além de veículo financeiro/mercadológico.",,,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Policy strategy|Social and environmental safeguards|Financial architecture: Regional fund to manage jurisdictional REDD+|Baseline year Subnational Forest Reference Emission Levels (FREL)|Benefit sharing strategy|Monitoring, reporting and verification system|Multi-partner governance structure",Carbon market mechanisms,"https://programajnr.misiones.gob.ar/d/inicio\n\nEl programa REDD+ JNR de la Provincia de Misiones es una iniciativa a escala provincial (jurisdiccional) diseñada para reducir las emisiones de gases de efecto invernadero causadas por la deforestación y la degradación de los bosques nativos.\n\nSu nombre oficial es Programa Jurisdiccional REDD+ ECO2, y utiliza una metodología específica para lograr sus objetivos.\n\nAquí te detallo los puntos clave:\n\n¿Qué significan las siglas?\nREDD+: Es un acrónimo de las Naciones Unidas que significa \'Reducción de Emisiones por Deforestación y Degradación de los bosques\'. El \'+\' incluye además la conservación, el manejo sostenible de los bosques y el aumento de las reservas de carbono forestal.\n\nJNR: Significa \'Jurisdictional and Nested REDD+\' (REDD+ Jurisdiccional y Anidado). Esta es una metodología específica, administrada por la organización internacional Verra (que es una de las principales certificadoras de créditos de carbono del mundo).\n\nJurisdiccional: Significa que el programa se aplica a toda la provincia de Misiones como una única jurisdicción, en lugar de a proyectos individuales y aislados.\n\nAnidado: Permite que proyectos de carbono más pequeños, si existieran, puedan \'anidarse\' o integrarse dentro del marco provincial más grande.\n\n¿Cuál es el objetivo principal del programa?\nEl objetivo central es cuantificar la reducción de emisiones que Misiones logra al evitar la deforestación y la degradación de la selva misionera.\n\nEstas reducciones de emisiones verificadas se convierten en créditos de carbono, que luego pueden ser vendidos en los mercados voluntarios de carbono a empresas u organizaciones que buscan compensar su propia huella de carbono.\n\n¿Cómo funciona?\nMedición: La provincia mide y verifica (a través de la metodología JNR de Verra) cuántas toneladas de CO2 se dejaron de emitir gracias a sus políticas activas de protección de los bosques.\n\nCertificación: Verra certifica esas reducciones como créditos de carbono.\n\nComercialización: Esos créditos se venden en el mercado voluntario internacional.\n\nDistribución de Beneficios: Los ingresos generados por la venta de estos créditos se utilizan para financiar el propio programa y se distribuyen a través de un Mecanismo de Distribución de Beneficios (MDB).\n\n¿Quiénes se benefician?\nLos fondos obtenidos se destinan a fortalecer la política provincial de conservación y a compensar a quienes protegen activamente el bosque, incluyendo:\n\nPropietarios privados de tierras con bosques nativos.\n\nPequeños productores.\n\nComunidades de pueblos originarios (Guaraníes).\n\nEstos fondos ayudan a financiar actividades clave como la prevención de incendios forestales, la lucha contra la tala ilegal y el cambio de uso de suelo no autorizado, y la promoción de actividades productivas sostenibles.",,,
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Policy strategy|Monitoring, reporting and verification system|Social and environmental safeguards",Green Climate Fund (GCF),Enhancement of forest management and conservation.,,,
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a lack of resources",,,,,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a reason not listed above: No se cuenta con una implementación REDD+ específicamente, sin embargo, el sector forestal se ve protegido e involucrado como parte importante en materia de captura de carbono en la legislatura, planes, programas y hojas de ruta de Euskadi.",,,,,,
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
