disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Name of the initiative,col2_Name of jurisdiction or/and landscape area,col3_Describe the aim of the initiative including any focus commodities and your state/region's role,col4_Implementation stage of initiative,col5_Current sources of finance for the initiative,col6_Types of partners engaged in the initiative design and implementation,col7_Describe governance structures and policies in place to support the initiative,col8_Five primary actions from private sector companies that would drive positive impact in the initiative,col9_Is a collective monitoring framework used to measure progress towards landscape goals and actions?,"col10_State the achievements of your engagement so far, and how progress is monitored"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Riverwoods ,Scotland ,"Riverwoods is a partnership initiative led by the Scottish Wildlife Trust and includes partners from government agencies (incl. Scottish Forestry, Forestry and Land Scotland, SEPA, Marine Scotland, and NatureScot), alongside charities (Woodland Trust Scotland, Buglife, Green Action Trust, Scotland the Big Picture, Tweed Forum, and Fisheries Management Scotland) and research centres (James Hutton Institute, Centre for Sustainable Forests and Landscapes) as well as industries (Scottish Water, Confor). Riparian - or riverbank - ecosystems have the potential to deliver enormous benefits not only to biodiversity but also to local communities and businesses. Riverwoods seeks to bring together a broad coalition of like-minded organisations and individuals to help realise these benefits, and to accelerate the pace of change.Riverwoods is a complement to other landscape-scale approaches to the restoration of ecosystems. Innovation, collaboration and action are at the heart of what we aim to achieve, as we make our own collective contribution to the global effort.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,"Private financial institutions|Private sector, companies|NGO|Governmental fund/subsidies",Financial institution(s),"Riverwoods is a 'Spotlight Project' initiative within The £1 Billion Challenge that is being used to help develop this model in Scotland.The Riverwoods partnership identified the outcomes and activities that would help achieve the vision and captured this in a Theory of Change or Logic Model, this guides the work of the partnership. There is a Strategic Advisory Board which provides strategic advice to the Delivery, Finance and Science groups. In addition, the Board helps guide the Riverwoods Initiative.A Science Group To provide expert synthesis across academic and practitioner evidence for the multiple functions of riparian woodland, specifically for Scottish landscapes, identifying gaps in knowledge and ability to translate across Scotland's implementation needs.The Finance Group brings together a range of organisations and individuals to advise on the finance aspects of Riverwoods. This includes discussing approaches to finance, developing proposals and overseeing delivery of the finance mechanisms deployed in the project. Secretariat support is provided by the Scottish Wildlife Trust.And the Delivery Group brings together organisations which are practically delivering river restoration projects, this group is a forum for sharing good practice and identifying barriers to delivery.","Collaborate on integrated watershed management and remediation activities|Support communities and smallholders in gaining access to incentives (e.g. support achieving certification, group formation, getting land title, packaging access to loans, preferential sourcing etc.)|Engage partners on importance of conservation, restoration and/or rehabilitation|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","Yes, progress is monitored using an internally defined framework","RIVERWOODS INVESTMENT READINESS PIONEERS - Led by the Scottish Wildlife Trust in partnership with Democratic Society and the Esmée Fairbairn Foundation, this project stream provides an opportunity for communities, landowners and other stakeholders to work together to identify Riverwoods projects that have the potential to be financed using new mechanisms beyond traditional grants. The Panel has met and reviewed the results of the public votes alongside its initial evaluation and selected the following projects. Each of the following projects will be offered 4000 each out of our total pool of 20000 to further develop their Riverwoods Pioneers proposals: • Annan Riparian Restoration Network • Upper Tay Catchment Communities • Glen Falloch Nature Restoration • Don't let Balloch Castle Country Part Sink • The River Ericht Catchment Regeneration Initiative"
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Rainforest Restoration (Alliance for Scotland's Rainforest - ASR is the partnership working towards 'Saving Scotland's Rainforest' - SSR),"Rainforest zone, found in the west of Scotland","The ASR is a voluntary partnership of more than 20 organisations (including four government agencies/bodies) that are all committed to collaborative action for the benefit of the rainforest in Scotland. Scotland's rainforest can only be restored at scale. The Alliance has identified a set of projects across the rainforest zone which can begin as soon as we can source the funding. The current areas of focus:Establish landscape-scale projects to restore and expand rainforest sites: - Identify how the Scottish Government could give greater priority to restoring Scotland's rainforest- Encourage and enable landowners and managers to restore and expand the rainforest in core areas- Work together to share ideas, information, knowledge and expertise to continually improve our understanding of how to best manage the rainforest.- We need to work at a large scale, across landscapes, collaborating with land managers and other stakeholders.Alliance for Scotland's Rainforest (savingscotlandsrainforest.org.uk) In summer 2024, Cabinet Secretary launched the new strategic plan that aims to accelerate delivery in tackling the challenges facing these iconic native woodlands and identify the practical steps the Scottish Government and its partners can take to help the rejuvenation of Scotland's rainforest. Recognising funding constraints, it sets out how this will be implemented over the next three years and sustained over the longer term. There will be nine initial priority areas for landscape scale action. The initial priority landscape scale areas listed in the plan are those either already in delivery phase or are expected to go into delivery phase in the next three years. Development and engagement work has already been done or is well underway and there is a strong local willingness to deliver at a population or landscape scale. They include those identified as landscape scale projects by ASR, which have adopted the ASR best practice guidance. The priority areas also reflect the Deer Management Strategic Board regional priorities and public and ENGO land clusters.",Implementation stage: Implementation plans are completed and currently underway/operational,"Governmental fund/subsidies|Private sector, companies|Private financial institutions|NGO",NGO and/or civil society,"Governance structure is not set for the overall partnership. Leadership for each project will be determined by lead landowner/manager, which can include government agency on public land, or private landowner, or eNGO-owned estates. Woodland creation and restoration policies and strategies mentioned above support the work. Scottish Government Ministers have expressed support for the partnership and targets being incorporated into the new Scottish Biodiversity Strategy will acknowledge the aspirations of this partnership.","Engage partners on importance of conservation, restoration and/or rehabilitation|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Communicate externally the business case for investing in landscapes/jurisdiction|Collaborate on management/ land use planning in the landscape/jurisdiction|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","Yes, progress is monitored using a shared external framework: Yes, progress is monitored using a shared external framework, please specify","Currently, three project areas have been identified with objectives decided and local partners pulled in. They are not fully funded yet,but are able to begin. A fourth project has been scoped and is awaiting funding to enable the development stage. The partnership establishes its strategy on a three-year cycle. During the most recent three-year strategy phase the partnership was relaunched, and combined efforts from all partners resulted in the following significant areas of progress:•The profile of Scotland's rainforest rose considerably, capturing attention of key audiences •The ASR became known as a credible and effective partnership of organisations, working actively and collaboratively •Of the four “ASR adopted” landscape-scale focus projects, two were able to go into delivery stage and two were scoped so they became ready to go into delivery.•The Scottish Government made the commitment: “Scotland's rainforest will be restored and expanded as a natural solution to the climate emergency”.•It was estimated that it will cost around £500m to restore all of Scotland's rainforest, leading to a new workstream to raise those kinds of funds. For the ASR, governance structure is not set for the overall partnership. Leadership for each project will be determined by lead landowner/manager, which can include government agency on public land, or private landowner, or eNGO-owned estates. Woodland creation and restoration policies and strategies mentioned above support the work. Scottish Government Ministers have expressed support for the partnership and targets being incorporated into the new Scottish Biodiversity Strategy will acknowledge the aspirations of this partnership. Within the new government strategic plan, Scottish Forestry will continue to provide a policy lead on rainforest. Officials from Scottish Government, Scottish Forestry, Forestry and Land Scotland, and NatureScot will need to work together to provide oversight and coordinate delivery across Government. The progress on delivery of the actions contained in this strategic approach will be monitored by Scottish Forestry and partners, particularly ASR, with annual Scottish Government funding and outputs summarised for Ministers. Monitoring of progress by 2026 will include: • number of landscape scale projects where delivery is underway • area covered by these projects • grant funding from Scottish Government (NRF and FGS, FLS) for rainforest work • area of planting, regeneration and PAWS (FLS)"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Estratégia Goiás Carbono Neutro 2050,Goiás,"Redução e remoção de emissões de GEE, qualidade e regularidade ambiental, viabilização de um mercado de serviços ambientais e promoção de Sistemas, Práticas, Produtos e Processos de Produção Sustentáveis (SPSabc) na gestão do território agropecuário, em atenção ao due diligence e às exigências de mercados consumidores e de sistemas financeiros para cadeias e produtos livres de desmatamento, em particular ao Regulamento sobre Desmatamento da União Europeia (EUDR), às regras sobre desmatamento definidas pelos traders de commodities agrícolas (ADM, Amaggi, Bunge, Cargill, Cofco, Dreyfuss), FEBRABAN, dos Frigoríficos, e resoluções do Conselho Monetário Nacional, entre outros, de modo complementar às iniciativas setoriais e voluntárias identificadas.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,Regional budget|Governmental fund/subsidies,Financial institution(s)|NGO and/or civil society|Indigenous peoples|Private sector|Local communities|Government,"Abordagem Jurisdicional em desenvolvimento contará com arranjo interinstitucional e estrutura de governança participativa. Será instituído um Comitê Gestor para a representação dos setores participantes. O monitoramento e avaliação da Abordagem Jurisdicional se dará no âmbito do Fórum Goiano de Mudanças Climáticas e Desenvolvimento Sustentável (FGMCDS), com participação da sociedade civil, povos indígenas e comunidades locais. ","Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Promote and implement climate change adaptation and mitigation activities|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Implement REDD+ actions in the landscape/jurisdiction|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,"Misiones aplica un ordenamiento territorial con enfoque jurisdiccional en el marco de la Ley Nacional 26.331 y la Ley Provincial XVI-105 (2017).\nCada municipio integra en su planificación territorial los usos permitidos (categorías rojo, amarillo y verde) según su valor de conservación.\nEsto permite coordinar:\n\nControl del uso del suelo,\n\nFiscalización de desmontes,\n\nRestauración y conectividad ecológica.",Todo el territorio provincial,,,,,,,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Estrategia Provincial REDD+,Misiones fue la primera provincia argentina en elaborar una Estrategia REDD+ a escala jurisdiccional.Su implementación articula:\n\nMonitoreo de deforestación y degradación con imágenes satelitales (Landsat y Sentinel).\nPlanes de restauración de corredores biológicos y áreas degradadas.\nVinculación con el Fondo Verde del Clima para financiar acciones de conservación.\nEl enfoque de paisaje busca mantener la conectividad ecológica entre las áreas protegidas provinciales y los corredores.,"1. Enfoque Jurisdiccional: Programa REDD+ JNR\nLa implementación de este programa se formalizó y detalló significativamente en octubre de 2024 a través del Decreto 2179/2024.\n\nEste decreto aprueba formalmente el \'Programa de Reducción de Emisiones por Deforestación y Degradación Evitada Jurisdiccional Misiones (REDD+)\' y establece su marco de acción.\n\nDetalles clave de la implementación (según el Decreto 2179/2024):\n\nEstándar Utilizado: El programa opera oficialmente bajo el estándar internacional VERRA, utilizando el marco JNR (Jurisdictional and Nested REDD+). Esto permite que las reducciones de emisiones de toda la provincia sean verificadas y convertidas en créditos de carbono.\n\nProyecciones (a partir de 2025): Se estima que las 1.5 millones de hectáreas de Selva Paranaense bajo este programa absorberán 10.5 millones de toneladas de carbono, lo que podría generar ingresos superiores a los 60 millones de dólares para la provincia.\n\nLíneas Estratégicas (Acciones de Implementación): Los fondos y esfuerzos del programa se dirigen a:\n\nIncrementar la conservación y el valor de los bosques: Esto incluye medir la masa boscosa, desarrollar planes de reforestación, manejo forestal sostenible y prevención de incendios.\n\nPromover la puesta en valor de los servicios ambientales: Implica cuantificar el \'capital natural\' (en conjunto con el IPEC) y promover el turismo ecológico.\n\nPromover la transición energética: Apoyar a PYMES que adopten energías renovables y soluciones de economía circular.\n\nPromover la educación y las finanzas climáticas: Financiar a emprendedores y startups (por ejemplo, en Silicon Misiones) que desarrollen proyectos vinculados al cambio climático.\n\nParticipación: El programa invita activamente al sector privado (propietarios de tierras) a unirse al programa para evitar la deforestación y participar en los beneficios.\n\n2. Enfoque Jurisdiccional: ODS y Economía Circular\nLa implementación de los ODS es transversal, pero un ejemplo concreto de reporte jurisdiccional es el \'Primer informe de economía circular de la provincia de Misiones\', que detalla las acciones implementadas durante el año 2023.\n\nEste enfoque está directamente vinculado al ODS 13 (Acción por el Clima) y al ODS 15 (Vida de ecosistemas terrestres), y el programa REDD+ es considerado una herramienta clave para cumplir estas metas.",Implementation stage: Implementation plans are completed and currently underway/operational,"REDD+ finance|Private sector, companies",Indigenous peoples|Local communities|NGO and/or civil society|Financial institution(s)|Government|Private sector,"Estructuras de Gobernanza de REDD+\nLa gobernanza del programa REDD+ en Misiones es interministerial, reconociendo que la gestión del carbono involucra tanto la política ambiental como la financiera.\n\nComité del Proyecto del Programa Provincial REDD+: Este es el órgano de gobernanza central y específico. Está integrado por representantes de tres ministerios clave que toman las decisiones estratégicas:\n\nMinisterio de Cambio Climático (MCC): Actúa como el diseñador de la política climática. Es el organismo líder en la estrategia de mitigación, la medición de carbono y la articulación internacional del programa.\n\nMinisterio de Ecología y Recursos Naturales Renovables: Es la autoridad de aplicación histórica en materia de bosques. Se encarga del control, la fiscalización, la prevención de la deforestación y el manejo de las áreas protegidas. Es el brazo ejecutor \'en el terreno\'.\n\nMinisterio de Hacienda, Finanzas, Obras y Servicios Públicos: Dado que REDD+ es un mecanismo financiero, este ministerio gestiona la estructura económica, el fideicomiso (trust) donde se reciben los fondos de la venta de créditos y los contratos comerciales (como el acuerdo con Verra).\n\nolíticas Implementadas para REDD+\nEl programa se sustenta en un marco legal y estratégico específico que lo hace operativo.\n\nDecreto 2179/2024: Esta es la política fundamental y más reciente. Aprueba formalmente el \'Programa de Reducción de Emisiones por Deforestación y Degradación Evitada Jurisdiccional Misiones (REDD+)\'. Este decreto da entidad legal al programa y autoriza su implementación bajo los estándares internacionales.\n\nAdopción del Estándar VERRA (JNR): Una política clave fue la decisión (ratificada por resoluciones ministeriales, como la Res. 776/23 de Hacienda) de adoptar el estándar JNR (Jurisdictional and Nested REDD+) de Verra. Esto significa que Misiones no inventó sus propias reglas, sino que se alinea con el estándar internacional más reconocido para certificar y vender créditos de carbono a nivel jurisdiccional.\n\nEstrategia Provincial REDD+ (EPREDD+): Es el documento estratégico (aprobado por Res. 241/23 del Ministerio de Ecología) que define los lineamientos, las causas de la deforestación a atacar y las líneas de acción del programa. El Decreto 2179/24 luego ratifica esta estrategia.\n\nLeyes de Base (Fundacionales):\n\nLey XVII - N° 130 (Creación del MCC): La política de crear un ministerio específico para el Cambio Climático fue el primer paso de gobernanza, dándole al tema el rango político más alto.\n\nLey XVI N° 105 (Ordenamiento Territorial de Bosques Nativos): Esta es la ley de base que el programa REDD+ viene a fortalecer. Define qué áreas deben ser conservadas (Categoría Roja y Amarilla), y REDD+ provee el mecanismo financiero para hacer cumplir esa protección.",Collaborate on integrated watershed management and remediation activities|Support enforcement of land-use and/or zoning plans|Implement REDD+ actions in the landscape/jurisdiction,"Yes, progress is monitored using a shared external framework: Salvaguardas de Cancún","Los logros de REDD+ en Misiones se centran en haber frenado la deforestación de manera medible y haber conseguido la aprobación formal de su programa jurisdiccional bajo un riguroso estándar internacional.\n\nLogros Principales:\nFreno a la Deforestación: El logro fáctico clave es haber frenado casi por completo la deforestación neta, a diferencia de las jurisdicciones vecinas. Misiones conserva más del 52% de su bosque nativo (Selva Paranaense).\n\nAprobación Verra JNR: El logro técnico-administrativo central es el registro exitoso del \'Programa Jurisdiccional REDD+ ECO2\' bajo el estándar internacional Verra JNR (ratificado por Decreto 2179/24).\n\nAcceso al Mercado: Esta validación permite convertir las reducciones de emisiones (toneladas de CO2 evitadas) en créditos de carbono verificados (VCUs), listos para ser vendidos en el mercado voluntario.\n\nGobernanza: Se estableció una arquitectura institucional robusta, liderada por el Ministerio de Cambio Climático (MCC) en coordinación con el Ministerio de Ecología (fiscalización) y el de Hacienda (gestión financiera).\n\nMonitoreo del Progreso (Sistema MRV)\nEl progreso se mide rigurosamente usando un sistema de Monitoreo, Reporte y Verificación (MRV), que es un requisito obligatorio del estándar Verra.\n\n1. Monitoreo (M): Combina dos técnicas:\n\nTeledetección: Uso de imágenes satelitales para medir el área (hectáreas) deforestada o degradada.\n\nInventario Forestal: Mediciones in-situ (en el terreno) en parcelas permanentes para calcular el stock de carbono (cuántas toneladas de CO2 hay por hectárea).\n\n2. Reporte (R): La provincia establece un Nivel de Referencia de Emisiones Forestales (NREF). Esta es la línea de base que proyecta cuánta deforestación hubiera ocurrido sin el programa. Luego, reporta a Verra la diferencia entre ese NREF y las emisiones reales (medidas en el Monitoreo). Esa diferencia es la reducción lograda.\n\n3. Verificación (V): Un auditor externo independiente (VVB) debe verificar que los datos y cálculos del reporte sean reales, precisos y adicionales. Solo tras esta auditoría positiva, Verra emite los créditos de carbono.\n\nTambién se monitorea con un Sistema de Información de Salvaguardas, en consonancia con los Salvaguardas de Cancún. "
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Tratado da Mata Atlântica,Estados do Sul e Sudeste,"Acordo do Consórcio de Integração Sul e Sudeste (COSUD) que visa a conservação e reflorestamento do bioma, com a meta inicial de plantar 100 milhões de mudas de espécies nativas até o fim de 2026. ",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,Governmental fund/subsidies,Government,"O COSUD (Consórcio de Integração Sul e Sudeste) é uma associação formada pelos governos dos estados das regiões Sul e Sudeste do Brasil, com o objetivo de fortalecer a cooperação intergovernamental e impulsionar ações socioeconômicas e ambientais conjuntas. Fundado em 2019, o consórcio discute soluções para problemas comuns entre os estados, abrangendo temas como segurança, meio ambiente, saúde, educação e economia, e buscando o desenvolvimento de políticas públicas integradas para a região.","Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Engage partners on importance of conservation, restoration and/or rehabilitation|Communicate externally the business case for investing in landscapes/jurisdiction","No, we do not monitor progress and do not plan to in the next two years",
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Sustainable Growth,State of Maryland,"See Page 61 of Maryland's Climate Pollution Reduction Plan, 'Sustainable Growth.' The Maryland Department of Planning is the lead agency for reducing emissions through sustainable growth and land use/location. These efforts and programs are designed to minimize GHG emissions from future land development and foster transit use, walking and biking, and shorter travel distances for daily mobility needs.",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,No finance at present,Government|Private sector,"The Sustainable Growth Subcabinet (https://planning.maryland.gov/Pages/OurEngagement/SGSubcabinet/smart-growth-subcabinet.aspx) led by MDP, makes recommendations to the Governor regarding changes in state law, regulations, and procedures needed to create, enhance, support, and revitalize sustainable communities across Maryland; and\nfacilitates interagency coordination to ensure successful statewide community reinvestment and\ncompact development initiatives are integrated and balanced to achieve multiple benefits that\nadvance equity, economic growth and environmental regeneration.","Capacity building for farmers, smallholders and local communities to implement good agricultural practices (including improved efficiency, crop diversification and adoption of certification)|Engage partners on importance of conservation, restoration and/or rehabilitation|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Collaborate on integrated watershed management and remediation activities|Promote and implement climate change adaptation and mitigation activities","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Growth Management Act,Comprehensive planning/regional government,Restricts sprawl by establishing urban growth boundaries; Protects forest and other rural landscapes,"Review, evaluation and adapt: Lessons learned from the initiative are being used to update original plans",Governmental fund/subsidies,Government|Indigenous peoples|Local communities,,,,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Hawaii Forest Action Plan,Hawai'i wide,"The Hawaii Forest Action Plan involves collaboration among multiple agencies, institutions, and landowners to steward Hawaii's natural resources",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Indigenous peoples|Local communities|NGO and/or civil society|Government|Private sector,,,,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,We have a policy which supports Natural Resource management,,,,,,,,,
