disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals?,col2_Primary reason for no involvement in landscape and/or jurisdictional approaches,,
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, and do not plan to in the next two years",No suitable initiatives to engage in,,
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Insufficient legal/policy frameworks to enforce implementation,,
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
