disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Description of data collected,col2_Geographic scope covered by the monitoring,col3_Frequency of data collection,col4_Do the results of forest monitoring inform your region's overall strategy to managing forests?,col5_Please explain
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"The National Forest Inventory (NFI) is a rolling programme designed to provide accurate information about the size, distribution, composition and condition of our forests and woodlands and also about the changes taking place in the woodlands through time.",Entire natural forest area within the region,Other: This dataset informs targets and actions plans. HAP targets report sets out analysis of the potential to achieve native woodland HAP targets by developing forest habitat networks centred on existing woods of high nature conservation value in Scotland,Yes,"The report is intended to inform the development of regional targets and the targeting of action in each region. Scottish Forestry also aims to make maps associated with the report available in; https://www.forestry.gov.scot/component/edocman/94-native-woodland-targets-map/download?Itemid=0\n-\nTHE NFI data is used to inform grant support, provide details and need for PAWS restoration, and help determine priorities for forest management and design plans.Analysis that builds upon NFI includes Woodland Ecological Condition Monitoring (WEC). Evidence of the current state of woodland ecological condition and how it changes over time is required to inform the targeting of resources and woodland management in support of biodiversity and ecological resilience. The following provides a statistical assessment of 15 indicators of woodland ecological condition and a further classification of woodland habitat into its condition status of favourable, intermediate and unfavourable. WEC will be determined every 5 years; we are still awaiting a second round to ascertain trends."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,"THe Ancient Woodland Inventory (AWI) was created in response to a 1980 select committee which recommended that ancient woods should be recognised and treated as a separate category, the NCCs compiled the Inventories of Ancient, Long-established and Semi-natural woodlands. A more sophisticated classification was developed for woodlands in Scotland due to the nature of the available historical sources",Areas of high conservation value,"Other: This dataset is not updated to a schedule, but updates are made as needed with new condition surveys being undertaken regularly.",Yes,"Forest plans are intended to respect, protect, enhance, and connect ancient woodland sites. Where PAWs (Plantations on Ancient Woodlands) exist there are targets for restoration back to native woodland. AWI sites are also protected through the wider planning process (SPP)."
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,4,Row 4,"The Native Woodland Survey of Scotland (NWSS) identified and mapped the location, extent, type and condition of all of Scotland's native woodlands. Launched in 2014, it was the first authoritative inventory of our native woods, and created a baseline for future monitoring of change.",Entire natural forest area within the region,"Other: THe resources invested in undertakingsuich a survey were high and while the total survey has not yet been repeated, it is maintained in a digital database which can be updated as required through smaller local surveys and changes.",Yes,"This dataset informs targets and actions plans. For example, Native Woodland HAP targets report sets out an analysis of the potential to achieve native woodland Habitat Action Plan (HAP) targets by developing forest habitat networks centred on existing woods of high nature conservation value in Scotland. The report is intended to inform the development of regional targets and the targeting of action in each region."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,SIOSE,Entire natural forest area within the region,Other: No sigue una misma periodicidad ya que funciona según disponibilidad de PNOA,Yes,La información de SIOSE se incorpora a la REDIAM donde combinándose con otras fuentes de datos permiten analizar la evolución de la superficie forestal a largo tiempo. \nTambién se usa en los Planes de Ordenación de los Recursos Forestales (PORF) como información oficial de ocupación del suelo o en la Estrategia Andaluza de Gestión Integrada de la Biodiversidad y Estrategia Forestal Andaluza
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Red SEDA,Entire natural forest area within the region,,Yes,"Es la herramienta principal para evaluar el estado fitosanitario del arbolado, detectar tendencias y alteraciones, e identificar los agentes nocivos que amenazan los bosques, proporcionando así información clave para la toma de decisiones en materia de sostenibilidad y medio ambiente. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,Visor de Indicadores Forestales “Indifo”,Entire natural forest area within the region,Six monthly or more frequently,Yes,Proporciona información geográfica actualizada sobre los ecosistemas forestales para impulsar una gestión forestal más eficaz y sostenible
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,4,Row 4,Proyecto FORESTIA,Entire natural forest area within the region,Six monthly or more frequently,Yes,"Aúna tecnologías avanzadas como sensores remotos, imágenes satelitales del programa Copernicus y LiDAR, junto con técnicas de Ciencia de Datos e Inteligencia Artificial. Su objetivo es ofrecer información rápida, precisa y actualizada para una planificación forestal sostenible y adaptada al cambio climático en Andalucía"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"A Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável (Semad) implementa o Sistema de Informações Geográficas Ambientais do Estado de Goiás (SIGAA), disponível para acesso em siga.meioambiente.go.gov.br, para monitorar e identificar mudanças na área florestal natural do Estado resultante do desmatamento e/ou degradação florestal, a partir da integração de informações espaciais de distintas fontes. Além de dados e mapas referentes à avaliações de riscos, impactos e oportunidades para informar a gestão de florestas no Estado em múltiplos temas, em fase final para publicização o Dashboard do SIGAA com informações referentes ao Licenciamento, Fiscalização, Áreas Protegidas, Monitoramento, Recursos Hídricos e Uso do Solo. Assim, é possível desagregar as informações por município e identificar séries históricas, quando for o caso. Em especial, é possível monitorar diariamente Alertas de Desmatamento, Focos de Calor e a localização de Aterros Sanitários e Lixões no Estado de Goiás. Ainda, é possível acompanhar o cadastro de barragens, volume de uso e risco, no âmbito do Plano Estadual de Segurança de Barragens e demais outorgas (DURH) autorizadas por este Órgão. Por fim, acompanha-se a conversão de uso do solo e o Remanescente de Vegetação Natural à luz das ferramentas nacionais amplamente adotadas. ",Entire natural forest area within the region,Six monthly or more frequently,Yes,"A partir da integração de informações permitida pelo SIGAA, a Semad consegue produzir avaliações de riscos, impactos e oportunidades florestais que informam a gestão de florestas do Estado de Goiás. Por exemplo, o mapeamento de remanescente de vegetação nativa conforma a lista de áreas prioritária para a criação de unidades de conservação estaduais; mapas de acúmulo de combustíveis nas unidades de conservação orienta atividades rotineiras da sua gestão, como a implantação de aceiros e a realização de capacitações e contratações. Em especial, o monitoramento via satélite ajuda Semad a combater desmatamento irregular em Goiás e realizar os autos de infração de forma remota ou com operações presenciais. "
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Utilizamos as bases federais e de outros institutos de monitoramento. Por exemplo: INPE (DETER-B e INTENSO, PRODES, TERRACLASS) IMAZON (SAD), MAPBIOMAS e alguns sistemas internacionais.",Entire natural forest area within the region,Other: Verificação dos dados por monitoramento mensal.,Do not know,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Observatorio Ambiental,Entire natural forest area within the region,Six monthly or more frequently,Yes,"El Observatorio de Datos Ambientales de Misiones, dependiente de la Subsecretaría de Ordenamiento Territorial, es una herramienta estratégica clave para fortalecer las políticas públicas ambientales de la provincia. Su objetivo principal es transformar datos en decisiones concretas, promoviendo una gestión ambiental basada en evidencia.\n\nFunciona registrando y gestionando información precisa y actualizada sobre el estado del ambiente y los recursos naturales, proveniente de diversas fuentes (monitoreos, informes científicos, sociedad civil y un observatorio satelital). Esto permite alinear las acciones provinciales con compromisos nacionales e internacionales, como el Acuerdo de París y la estrategia REDD+.\n\nAdemás, opera como un sistema de alerta temprana para prevenir y detectar problemáticas como el desmonte, delitos ambientales, atropellamiento de fauna e incendios forestales, mejorando la capacidad de respuesta.\n\nEl Observatorio ya ha generado herramientas innovadoras, como el Sistema de Monitoreo de Deforestación Automatizado (que analiza imágenes satelitales) y ha fortalecido la Gestión Preventiva de Incendios."
