disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Excel published in Energy Observatori website. It includes emissions evolution using spanish grid mix emission factor and excludes port and airport, as the scenarios in our SECAP (Climate Plan Government Measure)",Energia_SeguimentPlaClima.xlsx
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"An extraordinary city council meeting took place on Monday 25 September, considering the council's recommendations for the first section 114 notice.",
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,2022 Climate Infrastructure Fund Overview,"2024-Budget-EquityReport.pdf.pdf,2025 Sustainability Report Web Version.pdf.pdf,Chicago-CAP-071822.pdf.pdf,Healthy-Chicago-Report-v10-EN-compressed.pdf,WWC_Final_CPC.pdf.pdf"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,All updates to New York City's current climate action plan can be found here --> https://www.nyc.gov/content/climate/pages/planyc-getting-sustainabilty-done,
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Consumption-Based Emissions Account - Tackling London's greenhouse gas (GHG) emissions is a huge challenge and emissions related to our activities and consumption go far beyond the city's boundaries, be it the electronics we buy, the food we eat, the clothes we wear, most are produced outside London and the UK. The Mayor, together with London Councils and ReLondon, has jointly commissioned Leeds University to develop a historic trend of consumption-based emissions for London. It uses the latest available data (running from 2001-2021) on average expenditure on different types of goods and services. This methodology aligns with equivalent national government datasets at the UK level. London's consumption-based emissions in 2021 were around 80 MtCOe 2. They've fallen by 24 per cent since 2001, despite the city's population increasing by 1.4 million over that time. This means emissions per head have reduced by 35 per cent, from 13.9 to 8.98 tCOe 2 per person. Sectors quantified include: Transport; Housing, water, electricity, gas, other fuels; Food and drink.\nThe account is produced on an annual basis, and the next publication (for 2022 data) will take place later this year.",
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,n/a,
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City of Los Angeles, California (“City”) CDP questionnaire responses (\'CDP Response\') have not been prepared with the intent to inform an investment decision by investors in any of the City's bonds and, therefore, is not suitable to serve as the basis for making any such investment. Instead, the CDP Response is provided solely for submitting information to CDP.\n\nThe framework for responding to the CDP questionnaire (the “Framework”) requests respondents to answer specific questions or provide specific information. Sometimes, the Framework requests respondents to choose among a number of pre-set options which do not necessarily fit all circumstances. Oftentimes, the Framework asks for very short responses to questions or information requests that are nuanced and cannot be completely answered in the space provided. Investors should not rely on the CDP Response for making investment decisions and should understand that in many instances, more information or explanation is necessary to garner a full understanding of the answers and information presented.\n\nIn addition, the City has cited and/or referenced various third party studies and reports in the CDP Response. All citations or references made to any third party studies and reports in the CDP Response are provided as general background. The City has made no independent verification of the information provided by non-City sources and the City takes no responsibility for the completeness or accuracy thereof.\n",
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Proportions of population exposed have been obtained from varying datasets and methodologies as we have made use of publicly available research in some cases. Importance and severity of risks cannot be compared using these values. \nSome of the proportions include social factors, whereas others are simply based on the physical environment. Additionally, different datasets have been used compared to the last submission, any changes in these figures do not represent an actual change to the population exposed.\n\n\nWithin the Emissions Inventory section, we have used data released by DESNZ. This information is broken down into sectors however they do not match up with the Common Reporting Framework. Where possible, the sectoral data has been used to supply emissions data against the CRF categories, however this does not match completely. Additional information is provided on each row of the emissions inventory reporting. \n\nWithin section 9, we have highlighted projects that are not owned or sponsored by NCC, however they are within the jurisdiction of Northumberland and are publicly seeking funding through the North East Carbon and Nature Marketplace. Information on projects is available at https://marketplace.netzeronortheastengland.co.uk/hub/invest?region=Northumberland&rangeValue=0%2C100&minimumDonation=0 ",
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Carbon Neutral Action Plan,2028-carbon-neutral-action-plan-v2-160620 (1).pdf
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"For more information on Portland's 2025 response, please contact:\nKyle Diesner\nClimate Policy Analyst\nPortland Bureau of Planning and Sustainability- kyle.diesner@portlandoregon.gov. \n ",
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Most of the following developments are referenced earlier in the questionnaire but are included here as a selection of highlights to demonstrate new initiatives and positive progress which have been made since Reading's previous CDP submission in 2023: 1. AREA EMISSIONS: progress towards Reading's net zero by 2030 target is measured according the the UK national statistical dataset for 'emissions within the scope of influence of local authorities' - this shows that for 2023, the latest year for which data is available, there was a reduction in Reading Borough's carbon emissions of 58% compared to the 2005 baseline. This represents the 12th largest reduction out of almost 400 UK local authority areas. Reading's per capita emissions, at 2.7 tonnes per capita, are also the lowest of the six local authority areas in the Berkshire sub-region. 2. COUNCIL EMISSIONS: Reading Borough Council reported a reduction in its corporate carbon footprint of -72.7% in 2023/24 compared to the baseline year 2008/093. COUNCIL REDUCTION IN FOSSIL FUEL USE: the Council's Carbon Plan 2020-25 included a target to cut its use of fossil fuels by 50% by 2025 - the Council's 2022/23 Annual Greenhouse Gas Emissions report confirmed that this target had in fact been achieved 2 years early (in 2023). 4. ELECTRIFICATION OF REFUSE FLEET: Reading Borough Council continues to implement the conclusions of a green fleet review which will see all Council vehicles switched to EV. The Council's first all electric Refuse Collection Vehicle (eRCV) became operational in October 2021, with 5 more eRCVs added to the fleet in 2022/23 and 7 more eRCVs added in 2023/24, completing the electrification of the refuse fleet. 5. ZERO EMISSION BUSES: Reading Buses, which is owned by Reading Borough Council, secured £4.7m from the Government's Zero Emission Bus Regional Area grant scheme to enable the replacement of 24 diesel buses with full electric alternatives. Following successful trials in June 2024 the buses have been ordered and will be introduced to service in June 2025. 6. RENEWABLE ENERGY: Reading Borough Council joined with other Berkshire Councils to launch the Berkshire Solar Together scheme in 2023. The scheme offers solar and battery installations to residents, using collective buying power to negotiate competitive prices. The first round saw 0.64MW of solar capacity installed via 1,568 panels in 148 installations, with an estimated 25 yr CO2 reduction of 3,131,865kg and a total investment value of £1,348,504. It also led to 0.84mWh of battery capacity in 125 installations. The Council is participating in a second round of the scheme in 2024. 7. NATURE-BASED SOLUTIONS: Reading Borough Council has further extended its successful 'rewilding' trials bringing the total area of land managed under this policy to 50ha across 58 locations, including parks, recreation grounds and other greenspaces. 8. ACTIVE TRAVEL: following Reading's ranking as the 3rd most 'cycle-friendly' city in the UK in a survey by COLAS (February 2022), in 2024 Reading Borough Council secured an addition £538,000 in Active Travel funding to add to the £2.3m already secured for cycling and walking improvements. The Council also implemented 2 additional 'School Streets' in July 2024, bringing the total number of School Streets to 6, covering 10 schools in the Borough. School Streets involve temporary traffic restrictions at drop-off and pick-up times to encourages children to walk, cycle and wheel to school. 9. CARBON LITERACY TRAINING: Reading Borough Council secured 'Carbon Literate Organisation (Bronze)' status in February 2024, and achieved 'Carbon Literate' certification for 80 senior managers and 6 elected members, including the Leader and Deputy Leader of the Council, between September 2023 and June 2024. The courses offered are externally accredited by the Carbon Literacy Project. 10. WASTE RECYCLING: in September 2023 the Council launched a pilot scheme for kerbside collection of plastic bags and wrapping (including crisp packets, confectionary wrappers, foil-lined packaging, plastic film and bubble wrap) to 4,000 households which to date has led to collection of 13 tonnes of plastic waste. In July 2024 this pilot was expanded to a further 6,000 households (10,000 in total). 11. PUBLIC ENGAGEMENT: The Reading Climate Change Partnership/Reading Climate Action Network held its 6th Reading Climate Festival in June 2025, a mixture of on-line and face to face events to inspire climate action which engaged over 2000 people over the course of two weeks - details at https://readingcan.org.uk/festival25/. See also attached Annual Report for 2023/24. ",
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Nothing Further to add.,
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Swale Council adopted a revised Climate and Ecological Emergency Action Plan in March 2025. This set a revised net-zero target of 2045 for the borough. It also aggregated the Council's emission targets by scope:\nScope 1 - 2035\nScope 2 - 2045\nScope 3 - 2045. ,2025 Climate and Ecological Emergency Action Plan.pdf
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,none,
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,The 2024 Ask Cardiff Survey referenced in section 4.11 has been uploaded so the food insecurity datasets are accessible. ,Ask Cardiff 2024 Report.docx
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,This document contains an update to the activities carried out as part of the Belfast Climate Action Plan. It is the first review of climate related activities in the city and will be updated on an annual basis from this point on.,Our Planet Board Annual Review July24 V3.pdf
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The District is in the process of updating key climate and energy plans: Sustainable DC 3.0, Clean Energy DC 2.0, Climate Ready DC 2.0, and a plan for District Government operations to reach carbon neutrality. We are also in the process of updating the next Comprehensive Plan, which have climate resiliency as a keystone guiding the report. We've answered questions to the best of our ability based on the current plans and look forward to sharing the latest versions with next year's reporting!",
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,City of Melbourne's new Council Plan 2025-2029 lists as a key deliverable: 'Deliver a Circular Economy Framework and a new Integrated Climate Change Strategy'. The new Integrated Climate Strategy will be developed through 2025-2026 to meet the 16 criteria in C40's Cities Climate Transition Framework. City of Melbourne will continue consulting with C40 on the progress of the strategy's design as it progresses.\n\nhttps://hdp-au-prod-app-com-participate-files.s3.ap-southeast-2.amazonaws.com/6217/5576/0096/Draft_Council_Plan_2025-2029.pdf\n,
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Information, documents, ongoing projects, and monitoring are available and accessible on the website https://www.romaperilclima.it/\n\n6.1.1 Provide details on your emissions reduction targets. There were some questions in completing the form, especially regarding the target. Please contact our representatives for any clarification and the possibility of correcting any errors.\n\n9.1 Describe the results of the most significant adaptation actions currently undertaken by your jurisdiction.\nMany of the actions listed have been grouped by risk type, and not all fields have been completed. Please refer to the uploaded Adaptation Strategy text.\n9.2 Describe the results of the most significant mitigation actions currently undertaken by your jurisdiction. Updated with the City Climate Contract. Please refer to the uploaded Action Plan.\n\n","AdaptationStrategy_ENG (1).pdf,Strategia-Adattamento-DEF.pdf,action_plan_eng.pdf"
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,All information needed are attached in the related question sections.,
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,　,
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The City of Johannesburg's 2025 Climate Indicator Report shows steady progress in implementing its Climate Action Plan, which targets net-zero emissions and climate resilience by 2050. Current emissions stand at 20.9 MtCO₂e, or 4.2 tonnes per person—lower than some South African metros but still above the African average. Renewable energy uptake is growing, with 131 MW of embedded generation registered, while rooftop solar and mini-grids are expanding access and creating thousands of local jobs.\nTransport remains a challenge, with high dependence on private cars, though recovery in public transport, electric bus pilots, private EV fleets, and e-bike deliveries point to greener mobility options. Waste diversion has reached 19%, reducing methane emissions, but more is needed to curb landfill reliance.\nOn resilience, nearly all households have access to basic water and sanitation, though water losses remain high at 46%. Urban farming, tree planting, and SME support are strengthening community livelihoods, while air quality and urban heat pose rising risks. The City is responding with initiatives such as the Breathe Cities programme and greening campaigns.\nClimate governance underpins these efforts, with a planned online dashboard, strengthened partnerships, and training in green building, EV readiness, and climate finance. Despite persistent vulnerabilities—especially poverty, air quality, and transport emissions—the City is building the foundations for a just transition and more sustainable future.\n\nMeanwhile, Environmental and Social Management System (ESMS) manual being developed now by Johannesburg gives a unified system to manage environmental and social risks in capital projects. It strengthens fragmented policies, builds institutional capacity, and ensures compliance with national law and international standards. Key elements include core policies, a central compliance register, clear governance with ESG focal points, and procedures for risk screening, impact assessment, and monitoring. Guidance covers climate risk, GHG emissions, resettlement, biodiversity, and emergency response, supported by training and continuous improvement. In short, it equips the City to deliver infrastructure that is sustainable, legally compliant, and socially responsible.",Climate Indicator Report Digital (2).pdf
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Documents relating to section 1.3.3 \n- Integrated Urban Intervention Plan for the centre of Athens (2015) \n- Climate Action Plan for the mitigation of GHG emissions and for the adaptation to climate change (2017) as well as its updated 2022 version \n-Athens Resilience Strategy for 2030\n- Holistic Sustainable Urban Development Plan of the Municipality of Athens, using an Integrated Spatial Investment Tool (2017) \n- Sustainable Urban Mobility Plan (2021)\n- Local Waste Management Plan (2021) \n- Annual Technical Programme of the Municipality of Athens (2025) ","Athens-Resilience-Strategy-English.pdf,Athens-Resilience-Strategy-English.pdf,Climate Action Plan Part B 2017.pdf,Local Waste Management Plan (2021).pdf,Local Waste Management Plan (2021).pdf,cap-part-a-mitigation-plan.pdf,the Integrated Urban Intervention Plan for the centre of Athens (2015).pdf"
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Con la entrada en vigencia de la Política Pública de Acción Climática en septiembre de 2023 se viene realizando un seguimiento a los avances en productos y resultados esperados para los objetivos de mitigación al cambio climático, adaptación, y gobernanza. Este representa uno de los principales instrumentos para la evaluación y seguimiento de la acción climática en la ciudad.",informe_seguimiento_pp_accion_climatica_s2-24.pdf
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Se adjunta el informe final obtenido de dicho análisis (archivo “0.3 Co-beneficios de la Acción Climática Buenos Aires”), mencionado ene la respuesta 1.4.3. del apartado 01- \'Gobernanza\'.",0.3 Co-beneficios Acción Climática Buenos Aires.PDF
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"DECRETO 340/2024 - Prefeitura Municipal de Curitiba.\n\nReativação do Fórum Curitiba sobre Mudanças Climáticas, no ano de 2024. Em conformidade com o inciso IV do art. 72 da Lei Orgânica do Município de Curitiba, e com base\nno Protocolo nº 01-042437/2024;\n\nConsiderando a necessidade de promover ações coordenadas e eficazes para enfrentar os desafios das mudanças climáticas no âmbito deste Município; considerando a necessidade da construção das medidas de mitigação e adaptação em conjunto com a sociedade civil organizada; considerando as diretrizes e atribuições municipais constantes da Lei Municipal nº 15.852, de 1º de julho de 2021;\nDECRETA:\nArt. 1º Fica atualizada a estrutura e a composição do Fórum Curitiba sobre Mudanças Climáticas que\ntem por objetivo debater e propor medidas de mitigação e adaptação às inevitáveis mudanças climáticas\npara a cidade de Curitiba, por meio de recomendações técnicas encaminhadas ao Prefeito Municipal.\nArt. 2º O Fórum Curitiba sobre Mudanças Climáticas atuará em caráter consultivo, visando estimular, fortalecer e avaliar a implementação de políticas de Mudanças Climáticas mobilizando a sociedade por meio de debates para a discussão e tomada de decisões sobre o fenômeno das mudanças climáticas\nglobais.\nArt. 3º O Fórum Curitiba sobre Mudanças Climáticas será composto pelas instituições e órgãos: \nI - membros do Poder Público Municipal:\nII - membros dos segmentos da Sociedade Civil \nIII - membros de instituições de ensino, pesquisa e extensão:\n",Decreto 340 2024 de Curitiba PR.pdf
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information for now.,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,The attached climate neutrality concept 2023 has been approved by the council of the city of Heidelberg in November 2023. It summarizes the targets in mitiagtion and adaptation as well in other climate-related fields of action. It also gives an overview of the fields of actions and most relevant measures. This concept has been adapted by C40 as the for the membership most relevant integrated climate action plan.,Klimaneutralitaetskonzept_2023.pdf
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Keputusan Gubernur No. 576 tahun 2023 tentang Strategi Pengendalian Pencemaran Udara. Keputusan ini berisi tentang Rencana Aksi Strategi Pengendalian Pencemaran Udara, meliputi : Strategi Peningkatan Tata Kelola Pengendalian Pencemaran Udara; Strategi Pengurangan Emisi Pencemar Udara dari Sumber Bergerak dan Sumber Tidak Bergerak; serta Susunan dan Uraian Tugas Tim Kerja Pengendali Pencemaran Udara di Jakarta.","2023-Keputusan Gubernur DKI Jakarta Nomor 576 Tahun 2023.pdf,Instruksi Gubernur DKI Jakarta Nomor 6 Tahun 2025 tentang Penggunaan Angkutan Umum Massal Bagi Pegawai di Lingkungan Pemprov DKI Jakarta.pdf,Kepgub 292 Tahun 2023 - Cita Provinsi.pdf,MITIGASI DAN ADAPTASI BENCANA IKLIM.pdf,Matriks Aksi Mitigasi.xlsx,NA RUED.pdf,PERDA NO. 8 TAHUN 2024.pdf,PERDA RUED-1.pdf,Perda 8 2024 RPJPD Jakarta 2025-2045_compressed.pdf,UU_59_2024_RPJPN 2025-2045_compressed.pdf"
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Further information for Q1.4.6\n\n(cont)\nKey Area 3: Waste Reduction and Recycling efforts for public rental housing residents\n\nTo promote public rental housing (PRH) residents' awareness of waste separation at source and clean recycling and complement the Government's policies for Municipal Solid Waste, the Government organised various publicity activities with green groups and local non-governmental organisations, and set up recycling facilities by placing recycling bins/boxes in the common areas of PRH estates for collecting different kinds of recyclables. By end-June 2025, EPD installed a total of 937 food waste smart recycling bins (FWSRBs) across 218 PRH estates in Hong Kong, to provide incentives and convenience to cultivate the residents' food waste recycling habit. Additional FWSRBs are being installed, prioritising PRH estates that show higher food waste collection rates.\n\n========================\nFurther information for Q9.4.6\n\n(cont)\n\nThe Hong Kong Taxonomy for Sustainable Finance (Hong Kong Taxonomy) was published in early May 2024. It serves as a pivotal tool to scale up the flow of green and sustainable finance and address greenwashing concerns. Phase 1 of the Taxonomy operationalises the Common Ground Taxonomy to achieve alignment with the taxonomies of Mainland China and the European Union. It encompasses 12 economic activities under four sectors, namely power generation, transportation, construction, and water and waste management. To make the Taxonomy more usable and support the transition of the region, the HKMA has embarked on Phase 2 development, under which the scope of sectors and economic activities will be expanded to introduce transition elements and add new green activities. Examples of new activities include other forms of energy production, clean transportation, and manufacturing of materials, etc. The expanded taxonomy will also cover a new environmental objective, namely climate change adaptation, as well as new components like “Do No Significant Harm”. The HKMA plans to consult the public on the next phase taxonomy prototype in September 2025. The HKMA has been engaging with a broad set of stakeholders (including banks, corporates and investors), with a view to launching a taxonomy that can further facilitate the flow of green and sustainable finance.\n\nThe FSTB published in March 2024 a vision statement, setting out the vision and approach of the Government and financial regulators in developing a comprehensive ecosystem for sustainability disclosure in Hong Kong. Assuming the role of the sustainability reporting standard setter in Hong Kong, the Hong Kong Institute of Certified Public Accountants published in December 2024 following a public consultation the Hong Kong Sustainability Disclosure Standards (Hong Kong Standards) fully aligned with the International Financial Reporting Standards - Sustainability Disclosure Standards (ISSB Standards), which has been effective since 1 August 2025. The FSTB launched in December 2024 the Roadmap on Sustainability Disclosure in Hong Kong, which sets out Hong Kong's approach to require publicly accountable entities (PAEs) to adopt the ISSB Standards. It provides a well-defined pathway for large PAEs to fully adopt the ISSB Standards no later than 2028. In June 2025, the International Financial Reporting Standards Foundation (IFRS Foundation) published the jurisdictional profiles on adoption of the ISSB Standards, which confirms Hong Kong as among the initial set of jurisdictions having set a target of fully adopting the ISSB Standards. This demonstrates Hong Kong's commitment to enhancing the transparency of information on sustainable development in the capital markets, facilitating investors to make investment decisions and promoting global capital flows.\n\nTo facilitate listed companies to adopt the local sustainability disclosure standards for sustainable reporting in future, The Stock Exchange of Hong Kong Limited published conclusions to its consultation on the enhancement of climate-related disclosures under its ESG framework in April 2024 to introduce new climate-related disclosures requirements (New Climate Requirements). The New Climate Requirements are developed based on IFRS S2 Climate-related Disclosures. Implementation reliefs including proportionality and scaling-in measures are introduced to address concerns over the reporting challenges that some issuers may face. An accompanying implementation guidance incorporating relevant principles under IFRS S1 General Requirements for Disclosure of Sustainability-related Financial Information was also published to assist issuers' compliance with the New Climate Requirements, and issuers are encouraged to refer to and apply the implementation guidance when preparing disclosures under the New Climate Requirements. These requirements have been phased in for listed companies starting from the beginning of 2025.\nIn November 2021, the Mandatory Provident Fund Schemes Authority (MPFA) issued the “Principles for Adopting Sustainable Investing in the Investment and Risk Management Processes of MPF Funds” (Principles) to MPF trustees which provide a high-level framework to assist MPF trustees in integrating ESG factors into the investment and risk management processes of MPF funds and making relevant disclosure to MPF scheme members. The Principles cover four key elements: governance, strategy, risk management and disclosure. MPF trustees are also required to disclose their ESG integration strategy and implementation progress in the annual governance report of each MPF scheme for all financial years ended on or after 30 November 2022. In December 2024 and February 2025, circular letters were issued by the MPFA to all MPF trustees respectively to provide further guidance on the implementation and disclosure of sustainable investing strategies, as well as enhancing disclosure requirements for ESG-themed MPF funds to facilitate scheme members' understanding of the ESG fund characteristics, associated risks, and how these funds achieve their ESG foci. \n\n\n\n",
