disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Document,col2_Attachment,"col3_Comment and URL link, if applicable"
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Document tracking implementation progress of identified prioritized climate actions / interventions,,"Cleveland Climate Action Dashboard, created with ICLEI USA using ClearPath2.0 platform https://clearpathicleiusa.org/public/board/e1a6fb90-9149-476f-812c-5de387bcaf9f"
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,Council decision stating climate action as priority (official document with date),735-2025-FOR ADOPTION-Supporting Cleveland's 2025 Climate Action Plan Update.pdf,AN EMERGENCY RESOLUTION Supporting the City of Cleveland's 2025 Climate Action Plan Update. https://cityofcleveland.legistar.com/LegislationDetail.aspx?ID=7422501&GUID=D641AEB5-AD14-44AD-8330-8D112C546A97&Options=ID|Text|&Search=climate+action
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,,City of Dallas Comprehensive Environmental and Climate Action Plan (CECAP).pdf,
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",DECRETO_15280_GABINETE_DE_GOVERNANCA_CLIMATICA.pdf,"Decreto n° 15.280/2022, que dispõe sobre a criação do Gabinete de Governança Climática (GGC), com o objetivo de fortalecer o compromisso da Prefeitura de Fortaleza na promoção de iniciativas de preservação ao meio ambiente. O gabinete transversal terá a participação de múltiplas secretarias e órgãos municipais, para acompanhar os índices conectados ao meio natural e propor ações efetivas."
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",plano_local_de_acao_climatica_de_fortaleza_2020.pdf,"Em 2015 foi lançado o Plano de Ações e Metas para a Redução dos Gases de Efeito Estufa - Plano de Baixo Carbono de Fortaleza. Este foi o primeiro documento estratégico em que a cidade alinhou suas ações com os compromissos do Acordo de Paris.Durante o ano de 2016, a PMF publicou o seu 2º Inventário de Emissões de GEE, em parceria com o Banco de Desenvolvimento da América Latina (CAF), sob o nome Pegadas de Carbono e Hídrica da Cidade de Fortaleza, integrante do projeto Pegadas das Cidades realizado pela consultoria contratada Servicios Ambientales S.A. Em conjunto ao Projeto, em 2017, foi desenvolvido o Plano de Ações para Redução das Pegadas de Carbono e Pegadas Hídricas da Cidade de Fortaleza.Posteriormente estes documentos passaram por uma atualização que reflete uma evolução tanto à nível de ambição proposta para as reduções, como à nível de estratégias de governança. As ações e propostas do Plano de Baixo Carbono foram objeto do Sustainable Dialogue Lab (SD Lab - Laboratório de Diálogo Sustentável), sendo revistas por meio de uma ação conjunta com as universidads Northeastern University, da cidade de Boston, nos Estados Unidos e a Universidade de Fortaleza - UNIFOR, integrando assim academia, a juventude e o poder público.As atualizações deste planejamento se concretizam em um novo Plano, denominado Plano Local de Ação Climática (PLAC) de Fortaleza, produzido como parte do Projeto UrbanLEDS II. Sua elaboração partiu do alinhamento entre metas, ações planejadas e legislação existentes, utilizando a instância de participação social do FORCLIMA para debate das pautas e realizando diálogo com gestores de diferentes instituições e secretarias para validar e verificar possibilidades. Para fundamentação das metas são utilizadas informações dos estudos produzidos por Fortaleza, tendo como ponto de partida os Inventários de Emissão de Gases do Efeito Estufa (GEE), documentos nos quais se realiza o mapeamento, relato e monitoramento das fontes de emissão, e que são essenciais para o início do planejamento para a ação climática."
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Prioritized (shortlisted) list of actions, their estimated impacts and costs",,
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Document outlining institutional structures in place (i.e. decision-making and internal reporting process, could include an organigram).",Net Zero Cell_Circular.pdf,
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,"Prioritized (shortlisted) list of actions, their estimated impacts and costs",Ahmedabad Sustainability and Climate Budget FY 2025.pdf,
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Summary document with mandates, roles and responsibilities of the Climate Coordination Team (or equivalent group)",GAZİANTEP İKLİM KOORDİNASYON MERKEZİNİN YAPISI yönerge.pdf,"Gaziantep Climate Change Coordination Center - Rules of Procedure and Principles Directive \nThis directive formally institutionalizes Gaziantep's commitment to climate governance through the establishment of a Climate Change Coordination Center. It defines the roles, operational procedures, and mandates of the team responsible for overseeing city-wide climate mitigation and adaptation activities. The center functions as a multi-sectoral coordination body, ensuring integrated climate policy alignment across urban planning, energy, transport, waste, agriculture, and water sectors."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,Council decision stating climate action as priority (official document with date),7.5.39647 (1).pdf,"Environmental Impact Assessment Regulation (EIA Regulation)\nGaziantep applies the EIA Regulation as a mandatory framework to evaluate the environmental consequences of major infrastructure, industrial, and energy projects. This ensures all large-scale urban developments undergo pre-implementation environmental scrutiny. The city is directly responsible for incorporating EIA results into planning processes to prevent or mitigate ecological degradation, especially regarding air quality, biodiversity, water resources, and emissions control."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,Council decision stating climate action as priority (official document with date),GeneratePdf (1).pdf,"Strategic Environmental Assessment Regulation\nGaziantep uses the SEA Regulation to integrate environmental considerations into strategic plans and programs, such as its Provincial Environmental Plan (2040), Urban Master Plans, and sectoral strategies (transport, energy, waste, etc.). This regulation allows Gaziantep to embed long-term environmental sustainability into policy-making at the planning level, reinforcing climate resilience across all local government departments."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",4,Row 4,Council decision stating climate action as priority (official document with date),7.5.20033.pdf,"Environmental Permit and License Regulation\nGaziantep enforces environmental permitting for all industrial and energy-related facilities operating within the province. This regulation ensures that pollutant thresholds, emission controls, and waste management practices align with national standards. The municipality works with the Ministry to monitor compliance, granting or revoking environmental permits where applicable, thereby managing climate-related risks and ensuring operational accountability."
