disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Assessment attachment^,col2_Assessment direct link^,col3_Confirm attachment/link provided to assessment,col4_Boundary of assessment relative to jurisdiction boundary^,col5_Year of publication or approval,col6_Factors considered in assessment,col7_Please explain
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,climate-vulnerability-cap-2019-report.pdf,Sustainability & Climate Vulnerability Study: https://ctycms.com/ga-atlanta/docs/climate-vulnerability-cap-2019-report.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: Downtown Atlanta (Urban Study),2019,Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers vulnerable populations|Assessment includes sectors and/or urban systems|Assessment considers water security,"Spatial Analysis of Sustainability and Climate Vulnerability of Downtown Atlanta analyzes the intersection of social, economic, and environmental vulnerabilities. Spatial mapping was used to describe the degree to which a natural or social system is susceptible to and unable to cope with, adverse effects of climate change. Mapping includes: -Downtown Boundary -Neighborhood Planning Units -Roads and Interstates -Building Footprints -Small Businesses and Loans by Zip Code -Restaurant Visits -Commercial and Residential Electricity Consumption -Percentage Unemployed -Energy Burden-Percentage of Uninsured -Poverty \n-Transit Frequency -Asthma-CO2 Emissions \n-Flooding -Normalized Difference Vegetation Index (NDVI) -Heat Map-Urban Heat Island "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,arc-vulnerability-and-resiliency-framework.pdf,Vulnerability & Resilience Framework - Atlanta Regional Commission (ARC): https://cdn.atlantaregional.org/wp-content/uploads/arc-vulnerability-and-resiliency-framework.pdf,The assessment can be accessed (unrestricted) on the link provided,"Other: Atlanta region includes: Cherokee, Clayton, Cobb, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Henry and Rockdale counties, and the city of Atlanta.",2018,"Assessment considers vulnerable populations|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established for prioritizing identified hazards|Assessment considers water security","WSP USA Inc. is a Canadian company with American and British roots, providing management and consultancy services to the built and natural environment. This framework was prepared by WSP for the Atlanta Regional Commission (ARC). The purpose of this study was to identify short-term and long-term risks, because potential impacts can occur suddenly without advance warning; an example can be increasing extreme heat and how this impact can be minimized through planning, design, and management strategies. Policy linkages that might be relevant to the ARC region: -Health: air quality, extreme temperature, labor and water quality -Infrastructure: bridges, roads, urban drainage, and coastal development-Electricity: electricity demand, electricity supply, hydropower and thermoelectric cooling -Water Resources: inland flooding, drought and supply and demand -Agriculture and Forestry: crop and timber yields and market impacts -Ecosystems: freshwater fish, wildfire and carbon storage from 2019"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,,Atlanta Heat & Flood Risk Assessment: https://urbanclimate.gatech.edu/,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2023,Assessment considers vulnerable populations|Assessment includes sectors and/or urban systems|Assessment considers water security,This study identified three dimensions of Atlanta population vulnerability to heat and other environmental hazards: 1) Exposure - Intensity of heat stress experienced by an individual 2) Sensitivity - Degree to which an individual is affected by the resulting heat exposure 3) Adaptive Capacity - Ability of an individual or community to cope with or manage heat exposure. This analysis ranks risk at the neighborhood level.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,4,Row 4,,Climate Risk & Vulnerability Assessment,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,Same - covers entire jurisdiction and nothing else,2025,Assessment considers nature|Assessment considers water security|Assessment considers transition risks|Assessment includes sectors and/or urban systems|A process has been established for prioritizing identified hazards|Assessment considers vulnerable populations|A process has been established to update the assessment at least every five years|Assessment includes consultation with partners,"This Climate Risk & Vulnerability Assessment will solely be focused on Atlanta city limits and will inform the adaptation side of the Climate Resilient ATL Plan. This is a collaborative effort with a local climate resilience research team. The three Climate Perils identified with Fannie Mae's climate team previously were heat, flood, and drought for Atlanta, this will provide for a deeper dive and analysis to what we are facing due to climate change, and environmental & health inequities."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,CAMPO_Extreme_Weather_Vulnerability_Assessment.pdf,https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate/CAMPO_Extreme_Weather_Vulnerability_Assessment_FINAL.pdf,The assessment can be accessed (unrestricted) on the link provided,"Other: Covers the City of Austin, Travis County including Bastrop, Burnet, Caldwell, Hays, and Williamson Counties,",2015,"Assessment includes consultation with partners|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers nature|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment includes sectors and/or urban systems","The extreme weather and climate risks faced by the CAMPO region are generally relatively localized and situational (such as flooding or wildfire) or more gradual and incremental (such as the effects of drought) The collaboration between CAMPO and the City of Austin was successful, as were the multidisciplinary partnerships forged with agencies like the City of Austin Fire Department and Public Works Department."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,Climate_Resilience_Action_Plan.pdf,https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate_Resilience_Action_Plan.compressed.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: Austin climate resilience/adaptation efforts span multiple departments and adjacent counties.,2018,"Assessment considers nature|Assessment considers vulnerable populations|A process has been established to update the assessment at least every five years|Assessment includes sectors and/or urban systems|Assessment considers water security|Assessment includes consultation with partners|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework","This Climate Resilience Action Plan provides an overview of climate projections for Austin, an assessment of potential extreme weather impacts to City-owned assets and operations, and strategies to mitigate those impacts. City-owned assets and operations that are critical for overall resilience include1) Utility Infrastructure needed to deliver energy, water, wastewater, and telecommunications utility services to the community; 2) Transportation Infrastructure, such as critical arterial roadways, that support the transportation and mobility of citizens; and 3) Community Facilities, including recreation and activity centers, libraries, and neighborhood centers, that may be utilized as relief and assistance centers in the event of a disaster. Until recently, the four key climate hazards emerged as the most critical for both short- and long-term planning efforts: (1) Extreme Heat, (2) Drought, (3) Flooding, and (4) Wildfire. Climate projections for Austin suggest that there will be an increase in average annual temperatures, with high temperature extremes becoming more common. Precipitation patterns are expected to become more variable, leading to longer periods of drought interspersed with heavy rainfall events.A Climate Resilience Team, consisting of staff from multiple City of Austin departments, held work sessions to discuss impacts to City operations due to extreme weather events, such as extreme heat, drought, flooding and wildfire. During these meetings, the Climate Resilience Team also identified and analyzed potential issues that may arise in the future. With these risks in mind, staff conducted a vulnerability assessment of major City assets and facilities. An important tool for highlighting priority action areas, this vulnerability assessment informs department-specific and citywide resilience strategies Method to conduct a vulnerability assessment:•Part I: Identification of Climate and Extreme Weather Hazards •Part II: Vulnerability Assessment of City of Austin Assets and Facilities •Part III: Strategies to Increase Resilience to Climate ChangeMore recently, we've launched a community focused Resilience effort to outline how the City is harnessing our strengths including our growing economy, abundant ecosystems, and vibrant culture-to address these shocks and stresses. The City's Office of Sustainability and Resilience, the Community Advisory Committee, and a collaborative of over 20 City Departments and Offices have translated the key priorities raised through an analysis of existing data and City plans, as well as preliminary consultation with City and community stakeholders, into three cross-cutting priorities and four aspirations. The cross-cutting priorities articulate goals for the City, given immediate challenges facing Austin, whereas the aspirations provide entry points for further exploration to achieve those priorities. This framework of priorities and aspirations will guide the Office of Resilience's work forward as we co-develop robust resilience actions and align on initiatives over the next year.More info on a new plan under development: https://www.austintexas.gov/sites/default/files/files/Resilience/resilience-framework.pdf"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,2020 Brandt et al. Austin_TX Climate vulnerability assessment of Austins Urban Forest and Natural Areas-3.pdf,https://www.climatehubs.usda.gov/sites/default/files/2020%20Brandt%20et%20al.%20Austin_TX%20Climate%20vulnerability%20assessment%20of%20Austins%20Urban%20Forest%20and%20Natural%20Areas-3.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2020,Assessment includes consultation with partners|Assessment considers nature|Assessment includes sectors and/or urban systems," The assessment plan builds on lessons learned from the Climate Change Response Framework: a collaborative, cross-boundary approach among scientists, managers, and landowners to incorporate climate change considerations into natural resource management. Each project interweaves four components: science and management partnerships, vulnerability assessments, adaptation resources, and demonstration projects"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,4,Row 4,UTCCC Austin Future Climate Report_2024-06-03_V1p9.pdf,https://www.austintexas.gov/page/climate-projections-austin#Fewerfrostdaysandfreezespellsareexpectedwithcoldspellslastingaboutaslongasusual,The assessment can be accessed (unrestricted) on the link provided,"Other: Regional, including adjacent counties.",2023,"Assessment considers water security|Assessment considers vulnerable populations|A process has been established to update the assessment at least every five years|Assessment considers transition risks|Assessment includes consultation with partners|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature","Recent projections for Austin indicate a future with hotter summers, more frequent heatwaves, and fewer cold spells. Rainfall projections are highly uncertain, but the amount of rainfall in our area is expected to remain relatively unchanged. As the climate shifts, we can anticipate more extreme weather, more climate variability, and a slight increase in windy days.\n\nThese projections have been meticulously calculated and analyzed by a team at the University of Texas at Austin as part of the UT-City CoLab — the first city-specific climate collaborative globally. Experts outlined potential outcomes based on two different emissions scenarios, each fully dependent on human activity — or inactivity — in the face of climate change:\n\n\'High-emissions scenario\' — a situation where emissions from human activities keep increasing rapidly.\n\'Business-as-usual emissions scenario\' —a situation where our emissions remain the same as they are now."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,5,Row 5,Austin-blueprint-11-spreads-forced.pdf,https://www.austintexas.gov/sites/default/files/files/Resilience/Austin-blueprint-11-spreads-forced.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2025,Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers vulnerable populations|Assessment considers water security|Assessment includes sectors and/or urban systems|Assessment considers nature|Assessment considers transition risks|Assessment includes consultation with partners,"This framework outlines Austin's key challenges, aspirations, and priorities, drawing from city plans and input from our Community Advisory Committee. It guides research and public engagement with City staff, local agencies, nonprofits, businesses, and elected officials.\n\nThrough collaboration, we aim to uplift existing initiatives and co-create actions that build resilience for individuals, neighborhoods, and our region. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,6,Row 6,Austin-heat-resilience-playbook.pdf,https://www.austintexas.gov/sites/default/files/files/Resilience/Austin-heat-resilience-playbook.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2024,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers water security|Assessment considers transition risks|Assessment considers nature|Assessment includes consultation with partners|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations","Austin's first Heat Resilience Playbook (PDF 5.5 MB) emphasizes strategic actions the City and partners are taking to support community preparedness, prioritize cooling investments in high-heat neighborhoods, and ensure our infrastructure is resilient.\n\nThe City hopes to raise residents' awareness of heat risks, develop a collaborative framework within the City and community to build heat resilience, and establish a coordinated implementation of heat resilience efforts in Austin. "
