disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Factors that affect ability to adapt,col2_Degree to which this factor challenges/supports the adaptive capacity of your jurisdiction,col3_Describe how the factor supports or challenges the adaptive capacity of your jurisdiction
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Infrastructure conditions / maintenance,Challenges: Moderately challenges,"Atlanta ranks the 4th highest in median energy burden levels and 3rd highest for low income household populations. The aging infrastructure stock exacerbates this problem and leaves low-moderate income with high utility bills and health concerns. Aging infrastructure also poses a challenge for City operations, as buildings need mass capital for upgrades for energy efficiency, health and safety, and creating more innovative and circular processes."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Technical capacity,Challenges: Significantly challenges,"Due to our grid being run by our utility company, we have limited control on the percentage of renewables in our energy mix and energy planning decisions."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Inequality,Challenges: Moderately challenges,"The city of Atlanta accounts for 59 percent of State's economic output despite making up only 4.8 percent of the State's population. Globally, the city's economy is equally impressive, ranking 10th in U.S cities in the world economy with a Gross Domestic Product (GDP) of approximately $295 billion. Among the 12 largest U.S. metropolitan regions, Atlanta exhibited the fastest employment growth in 2016 with the addition of 75,000 jobs. The entertainment industry plays a major role in Atlanta's economy. In 2016, Georgia was the number one state in the U.S. for feature film production. As a result, the film industry has generated thousands of jobs and $6 billion for Georgia's economy in FY 2015 with an estimated 75-80 percent of productions filmed in the city. The music industry similarly has a significant impact on the both the culture and economy of Atlanta, contributing $3.7 billion in economic impact annually. Another asset critical to Atlanta's economy is the Hartsfield-Jackson Atlanta International Airport, which is 10th in North America in cargo volume and generates $34.8 billion in economic activity. The Hartsfield-Jackson Atlanta International Airport has been ranked as the world's most traveled airport by passenger traffic every year since 2000 and is considered a major hub for travel throughout the southeastern U.S. The Airport also provides more than 63,000 jobs on site, making it the state's largest employer. Despite Atlanta's array of economic assets and recent economic growth, Atlanta has the highest income inequality of any city in the U.S. and has continued to grow more unequal over the past decade. In 2014, the poorest 20 percent of households in Atlanta earned less than $15,000 annually, while the richest 5 percent of households in Atlanta earned more than $288,000. As the gap grows between rich and poor in the city, the middle class is shrinking. Compared to 50 other cities, Atlanta has the sixth lowest middle-class population (i.e. households with $40,000-$100,000 incomes), representing 32 percent of the population."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Infrastructure capacity,Challenges: Moderately challenges,"From the American Society of Civil Engineers (ASCE) 2024 Report Card, Georgia received a score of C+. Georgia has 10.9M residents and is rapidly growing, it is benefiting from increasing investments toward infrastructure and modernizing operations. With rapid growth, comes challenges to ensure safe and reliable infrastructure. GA grades low in Transit (D), Dams (D+), Stormwater (C-), and Wastewater (C-). While the state grades higher in Ports (B+), Schools (B), Energy (B), Bridges (B), and Rail (B). Here is the full report: https://infrastructurereportcard.org/state-item/georgia/. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Housing,Challenges: Moderately challenges,"Atlanta's economy and housing market was hit hard by the 2008 housing crisis. Since then, however, the city's housing market has recovered and is currently experiencing a wave of development and investment. Between 2000 and 2014, the city added nearly 40,000 new residential units, which grew the city's housing stock by 21.3 percent. More than 80 percent of these new units are part of multi-unit developments. Although increased development is a boon for Atlanta's economy, there is growing concern that it has had an adverse effect on affordability. A 2015 study by a real estate research firm found that from 2012-2014, 95 percent of apartments built in Atlanta were classified as luxury rentals. The study also found that the average rent in the city rose from $1.62 to $1.74 per square foot, or 7 percent, between 2015 and 2016. Simultaneously, the number of low-cost rental units (less than $750 a month) is declining by 4.4 percent per year. As a result of new higher-end development and an overall increase in cost of living, coupled with below national average household income, 16 percent of renters and homeowners are cost burdened by their housing situation and are housing insecure — spending at least half their income on housing costs. More specifically, 26 percent of renters are extremely cost burdened (spending more than 50 percent of their income on housing costs), indicating that renters are especially vulnerable to changes in the housing market. Since 2009, the number of extremely cost burdened renters has steadily increased. Despite the need for more affordable housing, Atlanta has a high vacant property rate at nearly 20 percent (reaching up to 40 percent in some neighborhoods), which increased by two percent between 2010 and 2014. These vacant properties are largely concentrated in the south and west areas of the city, which struggle with blight and are especially vulnerable to gentrification forces as the Atlanta BeltLine plans to extend into these neighborhoods."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Rapid urbanization,Challenges: Significantly challenges,"Both the city and region have experienced significant growth over the last decade. The city's population increased by 12 percent from 2010 to 2016, reaching 473,000 in 2016. This increase is slightly higher than that of the 29-county Metropolitan Statistical Area (MSA), which grew 10 percent over the same time period. Net domestic in-migration has played a major role in the City's population growth as more millennials and middle income Americans move to lower cost Sun Belt cities like Atlanta. The Atlanta Regional Commission estimates that by 2040 the wider 20-county Atlanta region will add 2.5 million people and 1 million jobs, increasing from 5.6 million to 8.0 million people and from 2.9 million to 3.9 million jobs. Atlanta is among the most ethnically integrated cities in the U.S. Data released by the Pew Research Center indicates that 78 counties nationwide experienced a switch in majority minority population since 2000 and four of these counties are located in the Atlanta region. The city's recent population growth, however, has spurred changing demographics. From 2000-2016 the percentage of city residents who identify as either White or Asian increased by 7 percentage points and the percentage of African American residents decreased by 9 percentage points. Furthermore, the region remains largely divided along racial lines with the White population clustered in the north and the Black population clustered in the south. With this rapid population growth, coupled with expanding income inequality and numerous high-end real estate investments, Metro Atlanta is at risk of becoming an increasingly divided region - racially, socially, and geographically. Atlanta's vibrant culture and history and its role in the Civil Rights movement are two of its most unifying traits; yet, if these qualities are not preserved and strengthened, the city could lose part of its tangible heritage. There is a need now more than ever to empower residents to strengthen community roots, preserve Atlanta's history, and embrace a shared, multigenerational identity."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Political engagement / transparency,Challenges: Moderately challenges,"At the state and local level in GA, challenges have been present in reducing GHG Emissions in the energy sector. More specifically, the utility barriers for solar energy include: 1. Solar stand-by capacity fees 2. Monthly fixed fees or administrative charges 3. Instantaneous netting of energy 4. Buy-back rates based on \'avoided costs\' 5. Power demand charges 6. Energy tiers with diminishing pricing 7. Cogeneration and Distributed Generation Act of 2001 https://pv-magazine-usa.com/2019/11/04/utility-barriers-to-rooftop-solar-in-georgia/ Since 2017, CoA has increased solar procurement for municipal energy through a Solar Energy Procurement Agreement (SEPA) but has not been able to fully maximize offsetting energy usage due to political/utility constraints. Continuing to be at the table every 3 years for intervening in the Georgia Power Company Integrated Resource Plan will be essential to meeting our 100% clean energy goal, while also advocating for more data transparency and energy programs that reduce burden and create a more equitable transition. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,9,Row 9,Environmental conditions,Challenges: Moderately challenges,"In the past, Atlanta has normally experienced large amounts of rainfall, evenly spread through the year. However, as one of the few U.S. metropolitan areas not built around a major local body of water, the city is particularly vulnerable to drought. Exceptionally low amounts of rainfall in the region since 2007 have put increasing pressure on the city's water supply and recently caused Georgia's Environmental Protection Division to declare a Level 2 drought. A current project to repurpose the Bellwood Quarry as a 2.5 billion gallon reservoir will increase the city's reserve supply from just 3 days to 30 days in 2018. Reliability and access to water, however, will continue to be a resilience issue for Atlanta. In addition to drought, the city faces substantial risk from rainfall flooding. In September 2009, Atlanta experienced historic flash flooding, which resulted in hundreds of millions of dollars in damages and the loss of at least ten lives. The flooding was so extreme that in one 24- hour period some counties in the region saw more than 20 inches of rain, conditions so rare that there is only a 0.01 percent chance of it happening each year. The severity of this flooding was, in part, attributed to increased concrete surfaces, overfilled sewers, and blocked storm drains. Today, the city and region continue to face periods of intense flooding. Finally, increasing temperatures and number of days with high temperatures pose a risk to Atlanta's residents and the environment. On average, across the country, cities are getting hotter faster than adjacent rural areas. Assuming greenhouse gas emission trends continue through 2100, within the next century Atlanta will be above 95 degrees Fahrenheit for more than three months per year. High temperatures are especially dangerous for infants and the elderly, and those living without access to air conditioning will be disproportionately impacted. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,"Degradation, loss, and quality and quantity of green space and ecosystems",Challenges: Moderately challenges,"A change in climate means that native species are stressed and invasive species flourish. This has impacts to our water quality, air quality, vector borne design spread and many more health impacts. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Resource availability,Challenges: Moderately challenges,"The City's drinking water comes from one source (Highland Lakes - surface water), which makes the City extremely vulnerable to prolonged drought events. "
