disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Main community-wide emissions inventory attachment (spreadsheet)^,col2_URL link (with unrestricted access)^,col3_Status of main community-wide inventory attachment and/or direct link,col4_Year covered by main inventory^,col5_Boundary of main inventory relative to jurisdiction boundary^,col6_Population in year covered by main inventory,col7_Primary protocol/framework used to compile main inventory,col8_GCoM: Primary protocol/framework used to compile main inventory^,col9_Tool used to compile main inventory,col10_Gases included in main inventory^,col11_Primary source of emission factors^^,col12_Source of global warming potential values,col13_Has the main inventory been audited/verified?,col14_Overall level of data quality,col15_Have any of the calculation methodologies and/or boundary used for this inventory changed when compared to the previously reported inventory?,col16_Additional/historical inventories and other relevant attachments,"col17_Further documentation, links and comments"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,cdp_report_GHG_2023.xlsx,Atlanta Community GHG Emissions Inventory - GCOM Report,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,510823,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),ICLEI ClearPath,N2O|CH4|CO2,"Local emission factors: Factor sets within ClearPath, for electricity the Georgia Power Grid factors for 2023 were used as a more upgraded methodology change.",IPCC Sixth Assessment Report (2021),"Yes, internally and externally audited/verified",Emissions factors - High data quality|Activity data - Medium data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy but this has not triggered a recalculation of historic emissions data",,https://www.100atl.com/greenhouse-gas-inventories
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Austin 2023_CIRIS Tool.xlsx,Not available,The emissions inventory has been attached,2023,Other: Some ETJ areas and extended service areas from our public electric and water utilities,1025668,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,NF3|PFCs|CO2|N2O|HFCs|CH4|SF6,Local emission factors: ERCOT,IPCC Sixth Assessment Report (2021),"Yes, internally audited/verified (self-verification)",Emissions factors - High data quality|Activity data - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy but this has not triggered a recalculation of historic emissions data",Austin 2022_CIRIS Tool_No Macros.xlsx,Attached 2022 inventory to be compared with 2023 in terms of overall emission increase/decrease. The inventory does not currently include emissions from agriculture sector due to having negligible agricultural activities.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,eCRF_Export_Barcelona_2023.xlsx,--,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,1660435,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,CO2|CH4|N2O,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, externally audited/verified (third-party verification)",Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,"2018_Inventory.xlsx,2019_Inventory.xlsx,2020_Inventory.xlsx,eCRF_Export_Barcelona_2021.xlsx,eCRF_Export_Barcelona_2022.xlsx","Attached also 2021 and 2022 eCRF file with updated and final information, alongside 2018 to 2020 inventories. We attach all of them again using spanish electricity grid emission factor instead regional one, as it is the new criteria in the Climate Plan. 2023 inventory also uses spanish emission factor."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,SCATTER_birmingham_CDP-report-inventory_2020 (1).xlsx,N/A,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,1149000,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),SCATTER,CH4|N2O|CO2,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, externally audited/verified (third-party verification)",Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,"Appendix 1 - Birmingham Route to Net Zero Carbon Annual Report 2024.docx,Appendix 1 - Birmingham Route to Net Zero Carbon Annual Report 2024.docx,Appendix 1 - Birmingham Route to Net Zero Carbon Annual Report 2025_SS (8).pdf","The Council's scope 1 and 2 emissions have been calculated in 2024 for the 23/24 financial year and scope 3 emissions have been screened to identify the council's greatest emissions sources. These emissions are the focus of the Council's decarbonisation efforts, and the Route to Net Zero team are working with the relevant council's directorates, departments and services to identify emissions reductions opportunities. The team will also continue to improve the scope, availability and quality of emissions data. The council monitors and reports its carbon footprint on an annual basis.24/25 data will be published in Q1 2026."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-greenhouse-gas-emissions-statistics-2005-to-2023,The emissions inventory can be accessed (unrestricted) on the link provided,2023,Same - covers entire jurisdiction and nothing else,699573,Regional or country/area specific methodology,,Other regionally/nationally developed tool/process: UK Government published local authority area emissions. Technical report outlining methodology: https://assets.publishing.service.gov.uk/media/686554d9e6c3cc9242289453/local-authority-ghg-technical-report-2023.pdf,CO2|CH4|N2O,National/sub-national emission factors: Emissions factors used as set out in the accompanying technical report: https://assets.publishing.service.gov.uk/media/686554d9e6c3cc9242289453/local-authority-ghg-technical-report-2023.pdf,IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,"All years from 2005 to 2023 are in the same dataset (spreadsheet), the data for Cambridgeshire can be found by filtering to the relevant rows. Technical report also linked which details methodology: https://assets.publishing.service.gov.uk/media/686554d9e6c3cc9242289453/local-authority-ghg-technical-report-2023.pdf"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,chicago_illiveboard_2024_GPC_REPORT_2025-10-16_20-27.xlsx,The City's GHG inventory is not available online,The emissions inventory has been attached,2024,Same - covers entire jurisdiction and nothing else,2746388,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),"Consultancy-developed tool/process: A custom, consultant-developed, Excel-based tool consisting of four linked workbooks.",CH4|N2O|CO2,Local emission factors: The 2019 inventory uses a custom electricity emissions factor developed in consultation with the local electricity utility (Commonwealth Edison). Transportation emissions calculated via MOVES3. All other factors come from IPCC Guidelines.,IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality|Activity data - High data quality,"Other: The 2017 inventory used the eGRID RFCW emissions factor. The 2019 inventory uses a custom emissions factor, developed with the local utility, that better accounts for the high proportion of electricity coming from nuclear energy in the region.",,Links to attachments \n\n2017 City of Chicago GHG Inventory Report (https://www.chicago.gov/content/dam/city/progs/env/GHG_Inventory/Chicago-2017-GHG-Report_Final.pdf); \n\n2019 CMAP Regional GHG Inventory Report (https://cmap.illinois.gov/wp-content/uploads/Greenhouse_Gas_Emission_Inventory_2022.pdf);\n\n2019 CMAP GHG Inventory Summary (file:///C:/Users/440269/Downloads/2019 Chicago GHG-Emissions-Summary.pdf);\n\n2019 CMAP GHG Emissions Methodology Memo\n(https://datahub.cmap.illinois.gov/documents/7739c26c4bec47ada7a794d09fcd9ac5/explore). 
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://www.nyc.gov/content/climate/pages/initiatives/nyc-greenhouse-gas-inventories,The emissions inventory can be accessed (unrestricted) on the link provided,2023,Same - covers entire jurisdiction and nothing else,8258000,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),Internal tool/process,CH4|CO2|N2O,"National/sub-national emission factors: EPA Hub factors, and internal process to develop electricity factor.",Other: NYS Department of Environmental Conservation (DEC). NYS Inventory. EPA. GWPs from IPCC 5.,"No, not audited/verified",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,"The City is mandated under Local Law 22 to compile an annual GHG emissions inventory. There are 4 inventories updated yearly:1.City Government - Municipal Operations Emissions including but not limited to buildings, fleet, water and waste treatment.2.Citywide (GPC) - all activities within the city's limits, including buildings, waste and water treatment, transportation, and power generation.3.Citywide (CLCPA) - all activities within the city's limits including buildings, waste and water treatment, transportation, and power generation, using the methods outlined in the NYC CLCPA to consider upstream impacts from the production of energy to the point of extraction and distribution). In this inventory there is a GWP multiplier that looks at a 20-year timeframe as opposed to the 100-year timeframe industry standard.4.Integrated Citywide & Consumption - measures the emissions from household consumption and integrates that into the Citywide (GPA) inventory for a close to complete view of how New Yorkers drive carbon emissions. (this is a new inventory as of 2021)\n\nWeblink for all historical NYC GHG emissions inventories --> https://www.nyc.gov/content/climate/pages/initiatives/nyc-greenhouse-gas-inventories"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"LEGGI 2022.xlsx,LEGGI 2022_v3.xlsx,London 2022 GPC.xlsx,London 2022 GPC_v3 - XLSX.xlsx",https://data.london.gov.uk/dataset/leggi \n\nand\n\nhttps://apps.london.gov.uk/leggi-explorer/,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2022,Same - covers entire jurisdiction and nothing else,8866180,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,N2O|CH4|CO2|SF6|PFCs|NF3|HFCs,National/sub-national emission factors: https://www.gov.uk/government/collections/government-conversion-factors-for-company-reporting,IPCC Fifth Assessment Report (2013),"Yes, internally and externally audited/verified",Emissions factors - High data quality|Activity data - Medium data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,Download previous versions of the London Energy and Greenhouse Gas emissions Inventory (LEGGI) here: https://data.london.gov.uk/dataset/leggi\n\nWe also report inventory under Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF) - see GCoM tab in attached spreadsheet. 
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,GPC Stockholm 2023.xlsx,GPC 2023 Stockholm attached,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,988943,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,NF3|PFCs|CH4|N2O|CO2|SF6|HFCs,"Local emission factors: Local emission factors are mainly used, in some cases are national emission factor used",IPCC Sixth Assessment Report (2021),"Yes, internally audited/verified (self-verification)",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,-
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,WB_Decon_CDP_v0.3 (22).xlsx,\nn/a,The emissions inventory has been attached,2022,Same - covers entire jurisdiction and nothing else,1519509,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),,Internal tool/process,CO2|N2O|CH4,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,"Essex County Council (ECC) is reporting the Emissions Inventory produced in-house using the 2019 SCATTER workbook as a template. In nearly every instance, the same data sources, emission factor sources and calculations were used. However, the Scope 3 emission figures have been taken directly from the latest (2020) SCATTER inventory. "
