disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Does your jurisdiction have a consumption-based emissions inventory?,"col2_Attach your consumption-based inventory, along with any supporting documents","col3_Provide an overview of your consumption-based inventory, including URL links, if applicable, along with any supporting methods/calculations"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to other higher priorities",,
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",Austin_Consumption Based Emissions Inventory.pdf,"In collaboration with EcoDataLab, the City assembled a consumption-based emissions inventory. This work has recently been completed for years 2019 and 2021. Link: https://www.ecodatalab.com/cbei/tx/austin/summary"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, but intending to develop and report a consumption-based emissions inventory in the next 2 years",,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"Cambridgeshire has a consumption-based emissions inventory available at https://localfootprint.uk/charts/ The full methodology for this is included under the Methodology tab on this website.\n\nTotal GHG consumption-based emissions in Cambridgeshire for 2021 (3 year lag) are 7,153 ktCO2e. These consumption emissions include housing (1,632 ktCO2e, accounting for 23% of consumption emissions), Transport (1430 ktCO2e, accounting for 20% of emissions), Government (includes state education and NHS, as well as local government) (14%), Construction & machinery (14%), Services (10%), Food (10%), and Goods (9%)."
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to lack of financial capacity",,
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"The City of New York has partnered with C40, American Express, and EcoDataLab to develop a Consumption-Based Emissions Inventory (CBEI) that estimates the greenhouse gas (GHG) emissions generated by the consumption of average New York City households. This work provides useful new insight on the climate impacts of New Yorkers' consumption of food, goods, housing, services, and transportation. In order to communicate these impacts effectively, the City has developed a method for combining the estimates from the CBEI with those of our traditional citywide GHG inventory. Inventory: \'integrated citywide & consumption\' https://www.nyc.gov/content/climate/pages/initiatives/nyc-greenhouse-gas-inventories/\nExecutive Summary and Methods: https://www.nyc.gov/assets/climate/downloads/pdfs/NYC-Household-Consumption-GHG-Emissions-Inventory.pdf "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"We annually report and release our consumption based emissions for London. Tackling the greenhouse gas (GHG) emissions from London's buildings, transport and industry is a huge challenge and well recognised by the Mayor of London. The impact of greenhouse gases goes far beyond the city's boundaries too and London has an important role to play in the global context. Understanding emissions from our consumption patterns can help us better understand and plan to reduce London's wider carbon footprint. Latest data available:https://data.london.gov.uk/dataset/london-s-consumption-based-greenhouse-gas-emissions?q=consumption%20based . We are also members of the C40 Consumption Based Emissions (CBE) Working Group, sharing knowledge and data with multiple cities globally. In addition to this, we also took part in a pilot project with C40 to develop some Actionable Data Indicators for CBE action in London. This leveraged our existing CBE database as well as some proxy datasets to help track the impact of interventions around CBE. We have recently also been working with C40 peers to discuss improvements to CBE emissions modelling, including how to analyse CBE inventories based on demographic data and other trends outside of spending."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"Emissions from distribution and refining of fuels (other scope 3 emissions) are estimated and included in the inventory (attached to question 3.1). \nConsumption-based inventory for Stockholm, data for 2019-2022 (made by Stockholm Enviroment Institute) are available here: https://konsumtionskompassen.se/\nNational statistics for the total consumption-based emissions are available here: https://www.naturvardsverket.se/data-och-statistik/konsumtion/vaxthusgaser-konsumtionsbaserade-utslapp-i-sverige-och-andra-lander/ (Data for 2022) \nThe city has goals and an elaborate strategy for how to work on decreasing the consumption-based emissions from the municipal operations.\nFor example, the city follows up emissions from: Food procured by the city, use of plastic and Air travel business trips.\n"
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to a reason not listed above: ECC use a sector-based inventory, as provided by SCATTER.",,
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to lack of financial capacity",,
