disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Government operations emissions inventory attachment,col2_Government operations emissions inventory link,col3_Year covered by inventory,col4_Boundary,col5_Gases included in the inventory,col6_Primary protocol,col7_Emissions sources included,col8_Has the inventory been audited/verified?,col9_Comment
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2024 Austin Municipal Calculation.xls,Not available,2023/2024,"Departments, entities or companies over which operational control is exercised",HFCs|N2O|CH4|CO2,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Airport(s)|Employee commuting|Buildings|Municipal vehicle fleet,"Yes, internally audited / verified (self-verification)",We originally used ICLEI and The Climate registry to certify our municipal footprint in 2008 but we have not had it certified by anybody since 2010.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,City operations inventory.xlsx,Not published yet,2023,"Departments, entities or companies over which financial control is exercised",CH4|N2O|CO2,Own methodology used to calculate emissions from government operations,Municipal vehicle fleet|Thermal energy|Waste collection|Wastewater treatment|Street lighting and traffic signals|Buildings|Water supply,"Yes, internally audited / verified (self-verification)",We attach the inventory from 2018 to 2023 using spanish electricity mix emission factor.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.nyc.gov/content/climate/pages/initiatives/nyc-greenhouse-gas-inventories#section-4,2023,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Waste collection|Municipal vehicle fleet|Buses|Local trains|Water supply|Street lighting and traffic signals|Subway / underground|Buildings|Wastewater treatment,"No, not audited / verified",See webpage link for Municipal GHG Inventory https://www.nyc.gov/content/climate/pages/initiatives/nyc-greenhouse-gas-inventories#section-4. NYC Intends to have a third party verification done in 2025.
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,"The GLA's emissions are captured annually in the climate budget section of the Mayor's annual budget, see here for the latest budget for 2025-26: https://www.london.gov.uk/about-us/londonassembly/meetings/documents/b30047/Budget%20and%20Performance%20Committee%20Supplemental%20Agenda%20-%20Item%206%20Appendix%201%20-%20GLA%20Mayor%20Draft%20Budget%2020.pdf?T=9",2023/2024,"Other: GLA estate. This encompasses emissions from all the buildings owned and operated by the GLA. It includes City Hall, Trafalgar Square, Crystal Palace National Sports Centre, 639 High Road Tottenham.",CH4|NF3|N2O|PFCs|HFCs|SF6|CO2,Own methodology used to calculate emissions from government operations,Buildings,"Yes, internally audited / verified (self-verification)","This refers to emissions from the GLA's own operations: City Hall, Trafalgar Square, Crystal Palace National Sports Centre, 639 High Road Tottenham. "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Emission inventory city organisation Stockholm 2024.xlsx,Emission inventory government operations attached,2024,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,Other: The attached protocol follow the GHG Protocol methodology.,Street lighting and traffic signals|Municipal vehicle fleet|Buildings,"Yes, internally audited / verified (self-verification)","Calculations have been made with data from a number of excel spread sheets. Calculation of the emissions follows the GHG Protocol methodology, except for transports. Calculated emissions from transports in GHG Protocol are based on traffic mileage and used fuels in geographical Stockholm. Calculations for the city's organisation are based on statistics for fuel use for the vehicles in the city organisation."
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2023 Municipal GHG Inventory Report.pdf,https://sanitation.lacity.gov/cs/groups/public/documents/document/y250/mta2/~edisp/cnt106345.pdf,2023,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Buildings|Airport(s)|Municipal vehicle fleet|Water supply|Maritime port|Buses|Street lighting and traffic signals|Wastewater treatment|Electricity generation|Landfills,"Yes, internally audited / verified (self-verification)","Data was obtained from the local power/water utility, natural gas provider and City departments. This data was entered into an excel spreadsheet with the appropriate emission factors to obtain CO2e emission levels in metric tonnes. Quantities of fuel use and electricity metering data were gathered from various departments, to which emission factors from the Local Government Operations Protocol were applied. Electricity Emission factors were provided by the Los Angeles Department of Water and Power. From the five landfills, fugitive emissions were estimated using an assumption that 75% of the landfill gas generated is collected in gas collection wells, while the other 25% is emitted through the soil. Nitrous oxide emissions from secondary treatment and tertiary treatment/Nitrification De-Nitrification at wastewater treatment plants were estimated using emission factors from the Local Government Operations Protocol, applied to the estimated population served by each treatment plant. Municipal inventories undergo internal QA/QC."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Greenhouse gas emissions from Municpal agencies in Oslo 2012-2024.pdf,Greenhouse gas emissions from Municpal agencies in Oslo 2012-2024,2024,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,Own methodology used to calculate emissions from government operations,"Buildings|Water supply|Other: Municipal construction equipments, Other processes (pumping stations, water purification plants etc.)|Wastewater treatment|Municipal vehicle fleet","No, not audited / verified","The emission inventory for Oslo's government operations covers scope 1 emissions, but does not include household waste incineration (included in the geographic emission inventory). Oslo is operating a waste incineration plant that emits ~50 000 tonnes CO2 eqv each year. The government operation inventory does not include emissions from entrepreneurs that operates for the City of Oslo. "
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"CO2 and Energy summary government operation 2006-2024.xlsx,Updated FY 2023-2024 Government Inventory - Detailed Report.xlsx",NA,2023/2024,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Water supply|Buildings|Municipal vehicle fleet|Street lighting and traffic signals|Waste collection,"No, not audited / verified",Portland has uploaded the government operations inventory detailed report for FY 23-24 data from ICLEI's ClearPath. Portland has also uploaded our tracking spreadsheet with government operations emissions from FY 06-07 through FY 23-24. 
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,SPU_2022_Annual_Greenhouse_Gas_Emissions_Inventory.pdf,https://www.seattle.gov/documents/Departments/SPU/EnvironmentConservation/ClimateChange/2022_Annual_Greenhouse_Gas_Emissions_Inventory.pdf,2022/2023,"Departments, entities or companies over which operational control is exercised",HFCs|PFCs|CH4|N2O|CO2|SF6,Other: The Climate Registry (TCR) Local Government Operations Protocol,Buildings|Other: Purchased Electricity|Waste collection|Water supply|Municipal vehicle fleet|Landfills,"Yes, internally audited / verified (self-verification)","SPU completed a baseline operational emissions inventory in 2022, providing analysis on 2019 and 2020. SPU updated their inventory in 2025 with 2022 data. "
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Copy of DOC 2015 072351 PDS - SUS - MR - GHG INVENTORY - Corporate Operations(2).xlsx,Attached file,2024,"Departments, entities or companies over which operational control is exercised",CO2,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Landfills|Municipal vehicle fleet|Employee business travel (scope 3)|Emissions from contracted services (scope 3)|Buildings,"No, not audited / verified",See \'Summary\' Tab
