disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total scope 1 emissions (metric tonnes CO2e),col2_Total scope 2 emissions (metric tonnes CO2e),col3_Total scope 3 emissions (metric tonnes CO2e),col4_Comment
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,60074,0,0,We purchase 100% renewable wind power from our municipally owned electric utility Austin Energy for all municipal accounts.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,47823.2,15145.19,0,"It includes buildings, vehicle fleets and services through the city limits. Internal operations are included, adding also associated agencies, public companies and consortiums fully or mainly dependant in city council."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,1370732,1348816,0,"scope 3 emissions not currently included in city government inventory, but potentially will be inclusive of some categories in the future"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,1576,522,3244000,"Scope 1 and 2 figures are for the GLA (City Hall, Trafalgar Square, Crystal Palace National Sports Centre, 639 High Road Tottenham). Scope 1 emissions refers to gas consumption and scope 2 emissions refers to electricity consumption. Scope 3 estimate is 2019/20 figure for GLA Group (including Functional Bodies - Transport for London and London Fire Brigade etc). "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,405,72178,20408,"Scope 1 refers to direct emission within the city boundary from combustion of fuels (fossil oil for heating, wood fuels for heating, town gas used in mainly crematories and emissions from transportation). Scope 1 emissions from generation of electricity and district heat are excluded for these emissions. Scope 2 refers to district heating/cooling and electricity. Scope 3 include distribution losses as well as distribution and refining of fuel (w.t.w). "
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,2768585,,,"Since LA operates its own power utility, all electricity consumption related emissions are accounted for under Scope 1 rather than Scope 2. This municipal level inventory follows the Local Government Operations Protocol. \n\nIn the 2023 Inventory, we changed the included emissions for our process. We were previously including all emissions from power purchased by our utility even if it was not under their operational control. We are no longer including these emissions as a part of our government operations' emissions as is more consistent with LGOP. We are still tracking the old total and it is present in the linked inventory report for comparison, goal tracking and historic reference."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,989,0,0,The emission inventory for Oslo's government operations covers scope 1 emissions
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,20582.61,36451.67,1031.9419,none
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,6800,5900,,Please note that these emissions cover just one department: Seattle Public Utilities (SPU). Other departments also conduct GHG emissions inventories and can be provided upon request.
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,142830,2570,1220,\n
