disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,Do you have an emissions inventory for your government operations to report?
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
