disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,14206143,Jurisdiction-level data,12,16,0,25,0,1,32,0,14,0,0,0,0,0,2024,This data is reported by Austin Energy. https://austinenergy.com/-/media/project/websites/austinenergy/about/pdfs/2024_annual_report.pdf?rev=a507ca678a424729ad3fbb75c4c36ec7&sc_lang=en&hash=C304FBF81789A006AD4C882B92124A96
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5966984,Jurisdiction-level data,1.58,15.74,0,21.57,10.17,0.84,25.63,0.0,16.35,0.96,0,0,0.38,6.77,2023,-
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3048367.8,Other data source: Combination of national-level data (UK grid mix) and jurisdiction level data to estimate electricity mix for Cambridgeshire.,1.07,23.43,0.42,9.3,1.69,14.83,29.36,0,16.37,2.39,0,0,1.13,0,2023,Data from https://www.gov.uk/government/statistics/regional-and-local-authority-electricity-consumption-statistics \nTotal consumption (all meters) for Cambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire county.\n\nhttps://www.gov.uk/government/statistics/regional-renewable-statistics\n\nhttps://www.iea.org/countries/united-kingdom/electricity
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,48283277,Regional/State-level data,0,84.33,0.41,7.47,4.67,0.02,0.76,0,1.16,0.97,0,0,0,0.21,2023,Using excel sheet attached to previous question.
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,34454902,National-level data,1.5,38.4,0,15.4,1.1,5.2,26.6,0,4.6,14,0,0,0,7.2,2022,Source: National Grid data e.g. https://www.energydashboard.co.uk/historical
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6967220,Jurisdiction-level data,1,0.8,0.2,19.1,50.4,6.9,19.1,0.0,1.7,0.6,0,0,78.1,21.9,2023,Nordic electricity production mix. Data source: Eurostat\nNuclear included in non-renewable sources 
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4942249.65,Jurisdiction-level data,0,7.38,1.06,0,0.0,3.39,6.93,0.0,45.27,1.83,0,0,0,34.14,2022,From UKPN Embedded Capacity Register.
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5587668.59,Jurisdiction-level data,11.1,48.7,0,18,2.6,0.3,7.7,3.6,8.2,0,0.0,0.0,0,0,2023,"Please note there are no longer coal plants located in Nevada; however, AZNM reports coal as 11%https://www.epa.gov/egrid/power-profiler#/AZNM\n\neGRID Summary Tables 2023\nhttps://www.epa.gov/system/files/documents/2025-06/summary_tables_rev2.pdf "
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,21068638,Utility-level data,16.0,27.9,0.0,14.0,5.4,0.1,10.8,9.6,14.5,0.0,,,1.7,0.2,2021|2023,Municipally owned utility that serves the City of Los Angeles. Total Electricity consumption was updated and reflects 2023. Consumption percentages have not been updated and represent calculations from 2021.
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9991870,National-level data,1.6,30.43,41.82,0,0,0,0,0,0,4.35,0,0,20.74,0.0,2021,"Data sourced from IEA using table \'Total energy supply (TES) by source, United Kingdom 1990-2022\' 'Renewables and waste' is reported under the category of 'consumption from waste to energy'. 'Electricity' is reported as percentage of total consumption from other renewable sources'"
