disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide thermal consumption in MWh^,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%)^,col4_Percentage of total consumption from gas (%)^,col5_Percentage of total consumption from oil (%)^,col6_Percentage of total consumption from nuclear (%)^,col7_Percentage of total consumption from non-renewable electricity (%)^,col8_Percentage of total consumption from renewable electricity (%)^,col9_Percentage of total consumption from bioenergy (inc. biomass and biofuels) (%)^,col10_Percentage of total consumption from solar thermal (%)^,col11_Percentage of total consumption from geothermal (%)^,col12_Percentage of total consumption from waste to energy (solid waste excluding biomass) (%)^,col13_Percentage of total consumption from waste water heat recovery (WWHR) (%)^,col14_Percentage of total consumption from other renewable sources (%)^,col15_Percentage of total consumption from other non-renewable sources (%)^,col16_Year data applies to,col17_Comment
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5368140,Jurisdiction-level data,1.2,70.7,8.1,,3.4,5.8,10.8,,,,,,,2020,"Energy sources consumption used for thermal consumption identified for Cambridgeshire from https://scattercities.com/ (2020 inventory).\n\nPercentage of non-renewable and renewable electricity split estimated from UK grid mix, and applied to Cambridgeshire's percentage of thermal consumption from electricity. \n\nData is not available for fields left blank. "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,6836240,Jurisdiction-level data,0.0,0.3,3.5,0,4.5,15.8,28.8,0.0,21,26.4,0,65.9,34.4,2023,WWHR included in geothermal energi\nBoth renewable and and non-renewable waste are included in waste \nElectricity from nuclear are regarded as fossil
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5695365.9,National-level data,0.82,71.4,10.36,0,9.69,0,6.28,0,1.46,0,0.0,0,0,2023,Data is provided from national data on the detailed consumption of fuel type and end use heating and cooling This data is not available at jurisdiction level and also does not provide a breakdown by renewable energy. Therefore no percentage is available by renewable energy
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2469528,Jurisdiction-level data,0.37,89.2,1.52,2.65,93.74,6.26,0.68,0,0.0,0.0,0.0,0,0,2023,See Appendix 4.1 for methodology
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2129673,National-level data,0.2,89.8,1.7,0,0,0,6.43,0,0,1.89,0,0,0,2020,"The total thermal (heating and cooling) energy consumption in Nottingham, measured in megawatt-hours (MWh), and the corresponding energy mix used for thermal sources are based on the most recent available data from 2020. Access to updated figures for 2021 and beyond is currently restricted, and there is no publicly released dataset for those years.\nFor more information on the estimated figures and national energy trends and data, including heating and cooling energy sources, visit\n https://www.iea.org/countries/united-kingdom\n"
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,8122355.18,Jurisdiction-level data,,97,3,,,,,,,,,,,2023,Data only includes natural gas and fuel oil. Other fossil fuels are unable to be broken out from process vs. heating and cooling. 
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1019600,Utility-level data,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,data from subnational gas consumption UK data:\nhttps://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fassets.publishing.service.gov.uk%2Fmedia%2F6762b9efff2c870561bde787%2FSubnational_gas_consumption_statistics_2005-2023.xlsx&wdOrigin=BROWSELINK\nReading Cell J234 (2023 aligned with emissions data) 
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,4034409,Regional/State-level data,0,4.6,1,0.0,0.05,0.25,70,0.0,0.0,8,0.0,16,0.0,2023,Consumption data is from 2023 Data source: Miljødeklaration hovedstadens fjernvarme 2023 Other renewable sources: biogenic waste. WWHR exists but is not listed separately.
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,Regional/State-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,Data is not available 
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,45056184.26,Utility-level data,0.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,"Thermal heating and cooling in Toronto is based on the total reported volume of natural gas for 2022 through our Sector-Based Emissions Inventory (4,055,306,796 m3), which was then converted to MWh using the average values from the CDP Guidance document for converting fuel use to energy.\n\nNote that there is some amount of thermal heating and cooling in Toronto that uses electricity instead of natural gas (e.g., through heat pumps). However, we are unable to isolate this use from the total electricity consumption reported in question 4.1.1 above. Toronto City Council has recently decided to create a new program to accelerate the adoption of heat pumps in Toronto: https://secure.toronto.ca/council/agenda-item.do?item=2025.EX25.31"
