disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Installed capacity (MW)^,"col2_If you have no installed capacity data to report, please select a notation key to explain why^",col3_Annual generation (MWh)^,"col4_If you have no generation data to report, please select a notation key to explain why^",col5_Year data applies to,col6_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,2.8,,2781.239,,2024,"This includes phase III Solar Atlanta program, which is our Solar Energy Procurement Agreement (SEPA) for rooftop and ground-mount solar. Data was given from our energy provider across all 40 sites of the CoA portfolio.\nhttps://www.100atl.com/solar-atlanta."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.0,Not Occurring (NO),,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,358.11,,,Not Estimated (NE),2023,"Georgia Power breaks down their Kw capacity as Nuclear = 2,513,279, Hydro = 1,112,162, and Renewables = 358,106 out of a total of 14,146,391. \nhttps://www.georgiapower.com/about/company/facts-and-figures.html"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,51.68,,64603,,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,84.1,,89710,,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.75,,572,,2023,Reparation works till 2022
