disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Electricity consumption (MWh),col2_Heating and cooling consumption (MWh),col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),1924.57,1925.54,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,3251.46,1186.07,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,424.55,0.0,2023,We have no data disaggregating natural gas consumed in industrial processes and heating/cooling
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,0.0,0.0,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,349.91,0.0,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,319.97,122.58,2023,-
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),11683960,34681205,2022,"We report energy on either a fuel basis or end-use basis, this question mixes the two. We have reported electricity consumption (which may include some electricity used for heating) and then gas consumption under 'heating and cooling', since gas is primarily used for heating in homes in London."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,18114746,16846410,2022,"As above: we report energy on either a fuel basis or end-use basis, this question mixes the two. We have reported electricity consumption above (which may include some electricity used for heating) and then gas consumption under 'heating and cooling', since gas is often used for heating in buildings in London."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,2122302,2422825,2022,"As above: we report energy on either a fuel basis or end-use basis, this question mixes the two. We have reported electricity consumption above (which may include some electricity used for heating) and then gas consumption under 'heating and cooling', since gas is often used for heating in buildings in London."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,0,78423,2022,"As above: we report energy on either a fuel basis or end-use basis, this question mixes the two. We have reported gas consumption under 'heating and cooling', although in practise this will be used for a range of functions and not all energy use for agriculture will be for heating."
