disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate the energy-related assessments that have been undertaken for your jurisdiction^,col2_Total energy consumption (MWh),col3_Total energy consumption from renewable energy sources (MWh)^,col4_Indicate the energy data for which you can report a fuel/technology mix^,col5_Add relevant attachments regarding your energy-related assessments and/or energy consumption^,col6_Please explain and add any relevant URL links regarding your energy-related assessments and/or energy consumption^
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers sustainable energy|Assessment that considers affordable energy|Assessment that considers energy security,11147089868,1003238088.12,Energy generation mix data,,"Left is the MWh for the whole jurisdiction in 2023. Our utility in 2022, Georgia Power's Energy Mix slightly changed to 7% renewable, 2% hydro, 5% RECs, and 23% nuclear (15% coal, 48% gas/oil). And in 2023, the mix slightly changed to 7% renewable, 2% hydro, 4% RECs, and 25% nuclear (16% coal, 46% gas/oil). Atlanta's utility has been focused on energy security and developing a diversified portfolio of energy sources, but more than half of the mix is still running on fossil fuels. \n\nhttps://www.georgiapower.com/about/company/facts-and-figures.html#:~:text=By%20the%20Numbers&text=The%20company's%20total%20sales%2C%20including,were%2086%20billion%20kilowatt%2Dhours.nged, https://www.georgiapower.com/about/company/facts-and-figures.html."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers sustainable energy|Assessment that considers affordable energy,14206143,9944300,Electricity consumption mix data,Austin Energy Annual_Report 2024.pdf,The consumption data provided in this section are taken directly or estimated from Austin Energy's most recent annual fiscal report (attached). 
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers sustainable energy|Assessment that considers affordable energy,13571.91,3432.18,Electricity consumption mix data|Energy generation mix data|Sector energy consumption breakdown data,Energy report_ 2023.xlsx,"electricity consumption mix: 113,15 gCO2eq/kWh\n\nHouseholds: 28,37%; Tertiary: 35,85%; Industry: 9,10%; Transportation: 26,33%; Other: 0,34%."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers sustainable energy,0,0,Energy generation mix data,Subnational_total_final_energy_consumption_2005_2023 (1).xlsx,Data is not available in a mwh format. Only available expressed as ktco2e and can be found here: https://www.gov.uk/government/statistics/total-final-energy-consumption-at-regional-and-local-authority-level-2005-to-2023 2023 is the most recent available data. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,,16847969,1484982,Electricity consumption mix data|Energy generation mix data|Thermal (heating and cooling) consumption mix data,,"Total energy consumption includes transport fuels energy. Data from https://www.gov.uk/government/statistics/total-final-energy-consumption-at-regional-and-local-authority-level-2005-to-2023 Cambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. Data in ktoe x 11,630 = MWh. Energy from renewable sources is generation data, not consumption. Data from https://www.gov.uk/government/statistics/regional-renewable-statistics Cambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. "
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Other: Total energy consumption comes from most recent GHG inventory,227435079.26,0,Unable to report mix,,
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers sustainable energy|Assessment that considers affordable energy,48283277,3651371,Electricity consumption mix data,2023-Gold-Book-Public.pdf,Updated Energy consumption comes from the Grid Assessment tools used to estimate the grid mix used to power NYC. NYISO provides Zone J (NYC) energy use. https://www.nyiso.com/documents/20142/2226333/2023-Gold-Book-Public.pdf\n\nExcel sheet is from 2022's GHG Emissions inventory. Pathways to a Carbon Neutral NYC Report (2021): https://www.nyc.gov/assets/sustainability/downloads/pdf/publications/Carbon-Neutral-NYC.pdfUnderstanding and Alleviating Energy Cost Burden in New York City (2019): https://www.nyc.gov/assets/sustainability/downloads/pdf/publications/EnergyCost.pdf
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Other: General energy assessment as part of emissions inventory preparation,121100822,14077430,Energy generation mix data|Electricity consumption mix data|Sector energy consumption breakdown data,,"Total energy consumption is taken from the London 2022 inventory (LEGGI) and includes all forms of energy. The consumption of renewable energy is calculated from from the electricity consumption in the inventory multiplied by the proportion of renewables in the electricity grid for the inventory year (taken from https://www.energydashboard.co.uk/historical) plus the energy generated from biological and waste sources in London (taken from the London inventory, LEGGI)."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,Assessment that considers affordable energy|Assessment that considers energy security|Assessment that considers sustainable energy,15554411,11255092,Electricity consumption mix data|Thermal (heating and cooling) consumption mix data|Sector energy consumption breakdown data,13 2025-10981 Bilaga 1 Uppföljning av Stockholms stads klimatmål 2023 och 2024.pdf,Attachment 13 2025-10981 Bilaga 1 Uppföljning av Stockholms stads (in Swedish). Annual report on energy use and GHG emissions in Stockholm\n\nURL link SCB: https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__EN__EN0203__EN0203A/SlutAnvSektor/\nStatistics Sweden: Annual energy consumption in Stockholm\n\nURL link Eurostat: https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__EN__EN0203__EN0203A/SlutAnvSektor/\n[nrg_bal_peh] Production of electricity and derived heat by type of fuel\nProduction of electricity and derived heat by type of fuel for Nordix electricity production\n\nURL link local district heat production: Arsredovisning_2024_for_skarm.pdf\nData for local heat and electricity production in Stockholm (data are also received directly from the local heat company)\n
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1,Report the following information regarding your jurisdiction-wide energy consumption.,1,Response,,29287588.23,1101118.9,Energy generation mix data|Electricity consumption mix data,,"Total consumption (Gas, Electricity & Transport Fuel) - source: Department for Energy Security and Net Zero\n"
