disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,32.07,"We provide access to our safely managed drinking water services and safely managed sanitation services to all households within the City of Atlanta. We reserve the right to halt this service for nonpayment or other violations, but access would still be available. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,1200,Austin Water estimates that all households in the Austin jurisdiction have access to potable water and sanitation services.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,98.4,2024 data \nhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/139970\n
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100,100,0,Household water consumption unknown but 0 entered to allow question to be marked complete
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,98.0,132,Based on UK wide data. https://ourworldindata.org/water-access#what-share-of-people-have-access-to-safe-drinking-water\n\nhttps://ourworldindata.org/sanitation#what-share-of-people-use-safely-managed-sanitation-facilities\n\nHousehold water consumption (litres/capita/day) data for Anglian Water (larger region which includes Cambridgeshire) for 2023/24 https://prod-swd.anglianwater.co.uk/siteassets/household/about-us/our-reports/service-commitment-plan-2024.pdf
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,"The Department of Water Management services 487,347 households with an estimated consumption rate of 400 million gallons/day in Chicago"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,447.4,https://data.cityofnewyork.us/Environment/Water-Consumption-in-the-City-of-New-York/ia2d-e54m/explore/query/SELECT%0A%20%20%60year%60%2C%0A%20%20%60new_york_city_population%60%2C%0A%20%20%60nyc_consumption_million_gallons_per_day%60%2C%0A%20%20%60per_capita_gallons_per_person_per_day%60/page/filter
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,99.0,146,"Note that 'Percentage of households with access to safely managed sanitation services' is reported based on overall UK figures. The UK has universal access to safely managed sanitation services, so the percentage without access in London is likely to be close to none but the exact figure in the jurisdiction is not known. The figure on Household water consumption is at around 140litres per person taken from the Thames Water Resource Management Plan published in 2024 Keeping water flowing for the future | News| Thames Water."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,-
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,,152.3,"There are four companies responsible for providing water services for Essex residents: Affinity Water (28% of households), Anglian Water (20% of households), Essex and Suffolk Water (47% of households), and Thames Water (5% of households).\n\nData for average daily water consumption per capita is for the year 2024/25. It is a proportional average based on data from the 4 water companies that cover Essex, as their areas and datasets are bigger that just Essex."
