disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of population that is food insecure,col3_Percentage of population that lives in a food desert,col4_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,22.0,25.0,"In 2015, just 52% of City residents were within a half-mile of fresh food. In 2020, this increased to 75% of residents, a substantial increase in fresh food access across the city. The Dickens' Administration has set an ambitious goal to ensure 100% of Atlanta residents are within a half-mile of fresh affordable food by 2030. Additionally, according to the Atlanta Community Food Bank, food insecurity rates are as high as 22% in Atlanta. https://www.aglanta.org/reports https://www.acfb.org/stories-of-hunger/#:~:text=The%20food%20insecurity%20rates%20for,from%201%25%20to%2036%25.&text=While%20high%20rates%20of%20food,rates%20as%20high%20as%2022%25."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,18,45,"Percent/number of population that is food insecure (disaggregate by race/ethnicity): 27.8% Black, 25.9% Latino, 13.2% White/non-Hispanic. (percent of total population that is low income and lives in low-access tract defined as more than .5 miles form a supermarket)\n\nSource: USDA Food Access Research Atlas Data."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,4,0.0,"8,6% of households suffer from some sort of food insecurity. 4% have high levels of insecurity. Single parent households are at a level of 14,6% and those tagged as “other” at 11,9%. There are a lot of differences depending on level of studies; those with university studies are below 3%, those with primary studies at 6,8% and people with no studies at 24,2%. Ciutat Vella district has the highest level (23,1%), followed by Nou Barris (17,3%). Source: Enquesta de Salut de Barcelona 2016/17. "
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,27,,27% of people in Birmingham would have to spend over a quarter of their disposable income on food to meet the Eatwell guide which we are classifying as food insecure. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,5,1,"The % of the population in food insecurity is estimated average for Cambridgeshire, based on a study by Sheffield University in 2021 (https://www.arcgis.com/apps/instant/interactivelegend/index.html?appid=8be0cd9e18904c258afd3c959d6fc4d7&center=-3.3044,55.7862&level=6). From this and the number of households in each district (Census 2021), the number of households experiencing food insecurity has been estimated, and from this an overall average of % households experiencing food insecurity for Cambridgeshire.\n\nThe proportion of people in Cambridgeshire who live in a food desert is an indicative estimate. Unfortunately there are no datasets or statistics which can directly answer this question.\n\nJourney time statistics released by the government give an indication of accessibility to key public services such as food shops at the LSOA scale. The data has been averaged across each district to show the % of users within 15 minutes of a food store by mode of transport (Journey time statistics, England: 2019). 99% to 86% of users live within 15 minutes journey time to a food store depending on mode of transport, and 0% live more than an hour from a food store by any mode of transport. "
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,18.0,21.93,"Food Insecurity Data- Pulled from a recent data analysis completed by Northwestern Economists for the period of March 2-May 9. \n\nFood insecurity disproportionately affects Black and Latinx households at high rates than their White counter parts. It is estimated 30% of Latinx households, 30% of Black households, and 11% of White households are at risk of food insecurity. Food Desert data- % of residents who have low food access, defined solely by distance: further than 1/2 mile from the nearest super market in an urban area. Data from Chicago Health Atlas (2019) "
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,15,,"As per a report published in January 2025 by the NYC Mayor's Office of Food Policy, the citywide food insecurity rate is 14.6% which is over 1.2 million New York City residents, the highest being in Bronx. More information -->https://www.nyc.gov/assets/foodpolicy/downloads/pdf/NYC-Food-by-the-Numbers-2024.pdf"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,16.0,,"The 2021-22 Survey of Londoners found that 16% of adults in London had low or very low food security (circa 1.2m adults). This is a reduction since 2018-19 when it was 21% (circa 1.5m adults). This fall, since 2018-19, might be attributed to the extraordinary measures that were put in place by the government towards the beginning of the pandemic period to provide a safety net to those whose incomes would be most affected by lockdown restrictions, including an additional £20 per week added to Universal Credit payments which was being phased out as the fieldwork period for the SoL began. It might also be as a result of the efforts of those in civil society, those volunteering in food banks and wider community efforts to help those in severe need. Lockdown restrictions also meant that for some groups of workers in London, they switched to remote working, which resulted in a drop in spending on things like transport and commuting, thus leaving more money available for food. Around one in seven parents in London (14%) had children living in low or very low food security. This is not a statistically significant difference from 2018-19 when it was 17%. This is not a statistically significant difference from 2018-19 when it was 17%. In April 2023-March 2024, the Trussell Trust network in London distributed 454,750 food parcels. This was an increase of 60% since 2021/2. The Trussell Trust is the largest of many emergency food providers in London."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,0.0,0.0,"In Sweden and in Stockholm, comparatively few people are food insecure, although sharity organizations report a recent increase in the number of people visiting them to get food. The city owned kitchens, funded by the local taxes, serve free or subsidized meals (mandatory by Swedish law) to children in public preschools, pupils in public schools and residents in public elderly homes and public social services homes. This ensures that nutritious meals are available every day to those who might not otherwise be able to afford it. Overweight and obesity is however a bigger problem, why the city's work with SDG 2 No hunger is focussed on addressing and reducing food malnutrition and unhealthy food habits."
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,8,,"For food insecurity, data source is for East of England region, ONS, Family Resources Survey: financial year 2022 to 2023, published in March 2024. For food deserts, there is no available data on percentage of population, but the e-food desert index (EFDI) provides a score for each Lower Layer Super Output Areas (LSOAs). LSOAs have an average population of 1500 people or 650 households. The average food desert score for Essex is 23.027. The score is average across 844 LSOAs in Essex and is available on the Consumer Data Research Centre website. Last modified in 2022. This dataset has not been updated since last reporting period."
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,30.0,"Population INSIDE of 1 mile of a grocery/fresh food location: 467,286Population OUTSIDE of 1 mile of a grocery/fresh food location: (food desert) 200,393Population= City of Las Vegas residents"
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,30,6.0,"During the pandemic, 26% of all households in the County of Los Angeles experienced at least one instance of food insecurity; 42% of low-income households experienced at least one instance of food insecurity. (https://dornsife.usc.edu/news/stories/3316/public-exchange-covid-19-food-insecurity-los-angeles-county/). In 2023, 30% of households in the county reported at least one occurrence of food insecurity (https://publicexchange.usc.edu/wp-content/uploads/2023/09/FoodInsecurityinLACounty_ResearchBrief_July2023_Final.pdf)\n\n\n Food desert data is available via the USDA Food Desert Locator Atlas on https://www.ers.usda.gov/data-products/food-access-research-atlas/go-to-the-atlas/ the percentage here should be 6% to 40% but we're unable to input that in the provided field"
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,13,7,"Household Food Security Dataset figures show the incomes and living circumstances of conventional households but excludes shared households. It is only available at regional level of North West and so Manchester city level figures may differ. The data shows that in the North West, 13% of households are food insecure of which 7% are so food insecure as to be in a food desert. This is higher that the England total of 10.4%.\nhttps://stat-xplore.dwp.gov.uk/webapi/jsf/tableView/tableView.xhtml\n"
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,18.6,25.6,Food insecurity data from here: https://map.feedingamerica.org/county/2023/overall/louisiana/county/orleans Food desert calculations provided by internal maps from the New Orleans Health Department.
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,6.9,,"This figure is likely an under-representation of food insecurity - it is based on the number of children in Newcastle living in poverty (20,626) divided by the latest population from the Census (300,200). The Food Poverty Network Group was established in response to the Newcastle Good Food Plan, and the need to improve coordination and awareness of support for people experiencing food insecurity. Newcastle is a relatively poor city, with high levels of unemployment and child poverty. Newcastle has pockets of relative poverty and food poverty is symptomatic of wider poverty, with high levels of unemployment and child poverty, key statistics include: • Newcastle residents live in the 23rd (out of 317) most deprived local authority area in the UK (IoD, 2019)• In 2020, 31.8% of pupils are entitled to and claiming Free School Meals, compared to the national average of 17.3% (NCC, 2020)• In Newcastle 20,626 children live in poverty, equivalent to 45% in Central Newcastle, 33% in North Newcastle and 38% in East Newcastle (End Child Poverty, 2019/20). The Food Poverty Network Group meet on a bi-monthly basis and has representation from a range of agencies including third sector organisations, the public sector and universities. Further information on UK national food poverty is detailed in the following publication from Government: https://researchbriefings.files.parliament.uk/documents/CBP-9209/CBP-9209.pdf. There is no statutory or local requirement for routine collection of food poverty data; the following proxy measures show the demand for food poverty responses in Newcastle: - In 2021-22, the West End Foodbank fed an estimated 51,371 residents. The Foodbank have extended their network to six locations- The January 2022 school census shows that 16,330 pupils (38.8%) were known to be eligible for free school meals; an additional 1,306 pupils since January 2020 - The InformationNOW website was accessed 12,791 times in 2021-22 for information about free and low-cost food. It lists 13 foodbank charities providing free food from 18 sites Monday to Friday, and 13 low-cost food providers operating 7 days a week."
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,22.2,,2022 figures - Wider Determinants of Health - Data | Fingertips | Department of Health and Social Care\nThis is the percentage of population living in areas at highest risk of food insecurity and is an indirect measure of food insecurity. \n
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,7,2.5,"Food Insecure\nWe have used a UK wide figure as figures specific to Nottingham are not available.\n\nThe proportion of food secure households decreased from 92% in 2019 to 2020, to 90% in 2023 to 2024, a decrease of two percentage points. The proportion of food secure households remained the same between 2022 to 2023 and 2023 to 2024.\nThe majority of households were food secure, with high household food security (83%) or marginal household food security (6%). Food insecure households were in the minority, with low household food security (5%) or very low household food security (5%).\nSource: Family Resources Survey: financial year 2023 to 2024 - GOV.UK\n\nFood Desert\nWe have used the percentage of residential properties not within 1 mile to estimate the percentage population as figures per resident were not available.\n\nWe have utilised a dataset of supermarkets produced by a company called Geolytix (https://geolytix.com/blog/supermarket-retail-points/). They classify supermarkets into local, small, medium and large by floor space. For the purpose of this work we have excluded those classified as local (<280m sq) as these would be considered 'convenience stores' often with higher pricing. The data does not include independents.\n\nWe used road and path network analysis to determine the percentage of residential properties that are not within 1 mile of a supermarket, as this better represents accessibility than an 'as the crow flies' analysis.\n\nThis gave 3,677 out of 144,209 residential properties - 2.5% of Nottingham's residential properties.\n"
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,No data 
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,0,"2018 data from 'Can everyone access affordable, nutritious food?' report where ONS Index of Multiple Deprivation was used to identify UK food deserts (areas containing two or fewer supermarkets/convenience stores) in deprived areas. None of these locations were within the Oxford jurisdiction boundary (Source: https://www.kelloggs.co.uk/content/dam/europe/kelloggs_gb/pdf/Kelloggs_Food_Desert_Brochure.pdf). "
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,11.8,15.4,Food insecurity based on 2020 data: https://www.portland.gov/sites/default/files/2022/portlandcity_profile.pdf\n\nFood desert population share calculated from 2019 data:https://www.ers.usda.gov/data-products/food-access-research-atlas/download-the-data/
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,13.6,,Jurisdiction-wide data is not available but a survey by the charity Food Foundation calculated that in June 2024 13.6% of UK households faced food insecurity (ate less or went a day without eating because they couldn't access or afford food) compared to 17.0% of households by the same measure in June 2023. Source: https://foodfoundation.org.uk/initiatives/food-insecurity-tracking#tabs/Round-15
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,9.5,,"This metric is the 5-year average (2018-2022) for Seattle, based on the Behavioral Risk Factor Surveillance System (BRFSS), a random telephone interview survey of adults ages 18 and over. In King County, 9.5% of adults bought food that sometimes/often didn't last, and didn't have money to get more (last 12 months). In the most recent year of data (2022) that number was 8.5%.\n\nBlack and Hispanic/Latinx households are twice as likely to experience food insecurity (26.6-32.4% between 2018-2020) than white households.\n\nSoutheast Seattle households have high rates food insecurity (the average rate between 2018-2020 was 26.5%).\n\nData sources:•Public Health - Seattle & King County. Behavioral Risk Factor Surveillance System. Five year estimates for Seattle produced by: Public Health - Seattle & King County, Assessment, Policy Development & Evaluation Unit, 3/29/2023. \nhttps://www.seattle.gov/rsji/racial-equity-research/food-insecurity\n\nUpdated 4/12/2023.•https://kingcounty.gov/depts/health/data/community-health-indicators/behavioral-risk-factor-surveillance-system.aspx?shortname=Food%20insecurity"
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,5.19,,"There is limited research into food insecurity in Swale, however research completed by the University of Sheffield in January 2021 found that 5.19% of adults in Swale suffered from hunger, 15.19% struggles to access food and 15.71% consistently worried about not having food. Attached below is a link which demonstrates some of the findings from the jurisdiction:https://shefuni.maps.arcgis.com/apps/instant/interactivelegend/index.html?appid=8be0cd9e18904c258afd3c959d6fc4d7"
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,4.1,,"Dados nacionais e não municipais.\n\nA taxa de prevalência da insegurança alimentar moderada ou grave (%) da população residente em Portugal Continental é 4,1% (2024)\nFonte: INE"
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,10.4,,"Food deserts are less of an issue in Vancouver. There tend to be longer distances to food access in high-income neighborhoods with predominantly single-family homes. These neighborhoods were built after the invention of the automobile and followed the american style of driving to the store. See: https://vancouversun.com/news/staff-blogs/how-to-nourish-vancouvers-surprising-food-deserts Cultural appropriateness, income, and transit accessibility are bigger issues. For food insecurity, the most recent data we have is from 2023: The rate of household food insecurity varied within the province, sitting at 10.4% in the Vancouver Coastal Health Region. http://www.bccdc.ca/Documents/2023-10-18_HouseholdFoodInsecurityReport.pdf"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"There is no data available for food insecurity for the city of Copenhagen. Based on the definition of food deserts referred to by CDP, we estimate that 0% of Copenhagens population lives in food deserts."
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,16.88,,"Dr Megan Blake and Dr Adam Whitworth, at the University of Sheffield Institute for Sustainable Food, worked with Dr Angelo Moretti at Manchester Metropolitan University to model data from the Food Foundation, who surveyed people across the UK, and for the first time were able to identify food insecurity at a local authority scale. Local authority percentages show the marked variation in levels of food insecurity between local areas and, whereas national and even regional averages, hide this difference.16.88 is the percentage of adults who struggle with food insecurity in Coventry. Struggle here is defined as a positive response to at least one of the following:Sought Help accessing foodSkipped or shrank mealGave a reason for not having enough foodhttps://shefuni.maps.arcgis.com/apps/instant/interactivelegend/index.html?appid=8be0cd9e18904c258afd3c959d6fc4d7"
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,21.1,,"As part of the Ask Cardiff 2024 survey, residents were asked whether in the last six months, they or anyone else in their household had skipped meals because they couldn't afford food. Results were broadly similar to the findings of the 2023 survey, with around one in 6 (15.9%) eating smaller meals than usual, or skipping meals because they couldn't afford food; one in twelve (8.6%) missed meals to afford to pay bills. The proportion of respondents receiving food from a food bank or charity increased from 2.5% in 2023 to 4.4%.\n\nRespondents under the age of 35 were most likely to have undertaken at least one of the options listed (38.5%), followed by those identifying as disabled (31.0%), and residents of the Southern Arc (30.3%). Respondents over the age of 55 were most likely to report they had done 'none' of the options listed (86.6%). Around one in fourteen of those identifying as disabled (7.7%) reported that they had 'not eaten for a whole day' - the highest proportion of all demographic groups analysed, reflecting the findings of the previous year.\n\nThere was a broad correlation with those unable to afford food and the level of deprivation. As in previous years, respondents living in the most deprived areas of the city were notably more likely to report having been impacted by not being able to afford food, with 29.3% 'eating smaller meals, or skipping meals' completely; a fifth (20.0%) 'missed meals to be able to pay bills'; almost one in seven (12.9%) had 'been hungry but not eaten'. \n\nThe proportion of those in the most deprived areas reporting they had not 'eaten for a whole day' (9.8%) or 'received food from a food bank or charity' (12.0%) increased from 6.3% and 4.5% respectively in 2023.\n\n"
