disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total quantity of food procured (tonnes),col2_Breakdown of procured food by food group,col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1648,"Produce: 34%, Meals: 18%, Milk and Dairy: 17%, Bread, Grains and Legumes: 14%, Meat: 9%, Condiments and Snacks: 6%, Beverages: 3%, Seafood <1%",2022,This is extrapolated from \'Austin Area Good Food Purchasing Program Dashboard\'.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,3100,No available,2023,"Acquisitions made by the City Council and majority-owned dependent entities). The estimation of quantities has been made based on the contracts identified in the OpenData Barcelona procurement database. There could be some unidentified food purchases included as part of other contracts. The estimation includes food for both animal consumption (450 t/year) and human consumption (2,650 t/year). Beverage acquisitions (water, wine, soft drinks) have not been considered, but fruit juices and milk and milk substitutes have been included. No distinction has been made between the purchase of raw food (to be prepared before serving) and the acquisition of prepared meals (occasional or fixed catering). Food from vending machines and concessioned bar services have not been considered. The main food contracts correspond to fixed catering services for social services (intended for the elderly, people at risk of social exclusion, and homeless people) with 1,800 t/year, followed by the catering contract for nurseries for children under 3 years old (770 t/year) and the feeding of Zoo animals (280 t/year). The City Council does not provide food services in schools (primary, secondary, and other studies), hospitals, or prisons."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,Unknown,,This cannot be provided for all of Cambridgeshire as organisations are disparate and do not have any need to share it. We are 1 local government organisation and the public sector is vast and made up of hundreds of organisations each running their own procurements.
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,N/A,2023,There is currently no available estimate of total food procured by the City of Chicago.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,129068,"Breakdown by weight (million pounds for solid, million gallons for liquid):\nDairy: 74.6\nFruits and vegetables: 70.2\nGrains: 33.2\nRoots, tubers: 21.0\nPoultry: 17.2\nVegetable Oils and Sauces: 12.1\nRuminant meats: 2.15\nLegumes, nuts, seeds: 11.3\nSeafood: 2.99\nStimulants, spices: 0.33\nEggs: 0.78\nSugars: 0.4\nPlant-based milk subs: 0.06\nPork: 0.09\n\nMore information: https://www.nyc.gov/site/foodpolicy/good-food-purchasing/citywidedata.page",2023,"Each year, the City of New York serves hundreds of millions of meals to vulnerable New Yorkers - school children, individuals in homeless shelters, older adults, patients in our public hospitals, and many more. The City is committed to the values of Good Food Purchasing (GFP) and increased transparency around the food that City agencies buy, prepare, and serve. The metrics here show City government food purchasing data guided by the Cool Food Pledge. Details can be viewed at: https://www.nyc.gov/site/foodpolicy/good-food-purchasing/citywidedata.page"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,NA,,No data available
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,14491,Frozen food: 2 942 tonnes\nFresh food: 7 878 tonnes\nColonial/dry foods: 3 671 tonnes,2024,
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,Data is not available about total quantity of food that is procures (in tonnes).
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,2721.0,,2020,6 million meals provided in 2020. Weight estimated as 1 lb per meal. 
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,\n,,Data is not available
