disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,774279726,Higher volume projected to be withdrawn,
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,175500000,About the same volume projected to be withdrawn,Water conservation strategies are underway to either reduce or keep the consumption at the same level.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,63206,About the same volume projected to be withdrawn,year 2023\nhttps://www.amb.cat/en/web/medi-ambient/aigua/cicle-aigua/cicle-i-recursos-hidrics
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),Yes,27578,About the same volume projected to be withdrawn,year 2023\nhttps://www.amb.cat/en/web/medi-ambient/aigua/cicle-aigua/cicle-i-recursos-hidrics
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Desalinated seawater,Yes,15655,About the same volume projected to be withdrawn,year 2023\nhttps://www.amb.cat/en/web/medi-ambient/aigua/cicle-aigua/cicle-i-recursos-hidrics
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Ground water (renewable),Yes,983,Higher volume projected to be withdrawn,"Year 2024. Municipal Alternative water resource network: Watering gardens, Urban Cleaning, Ornamental Fountains.\n\nhttps://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/139970"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",5,Row 5,Other: regenerated water,Yes,22494,Higher volume projected to be withdrawn,"Year 2023. Water regenerated for environmental uses from the Llobregat Treatment Plant, with environmental uses to contribute to the Llobregat River, injection of anti-intrusion barrier wells. Industrial and residential uses (sanitary discharges) are expected in the near future\n\nhttps://www.amb.cat/en/web/medi-ambient/aigua/cicle-aigua/cicle-i-recursos-hidrics"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,231297,Less volume projected to be withdrawn,"The total annual volume of water withdrawn covers the region Anglian Water supplies, of which Cambridgeshire is a part. Anglian Water projects a reduction in water abstracted from groundwater across the region in line with a water demand decrease due to water demand management over Asset Management Period 8 (AMP8, covering April 2025 to 2030).\n\nhttps://www.anglianwater.co.uk/siteassets/household/about-us/pr24/ANH11-Water-resources-table-commentary.pdf"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,237973,Less volume projected to be withdrawn,"The total annual volume of water withdrawn covers the region Anglian Water supplies, of which Cambridgeshire is a part. Anglian Water projects a reduction in water abstracted from these sources across the region in line with a water demand decrease due to water demand management over Asset Management Period 8 (AMP8, covering April 2025 to 2030).\n\nhttps://www.anglianwater.co.uk/siteassets/household/about-us/pr24/ANH11-Water-resources-table-commentary.pdf"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Other: Water from impounding reservoirs, water from pumped storage reservoirs",Yes,224581,Less volume projected to be withdrawn,"The total annual volume of water withdrawn covers the region Anglian Water supplies, of which Cambridgeshire is a part. Anglian Water projects a reduction in water abstracted from these sources across the region in line with a water demand decrease due to water demand management over Asset Management Period 8 (AMP8, covering April 2025 to 2030).\n\nhttps://www.anglianwater.co.uk/siteassets/household/about-us/pr24/ANH11-Water-resources-table-commentary.pdf"
