disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,18.0,Up to 20% or more of income spent on energy services,"According to the Greenlink Equity Map (GEM) tool by Greenlink Analytics, this map shows census tract data of number of households facing energy burden in Atlanta, energy burden %, and median income. There are three census tracts that reach extremely high energy burdens of 19.11%, 19.95%, and 20.01%. Greenlink is a partner for Atlanta's weatherization program and analyzes the data side. Total number of households in Atlanta equates to 49,424 of >6% for energy poverty, out of 269,927 total = 18% currently facing energy poverty."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,16,Up to 10% of income spent on energy services,Scaled from Texas standard and Austin's median household income.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,22.7,Other: In comments section comment how we consider energy poverty,"We define energy poverty as one of the following conditions: Not being able to afford to keep the home at a certain temperature suitable during the cold months (9.9 %). Not being able to afford to keep the home at a certain temperature suitable during the warm months (12.7 %). Having been late in the payment of invoices or receipts from services (light, water, gas, etc.) in the last 12 months (11.5%)."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"We do not measure energy poverty, we only collate data on fuel poverty."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9.1,Other: Low Income Low Energy Efficiency (LILEE) metric,https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2025-2023-data
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,13.0,Other: Energy burden- Above 6% of income spent on energy services Severe energy burden- above 10% of income spent on energy services,"Threshold of 6% denotes \'high energy burden\' --- total population that exceed this threshold = 363000.Threshold of 10% denotes \'severe energy burden\' --- Total population that exceed this threshold = 110,000.\n\nNRDC Burdened Communities Tool- https://www.nrdc.org/resources/energy-burdened-communities-tool \n\nGreenlink Equity Maps: https://www.equitymap.org/\n\nEnergy Insecurity Among Chicago Homeowners Report- https://www.elevatenp.org/wp-content/uploads/energy-insecurity-chicago-homeowners-report.pdf"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,18.0,Up to 10% of income spent on energy services,"In New York City, energy affordability is a significant concern, with many households struggling to meet their energy costs. The New York State Public Service Commission has adopted a new enhanced energy affordability policy aimed at providing discounts to low-income utility customers, ensuring that their energy bills do not exceed 6% of their household income. The city is also working on strategies to address energy insecurity, including energy efficiency programs and support for low-income households. More information: https://dps.ny.gov/news/psc-expands-energy-affordability-policy-low-moderate-income-customers"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.2,Other: Fuel poverty is calculated using Low Income Low Energy efficiency indicator. Households are fuel poor if they have a fuel poverty energy efficiency rating (FPEER) of Band D (68) or below; and its disposable income is below the poverty line.,https://www.gov.uk/government/statistics/annual-fuel-poverty-statistics-report-2024
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Energy poverty is not considerad as a problem in the city of Stockholm. Heating is normally included in the rent for rental appartments. High energy prices during 2022 lead to national subsidies for all consumption of electricity.
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9,Other: ECC uses the UK government's Low-Income Low Energy Efficiency (LILLEE) Indicator.,"in 2023, 58,337 households in Essex, equating to 9% of all households - were living in fuel poverty, meaning they could not afford to heat their homes adequately. This represents a decrease of 0.3 percentage points (1,381 households) compared to 2022. The difference between the level of fuel poverty reported to CDP last year (21.5% based on 2021 projections) and the level reported this year reflects a change in the definition of fuel poverty used.by the UK government. After 2021, the government replaced the 10% affordability threshold (which classified households as fuel poor if they needed to spend more than 10% of their income on energy ) and now uses the Low-Income Low Energy Efficiency (LILEE) indicator. Under this metric, a household is considered fuel poor if:\n\n1.\tThe home has a Fuel Poverty Energy Efficiency Rating (FPEER) of band D or below, and \n2.\tResidual income after housing and modelled energy costs is below the official poverty line.\n\nThis is the metric now used by ECC.\n"
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,2,Up to 5% of income spent on energy services,Determined with US DOE LEAD Tool
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,9.0,Up to 10% of income spent on energy services,"According to ACEEE's 2020 report linked in this box (page 43), 9% of households in the LA metro area have a severe energy burden (spend 10% of their income on energy). Of 1.4 million households in the City of LA, 9% is 126,000. https://www.aceee.org/sites/default/files/pdfs/u2006.pdf"
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,14,Other: The Low Income Low Energy Efficiency (LILEE) fuel poverty metric. Details in comment,"Figure from the Sub-regional fuel poverty data 2025 published by BEIS for the year of 2023. Link to data: https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2025-2023-data Fuel poverty in England is now measured using the Low Income Low Energy Efficiency (LILEE) indicator rather than the old Low Income High Costs (LIHC) indicator. Under the LILEE indicator, a household is considered to be fuel poor if:- they are living in a property with a fuel poverty energy efficiency rating of band D or below and- when they spend the required amount to heat their home, they are left with a residual income below the official poverty line (60% or below equivalised after-housing costs versus median household income)."
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,13,Up to 5% of income spent on energy services,13% of households in Orleans Parish live in census tracts with an average energy burden of 5% or more. Average energy burden (average energy cost divided by average household income) is sourced from the Department of Energy's Low Income Energy Affordability (LEAD) tool.\nhttps://www.energy.gov/scep/slsc/lead-tool
