disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability^,col2_Indicator^,col3_Response value^,col4_Year data applies to,col5_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,1,Percentage of population or households with access to electricity,Data available to report,Percentage of jurisdiction population with access to electricity (%),100.0,2023,https://tradingeconomics.com/georgia/access-to-electricity-percent-of-population-wb-data.html
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,2,Average duration of available electricity,Data available to report,Number of hours electricity is available per year (hours/year),8669,2023,"Only outage information could be found for summer outages, but this totaled 91 hours and 7 outages occurring. https://valdostatoday.com/in-other-news/2024/06/experts-predict-ga-facing-high-blackout-risks-this-summer/."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,3,Average yearly final energy consumption per capita,Data available to report,kWh/year/person,18444,2024,"On average, Atlanta, GA residents spend about $235 per month on electricity (~$2,820 per year). This is 14% higher than the national average and the average electricity rate is 15 cents/kWh. https://www.energysage.com/local-data/electricity-cost/ga/dekalb-county/atlanta/"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,1,Percentage of population or households with access to electricity,Confidential,,,,Not applicable
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,2,Average duration of available electricity,Data available to report,Number of hours electricity is available per day (hours/day),24,2024,Excludes system outages that occurred due to extreme weather events.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,3,Average yearly final energy consumption per capita,Data available to report,kWh/year/person,4603,2024,Includes residential consumption and population served within Austin Energy service territory.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,1,Percentage of population or households with access to electricity,Data available to report,Percentage of households with access to electricity (%),100.0,2023,--
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,2,Average duration of available electricity,Data available to report,Number of hours electricity is available per day (hours/day),24.0,2023,--
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,3,Average yearly final energy consumption per capita,Data available to report,kWh/year/person,2318.73,2023,"Only energy consumed in households is taken into account. 47,01% is natural gas, 49,99% is electricity and 3,0% is LGP (butane)."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.4,Report the following information on access to secure energy for your jurisdiction.,1,Percentage of population or households with access to electricity,Data available to report,Percentage of households with access to electricity (%),100.0,2024,https://data.worldbank.org/indicator/EG.ELC.ACCS.ZS
