disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),11.91,0.92,,0.96,1.91,0.0,0,84.3,,0.0,2023,100.00,Freight mode share as share of trips (%),0.0,0.0,0,0.0,0,0.0,0.0,,0.00,Utilized the Transportation Activity: https://insights.sustainability.google/places/ChIJjQmTaV0E9YgRC2MLmS_e_mY
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8.93,1.26,0.33,0.78,0,0,0,88.7,0,0,2022,100.00,Freight mode share as share of trips (%),0.0,80.56,9.64,8.07,1.73,0.0,0.0,2022,100.00,Mode split modeled based on vehicle miles travelled per mode of transportation.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),42.1,2.2,1.2,10.6,21.6,0.1,2.6,19.6,0,0.0,2023,100.00,Freight mode share as share of vehicle distance travelled (%),0.0,75.7,19.04,5.26,0.0,0.0,0.0,2024,100.00,"Due to lack of data in rail systems and motorbikes used for goods transportation, LDV, MDV and HDV shares sum 100%. Goods vehicles are the only available data."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,0,0,30,29,0.0,0.0,36,0,5,2021,100.00,Freight mode share as share of trips (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,0.00,"Data used is the 2023 WMCA Cordon count data for Birmingham and is the most recent available. Data is to be updated by October 2025 however this is after the submission date. Walking is not recorded within this dataset as it is looking at modes of travel crossing cordon counters on the city centre boundary. Walking is estimated through other datasets however our transport officer did not think it scientifically rigorous to blend the two sources. Please note that the private car mode share also includes taxi and shared vehicle mode share percentage within it as our data set does not separate these out. As discussed with Helena Fazeli, CDP UK Engagement Officer, we do not record freight share data and whilst it may be possible to extrapolate from other sources it is unlikely to be reliable. As such we have left this blank. Other includes light and heavy vehicles."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),27.82,1.97,0,1.9,2.27,0,0.53,65.5,0,0.01,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Passenger mode share is from https://www.gov.uk/government/statistics/national-travel-survey-2023 Table NTS9903. Data is for East of England region, larger area than just our jurisdiction."
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),,7,,0,21.2,0.0,7.5,46.7,,17.6,2022,100.00,Freight mode share as share of trips (%),0.0,0.0,0.0,9.0,79.7,11.1,0.2,2018,100.00,"Passenger mode data is sourced from the 2018-2022 American Community Survey Five-Year estimates for workers 16 years and older. Link: https://data.census.gov/table/ACSDP1Y2023.DP03?q=mode%20share%20data%20in%20Chicago%20in%202023\n\n\nACTIVE TRANSPORTATION ALLIANCE 2020 Regional Mode Share Report: http://www.activetrans.org/sites/files/2020regionalmodesharereport.pdf\n\nPlease note that the freight data is estimated based off of a 2007 regional study conducted by the Chicago Metropolitan Agency for Planning. This research yielded data on total tons of cargo carried by various modes through the region. This was extrapolated to \'mode share as share of trips\', but the data should not be interpreted as representation of that category. This is an illustrative example that shows the general distribution of cargo across the various freight modes in Chicago. It is noted that updated information of freight is necessary for future reporting. Data can be accessed here: https://www.cmap.illinois.gov/mobility/freight/freight-data-resources\n "
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),43,2.9,0,4,13,0.1,2,34.0,0,1,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"https://www.nyc.gov/html/dot/downloads/pdf/freight-vision-plan-delivering-green.pdf--> provides information on the sustainability mode share for freight\n\nFor passenger mode share- https://www.nyc.gov/html/dot/html/about/citywide-mobility-survey.shtml\nFirst pieces of data available from the 2022 Citywide Mobility Survey, the next one with 2024 data is due to be released in the fall of 2025. \nIn spring 2024, NYC DOT conducted the CMS with the goal of collecting a representative sample of all New Yorkers. Invited participants had the option to complete the survey online, by phone, or through a smartphone app, and in multiple languages. \n"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),27,5,0,12,18,0.0,1.0,36,0,0.0,2022,99.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The figures above do not capture micro-mobility or ferries/river boats as this data is not presently collected by TfL, although these are available transport options in London. 2022 Travel in London report: https://content.tfl.gov.uk/travel-in-london-2024-consolidated-estimates-of-total-travel-and-mode-shares-acc.pdf Transport for London are responsible for licensing taxis that operate in London. As part of the license agreement, no new diesel taxis are permitted to operate in London. There are now nearly 8,700 zero-emission capable taxis on London's roads. "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11,20,0.0,14,35,0.0,0.0,17,0,2,2024,99.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data: main mode of trips to work and school by City of Stockholm residents in september 2024, ages 18-79. No separate micro-mobility share data available. Source: City of Stockholm environmental department survey \'Medborgarenkät trafik och resvanor i Stockholm\' conducted in October 2024. https://miljobarometern.stockholm.se/content/docs/me/trafik-resvanor-2024.pdf "
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),28.4,2,0,2,2.7,0,0.8,64.1,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data for East of England from National Travel Survey 2024 (mid year estimates) , DfT \nhttps://www.gov.uk/government/statistics/national-travel-survey-mid-year-estimates-year-ending-june-2024\n\nECC has also worked with Transport East to conduct a Travel and Behaviour Survey. The data for Essex can be found here https://www.transporteast.gov.uk/wp-content/uploads/Transport-East-Travel-and-Behaviour-Survey-Report-Essex.pdf\nThe following data is the percentage of respondents who reported using each mode in Essex in the last 2 days (section 2.2, page 11)\nCar driver 61%\nWalking 55% \ncar passenger 26%\nBus 20%\nTrain 16%\nUnderground 9%\nBicycle 6% \nTaxi 4%"
