disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Private vehicles,col2_Buses,col3_Municipal fleet (government owned vehicles excluding buses),col4_Freight vehicles,col5_Taxis/Transport Network Companies/Carshares,col6_Comment
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2837984,29908,43219,923130,0,Taxis are not disaggregated from private vehicles
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,875252,902,6546,48648,0,Taxis are not disaggregated from private vehicles
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,47336,327,302,0,0,No data on electric freight vehicles. Taxis are not disaggregated from private vehicles.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0,0,0,0,0,Data resolution is no finer than electric / non-electric
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,0,0,0,Data resolution is no finer than electric / non-electric
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,Very few if any.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),612107,85642,21132,133079,0.0,No disaggregated information about taxis and carshares. Accounted as private vehicles. 2023 information.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,745132,2277,3089.0,61235,10428,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,16575,165,930,1168,303,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,43659,570,205,422,6745,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0.0,0.0,22.0,0.0,0.0,these category is included within hybrid electric vehicle category. except for public buses
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,46,0.0,0.0,0,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),27419,102140,,919153.0,,This data is derived from the Chicago Metropolitan Planning Agency 2019 emissions inventory. All missing entries were not reported in the inventory.
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,1934,11000,,4923,"Passenger vehicle count: https://www.ilsos.gov/departments/vehicles/statistics/lpcountycounts/2023countycounts.pdf\n\nBus count: CTA internal quarterly briefing.\n\nMunicipal fleet: Internal departmental briefing; only includes light-duty vehicles\n\nFreight count: not available\n\nTaxi count: Pulled March 2024, CDOT, City Data Portal https://data.cityofchicago.org/Transportation/Taxi-Trips-2013-2023-/wrvz-psew/about_data\n"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,6813.0,23,141,,7,"Passenger vehicle count: https://www.ilsos.gov/departments/vehicles/statistics/lpcountycounts/COUNTY103.PDF\n\nBus count: internal quarterly CTA briefing. Increase from 2022 \n\nMunicipal fleet: Internal departmental briefing; only includes light-duty vehicles\n\nFreight count: N/A\n\nTaxi count: Pulled March 2024, CDOT, City Data Portal https://data.cityofchicago.org/Transportation/Taxi-Trips-2013-2023-/wrvz-psew/about_data"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,206,1261,,4827,"Municipal fleet: Internal departmental briefing; only includes light-duty vehicles\n\nFreight count: N/A\n\nTaxi count: Pulled March 2024, CDOT, City Data Portal https://data.cityofchicago.org/Transportation/Taxi-Trips-2013-2023-/wrvz-psew/about_data"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,0.0,60,,0,Unknown except for bus data.
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,0.0,,,0,Unknown except for bus data.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),10025606,506488,208593,2135243,854893,this data is from the Community NYC GHG emissions inventory for 2023. Private SWCV and School Bus is associated with freight emissions. \n\n
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,0,0,29079,0,115990,"Taxi values from the Taxi and Limousine Commission. NYC does not track the fleet size of private freight and private passenger vehicles that operate within the city. the NYS DMV will have registration data for the last two years if CDP requires it. NYC recommends that CDP request the VMT of these transportation sectors instead of fleet size, as NYC does not track the fleet size of private vehicles, buses (outside of city government fleet), Freight, or Taxis directly. Instead, our emissions data is based on VMT."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,0,0,2450,0,1302,n/a
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0,0,4170,0,19930,n/a
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0,1464,0,0,n/a
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0.0,0,0,n/a
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),2878711,693069,,1954631,216056,Freight includes Light Goods Vehicles . 2022 report includes emissions from electric vehicles of all types for all of the above categories. Data taken from London Inventory (LEGGI).
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),266632,10694,455,175102,,"Private vehicles includes all passenger cars (including taxis /transport network companies, carshares and municipal fleet). Municipal fleet is also included in freight vehicles. Muncipal fleet does not include public transports. Emissions include scope 1. The emissions are from 2023."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,983506,2634,1025,157944,11522,The numbers include Stockholm Region at the end of year 2024. - Private vehicles including all passenger cars. - Municipal Fleet including only the passenger cars and freight vehicles of City of Stockholm.- Data for carshares is from 2024. Transport networks are not included. We haven't been able to get hold of Uber for their fleet size.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,141988,157,592,13542,2477,We don´t have data for carshares
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,95959,1,17,18,3460,We don´t have data for carshares\n\n
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,121526,0,31,327,561,We don´t have data for carshares.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,3,0,,,0,"We don´t have data for freight vehicles, and carshares ."
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),8836599,24122.0,143981,,,Private vehicle emissions encompass all on-road emissions in community inventory. Bus emissions are from City of LA transit fleet. Unable to differentiate emissions between freight/taxis. Municipal fleet includes on road and off road emissions and excludes transit vehicles from 2022 municipal inventory.
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,3425225,2809.0,13446,,,"Because we do not have regulatory authority over TNCs, we do not know their fleet size or any other details. Bus and municipal counts have not been updated from previously reported values. Private vehicles values scaled by population from data for County of Los Angeles."
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,193879,50.0,754,,,"The customer-drive carshare is BlueLA, LA's low-income all-electric car share. Private vehicles number estimates are updated to 2023. Bus and municipal counts have not been updated from previously reported values."
