disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Health area affected by climate change,col2_Identify the climate hazard(s) that most significantly impact the selected health area,col3_Identify the health issues driven by the selected climate hazard(s),col4_Timeframe of impact,col5_Identify which vulnerable populations are affected by the selected health issue(s),col6_What factors affect your jurisdiction's ability to address the selected health issues,col7_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease,Vector-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease,Medium-term (2026-2050),Frontline workers|Marginalized / minority communities|Elderly|Vulnerable health groups|Low-income households|Children and youth,Lack of financial capacity|Lack of expertise/technical capacity,"The rise in temperatures, rain pattern differences, and heavy flooding are predicted to create breeding grounds for mosquito breeding and disease transmission. [2,12,13]Additionally high particulate matter and high pollen counts through ozone decay have created respiratory challenges for Atlantans with asthma and lung diseases. Air pollution due to high transportation emissions for the city has remained a problem and high temperatures make the air pollution more severe.https://www.georgiaclimateproject.org/portal/health/"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Extreme heat|Drought|Heat stress,Exacerbation of non-communicable disease symptoms - other|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Heat-related illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease,Short-term (by 2025),Vulnerable health groups|Low-income households|Marginalized / minority communities|Outdoor workers,Lack of financial capacity and expertise/technical capacity|Lack of financial capacity,"Increasing extreme heat days in frequency exacerbates heat-related disorders like heat stroke, obesity, cardiovascular arrest, as well as air related illnesses like asthma which can lead to permanent disability or death. Nighttime climate is also increasing in temperature which makes it harder for people to cool off and avoid heat stroke. Around 19 people died in Atlanta or about 24.3% of heat-related deaths each year are due to preventable, human-caused climate change. https://www.georgiaclimateproject.org/portal/health/https://www.gpb.org/news/2019/07/31/more-extremely-hot-days-mean-stagnant-air-health-problemshttp://publichealthmagazine.emory.edu/issues/2021/fall/clifton-notes/climate-change-responsible-for-a-third-of-heat-related-deaths/index.html"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Health outcomes,Urban flooding,Water-borne infections and illnesses,Medium-term (2026-2050),Women and girls|Low-income households|Elderly|Vulnerable health groups|Outdoor workers|Marginalized / minority communities|Frontline workers|Children and youth,Lack of financial capacity and expertise/technical capacity,
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat,Direct physical injuries and deaths due to extreme weather events|Heat-related illnesses,Short-term (by 2025),Marginalized / minority communities|Outdoor workers|Children and youth|Other: White and non-Hispanic men,No factors affect the jurisdiction's ability to address health issues,"Austin Public Health initiated heat-related illness surveillance on May 15, 2018 and continued through September 30, 2018 and reported the findings. Link to the summary report: https://www.austintexas.gov/sites/default/files/files/Health/Epidemiology/Heat_Surveillance_Report_9.24.18.pdf"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme cold|Fire weather (risk of wildfires)|River flooding|Drought|Urban flooding,"Disruption of health-related services|Direct physical injuries and deaths due to extreme weather events|Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Food & nutrition security",Short-term (by 2025),"Low-income households|Elderly|Marginalized / minority communities|Vulnerable health groups|Outdoor workers|Other: Immigrant and refugee communities, Unhoused communities, Communities of color, undocumented individuals",No factors affect the jurisdiction's ability to address health issues,"The disproportionate impact of climate change is rooted in the growth of the city and the social construct. Austin has a long history of systemic racism and racial inequity that continues to impact communities in the Eastern Crescent. Throughout Austin's history, communities of color have been excluded, marginalized, and discriminated against as a result of City policies and practices. This has led to a disproportionate impact of air pollution, heat exposure and flood risk in historically Black and Latinx neighborhoods due to industrialization and inadequate infrastructure. Working with faculty at the University of Texas at Austin, students and staff conducted a multi-risk assessment that considers how social vulnerability and hazard risk interact. The findings identify specific neighbourhoods (spatially designated as census block groups) that score relatively high on social vulnerability and face relatively high hazard risk.The health-related multi-risk assessment considers hazard and vulnerability interactions. In some socially vulnerable census block groups, there may exist risk from a single hazard. In other census block groups, the exposure to multiple hazard risks is relatively high. The possibility of cascading or domino effects amplify the overall risk and present challenges to community resilience. The spatial exposure of independent hazards include: a. Flooding (specifically, riverine/creek flooding) b. Wildfire & grassfires c. Extreme heat d. Drought/Air Quality and, e. unexpected hazards such as severe cold. These hazards can lead to or perpetuate a multitude of health conditions, including respiratory and cardiovascular diseases. "
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Fire weather (risk of wildfires)|Drought|Other coastal events|Extreme heat|Heavy precipitation|Infectious disease|Heat stress|Urban flooding,Food-borne infections and illnesses|Vector-borne infections and illnesses|Water-borne infections and illnesses|Direct physical injuries and deaths due to extreme weather events|Emotional and/or spiritual health impacts|Overwhelming of health service provision due to increased demand|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Mental health impacts|Heat-related illnesses|Exacerbation of non-communicable disease symptoms - other|Exacerbation of non-communicable disease symptoms - respiratory disease,Short-term (by 2025),Vulnerable health groups|Children and youth|Low-income households|Elderly|Outdoor workers|Women and girls|Marginalized / minority communities,Lack of financial capacity and expertise/technical capacity,"Climate change affects health and quality of life but it doesn't affect everyone in the same way. Climate justice has to do with inequalities: factors such as physical condition, health, age, gender, socio-economic situation or the conditions in the environments we live and work in determine the extent to which climate change affects people. In fact, it is believed that the climate crisis is thebiggest threat to health this century. Sustained, excessive heat leads to an increase in mortality and morbidity, especially among the most vulnerable groups of human beings, but also the rest of the natural world. It is estimated that in 2024, heat was responsible for 50 deaths among men and 185 among women in Barcelona, mostly among older people. To reduce the vulnerability of people to climate change, we need to work on ensuring the continuity of services and universal access to basic supplies, guaranteeing thermal comfort both inside buildings (housing, facilities, etc.) and in public spaces, as well as improving and adapting the services to dependent persons. We need to advance towards becoming a healthy city that ensures the health and well-being of its citizens. A socially just city that reduces inequalities. And a habitable, comfortable city with quality public spaces. Most important challenges in Barcelona are:• Reducing the vulnerability of people to the climate crisis, understood to mean those situations that mean some people adapt less well to their effects, either because of their socio-economic situation (family income, housing conditions, doing demandingphysical activities outdoors), characteristics (gender, age, situation of solitude) or health (people with limited autonomy, chronic diseases, etc).• Cutting NOx and PM emissions, the main local pollutants which directly affect the health of Barcelona's population and that of the surrounding area.• Reducing vulnerability and energy poverty.• Improving thermal and acoustic comfort in the city: in homes, sensitive facilities and public spaces.• Improving our knowledge of the impact climate change has on health, as well as social and gender inequalities.• Preventing and controlling possible alterations in the geographical and seasonal distribution of vectors (mosquitoes and others) and the diseases they can transmit.•Improving the accessibility (physical and economic) of healthy, fair-trade and sustainable foods, especially among people in a vulnerable situation.• Promoting healthier diets low in emissions: more local, fresh and seasonal produce, more fruit and vegetables, more ecological produce, less packaging, fewer highly processed foods, reducing the consumption of animal protein (above all red meat) and prioritising meat that comes from extensive and ecological stockbreeding"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Coastal flooding (incl. sea level rise)|Infectious disease|Extreme heat|Heat stress|Drought|Extreme wind|Heavy precipitation|Storm|Urban flooding|Fire weather (risk of wildfires)|Water stress|Other coastal events,"Overwhelming of health service provision due to increased demand|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Food & nutrition security|Water-borne infections and illnesses|Heat-related illnesses|Direct physical injuries and deaths due to extreme weather events|Food-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Exacerbation of non-communicable disease symptoms - other|Mental health impacts|Damage/destruction to health infrastructure and technology, including access modes|Disruption of health-related services|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption to health service provision and service accessibility|Vector-borne infections and illnesses",Medium-term (2026-2050),Low-income households|Women and girls|Children and youth|Marginalized / minority communities|Outdoor workers|Vulnerable health groups|Elderly,Lack of political priority|Lack of financial capacity and expertise/technical capacity,"Currently, the city's public health services are already working to improve adaptation to climate change in terms of population health with activities such as improving the monitoring of the effects of climate change on health, intensifying surveillance and control of vectors and vector-borne diseases or intervention in the sewage system to reduce mosquito breeding sites. It is necessary to continue incorporating mitigation and adaptation interventions into public health services and, in the medium term, improve the preparation of health care services to provide an adequate response to the health effects of climate change, as well as during extreme situations. of extreme weather events."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme cold|Drought|River flooding|Heavy precipitation|Storm|Extreme wind|Urban flooding,Exacerbation of non-communicable disease symptoms - respiratory disease|Cold-related illnesses|Heat-related illnesses|Disruption to health service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events,Medium-term (2026-2050),Elderly|Outdoor workers|Low-income households|Vulnerable health groups|Women and girls|Children and youth|Frontline workers,Lack of financial capacity|Lack of financial capacity and expertise/technical capacity,"There are concentrated poor neighbourhoods of ingrained poverty, poor housing, health and environment that are getting worse with time not better. The city is less resilient to external impacts, climate or Covid-19. More development in the city will lead to more localised flooding if adequate surfaces are not provided. Climate change will lead to extreme weathers and cause disruption and damage to the infrastructure and services and more tropical diseases will put strain on the local health services and facilities. As previously outlined extreme heat has the risk to exacerbate illness in the most vulnerable. In 2022 (most recent available as of Jul 25), 24% of the 443,703 households across Birmingham are classed as being in fuel poverty - the second highest in the whole country (where the average was 13.1%). Sub regional fuel poverty data published by the Department for Energy Security and Net Zero in December 2024 (2022 data) shows the Parliamentary Constituency area of Hodge Hill was the most fuel poor, at an incidence of 32.1%. University hospitals Birmingham have conducted a study into the impacts of climate change on the delivery of health services in the city. The study found the following likely impacts: More pregnancy complications, including low birth weight, stillbirth and neonatal admissions, particularly linked to periods of extreme heat. More respiratory illness, renal disease and heat exposure, which is likely to have the most significant impacts on younger children we care for. New patterns of vector-borne illnesses, such as Lyme disease and tick-borne encephalitis have already been seen, and new patterns of malaria and west nile virus will affect travellers to a much wider range of countries. Mental health conditions linked to the impact of extreme weather events (e.g. flooding), as well as anxiety about the changing climate, and the mental health effects of increased economic hardship linked to the costs of our climate deteriorating. Health inequalities (avoidable differences in health outcomes) are likely to widen as those already affected by social deprivation are most likely to be impacted by climate change. "
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Areas outside the health sector,Heavy precipitation|Infectious disease|Extreme heat,Exacerbation of non-communicable disease symptoms - cardiovascular disease|Exacerbation of non-communicable disease symptoms - other|Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses,Not known (not possible to define),Vulnerable health groups|Low-income households|Marginalized / minority communities,Lack of financial capacity and expertise/technical capacity,n/a
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme cold|Increased water demand|Urban flooding|River flooding|Water stress|Biodiversity loss|Heat stress|Extreme heat|Drought|Infectious disease|Storm|Heavy precipitation,"Disruption of health-related services|Cold-related illnesses|Exacerbation of non-communicable disease symptoms - other|Disruption to health service provision and service accessibility|Water-borne infections and illnesses|Food-borne infections and illnesses|Damage/destruction to health infrastructure and technology, including access modes|Mental health impacts|Direct physical injuries and deaths due to extreme weather events|Food & nutrition security|Heat-related illnesses|Disruption to water, sanitation, and wastewater service provision and service accessibility|Vector-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Overwhelming of health service provision due to increased demand",Not known (not possible to define),Marginalized / minority communities|Low-income households|Children and youth|Women and girls|Elderly|Vulnerable health groups|Frontline workers|Outdoor workers,Lack of financial capacity and expertise/technical capacity,N/A
