disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),1.8,,2024,https://www.lung.org/media/press-releases/sota-atlanta-2024,"Metro Atlanta ranked 67th worst nationally for ozone pollution, with an average of 1.8 unhealthy days per year. Although, this did improve from the previous year. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10,4,2024,https://tceq.maps.arcgis.com/apps/webappviewer/index.html?id=ab6f85198bda483a997a6956a8486539,"The four (4) monitors identified above are used for federal compliance and maintained by the State Environmental Agency TCEQ. The TCEQ uses a variety of measures to ensure its air monitoring data is of the utmost quality. Air monitors are assessed daily to verify their operations remain within proper specifications. TCEQ personnel physically visit each monitoring station on a weekly basis to conduct various quality control checks and preventive maintenance activities. The monitoring instruments themselves must meet rigorous sampling and analytical requirements prescribed by federal air monitoring rules and undergo daily, weekly, and quarterly quality control checks to verify the instrument's calibration, accuracy, and precision. In addition, independently calibrated instruments are used to perform quarterly and annual audits of the air monitors and their operation. Finally, a validation assessment is performed on all data to verify the TCEQ's data quality objectives are met. The data are reviewed for outliers, regional comparability, quality assurance/quality control requirements, and other data quality assessment indicators. Data that do not meet these objectives completely are invalidated or denoted accordingly. The City also collaborates with local University of Texas researchers and the Capital Area Council of Governments (CAPCOG) for localized monitoring using Purple Air monitors, which provide live results at https://map.purpleair.com/"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),13,,2024,https://tceq.maps.arcgis.com/apps/webappviewer/index.html?id=ab6f85198bda483a997a6956a8486539 ,"In 2024, the region experienced moderate or worse air quality on 52% of days in 2024, with 13 of those days reaching “unhealthy for sensitive groups” levels. There were 21 days in 2024 where PM10 values reached “moderate” condition. Before 2024, PM10 sampling only occurred once every six days, but beginning in 2024, a continuous PM10 monitor was added to the Austin Audubon site which recorded daily PM10 values. The region recorded nine days when O3 levels were considered “unhealthy for sensitive groups” and five days when PM2.5 levels were considered “unhealthy for sensitive groups”. In additional there were 183 days when either O3 or PM2.5 levels were considered “moderate,” or worse, 45 days when it was “moderate” or worse for both O3 and PM2.5, and 9 days considered “moderate” or worse for both PM10 and PM2.5."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: CO,0.266,3,2023,https://mediambient.gencat.cat/ca/05_ambits_dactuacio/atmosfera/qualitat_de_laire/vols-saber-que-respires/descarrega-de-dades/,milligramm/m3 is the reported unit
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: PM10 (microgramm/m3),21,9,2023,https://mediambient.gencat.cat/ca/05_ambits_dactuacio/atmosfera/qualitat_de_laire/vols-saber-que-respires/descarrega-de-dades/,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: SO2 (microgramm/m3),1.75,4,2023,https://mediambient.gencat.cat/ca/05_ambits_dactuacio/atmosfera/qualitat_de_laire/vols-saber-que-respires/descarrega-de-dades/,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),24.7,7,2023,https://mediambient.gencat.cat/ca/05_ambits_dactuacio/atmosfera/qualitat_de_laire/vols-saber-que-respires/descarrega-de-dades/,Sites in Catalonia are monitored in this weblink. Annual average is published in statistics report of Barcelona Public Health Agency [2022 not yet published]: https://www.aspb.cat/documents/qualitat-aire/
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),13.6,6,2023,https://mediambient.gencat.cat/ca/05_ambits_dactuacio/atmosfera/qualitat_de_laire/vols-saber-que-respires/descarrega-de-dades/,Sites in Catalonia are monitored in this weblink. Annual average is published in statistics report of Barcelona Public Health Agency [2022 not yet published]: https://www.aspb.cat/documents/qualitat-aire/
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),18.18,50,2023,https://www.cambridge.gov.uk/media/fvyd2o1o/air-quality-status-report-2024.pdf,"Data for Cambridge district. Data sourced from non-automatic diffusion tubes. Only sites with greater than 90% valid data in 2023 have been included. Note that there are different types of diffusion tube based on their location: kerbside, roadside, suburban, urban background."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),11.43,25,2023,https://eastcambs.gov.uk/sites/default/files/2025-02/2024%20Air%20Quality%20Annual%20Status%20Report%20%28ASR%29.pdf,"Data for East Cambridgeshire district. Data sourced from non-automatic diffusion tubes. Only sites with greater than 90% valid data in 2023 have been included. Note that there are different types of diffusion tube based on their location: roadside, suburban, urban background."
