disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Select a reference ID for the target,col2_Target type^,col3_Boundary of target relative to jurisdiction boundary^,col4_Gases covered by target,col5_Emissions sources covered by target^,col6_Is this target a net zero target?,col7_Are carbon credits currently used or planned to be used to achieve this target?^,col8_Percentage of target to be met using carbon credits generated from outside jurisdiction or target boundary^,"col9_Are residual emissions expected in the net zero target year? If residual emissions are expected, explain why these emissions cannot be reduced",col10_Percentage of net zero target that is expected to remain as residual emissions in the target year,col11_Year target was established,col12_Emissions covered by target in year target was established (metric tonnes CO2e),col13_Base year^,col14_Base year emissions covered by target (metric tonnes CO2e)^,col15_Emissions intensity figure in base year (metric tonnes CO2e per capita or GDP)^,col16_Target year^,col17_Estimated business as usual emissions in target year (metric tonnes CO2e)^,col18_Percentage of emissions reduction (including offsets and carbon dioxide removal)^,col19_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e) [auto-calculated]^,col20_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e)^,col21_Specify if target is considered a science-based target (SBT) and the SBT methodology it aligns to,col22_Emissions covered by target in most recent inventory (metric tonnes CO2e),col23_Alignment with Nationally Determined Contribution,col24_Select the conditional components of your emissions reduction target,col25_Target status and progress made towards target,col26_Please explain
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,N2O|CO2|CH4,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","Yes, and the number of credits required has been quantified",,,,2015,8500000,2009,10060000,,2030,,40,6036000.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): But we are committed to setting a science-based target in the next 2 years",7796564,This target is not as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - moderate progress made,"The CoA's GHG Emissions Targets from the original Climate Action Plan were 20 percent below 2009 levels by 2020, and 40 percent below 2009 levels by 2030. The aim for our CAP update (Climate Resilience Action Plan) will include a long-term carbon neutral goal (department of aviation already has a goal of carbon neutrality by 2050). The last community-wide inventory was just completed for 2023 6,751,489 for gross emissions, this is a 32.89% reduction from the baseline (2009). The science-based targets established align with the Climate Paris Agreement, making these goals more aligned with the National Determined Contribution. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Other: Hartsfield Jackson Airport Net Zero Goal,HFCs|CO2|PFCs|N2O|CH4|NF3|SF6,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2022,29169,2019,35320,,2050,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Airport Council International",29169,This target is as ambitious as the Nationally Determined Contribution,Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration,Underway - moderate progress made,Here is more information on the carbon policy for the Department of Aviation (DOA): https://www.atl.com/community/sustainability/#1651607024044-512c84b7-9aed. There has been a decrease in emissions of 17.4% since 2019. 
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 4,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,N2O|CH4|CO2,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,Yes,,,Other: Residual emissions would include emissions from the airport (which has a net zero goal) and there are constraints in the clean energy sector due to,,2024,7454199,2019,7311657,,2050,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",6751489,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on the development or scaling up of other innovative technologies",Underway - limited progress made,Science Based targets will be a part of the City's first Climate Resilience Action Plan.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",4,Row 4,Target 3,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|CO2|N2O,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2024,7454199,2019,7311657,,2030,,59,2997779.37,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",6751489,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,This is the interim target for Target 4 (net zero) and this was calculated through ICLEI utilizing our 2019 inventory in ClearPath and will also be a part of the City's first Climate Resilience Action Plan.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|CH4|SF6|NF3|HFCs|PFCs|N2O,All emissions sources which are included in the jurisdiction inventory,Do not know,"Yes, and the number of credits required has been quantified",0,,,2021,10900000,2019,12000000,,2040,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",10900000,This target is more ambitious than the Nationally Determined Contribution,Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration,Underway - moderate progress made,"Our target is net-zero emissions by 2040 and it allows for up to 10% of the baseline emissions (1.4MMT CO2e) to be mitigated by added natural systems sequestration, other carbon sequestration, the purchase of locally produced carbon offsets, and other new innovative technologies."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|NF3|HFCs|PFCs|CO2|SF6|N2O,All emissions sources which are included in the jurisdiction inventory,Do not know,"Yes, and the number of credits required has been quantified",10.0,,,2020,10900000,2020,12000000,,2030,,75.0,3000000.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",10900000,This target is more ambitious than the Nationally Determined Contribution,Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the implementation of carbon capture and storage (CCS) technology,Underway - moderate progress made,This is an intermediate 2030 target en route to our net-zero by 2040 goal.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Baseline scenario target,Same - covers entire jurisdiction and nothing else,N2O|CO2|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: Climate City Contract (European neutrality cities mission) sets a target of 80% reduction and 20% ofsetting. In next iterations and revisions of Climate City Contract this 20% ofsetting will be tackled with.,20,2022,3219767,2019,3499629,,2030,3549000,100,,0,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: This target is setin the framework of EU Mission '100 smart and carbon neutral cities by 2030'.",2748121,This target is more ambitious than the Nationally Determined Contribution,Target is conditional on mitigation in emissions sources that are controlled by a higher level of government,Underway - limited progress made,"Climate neutrality target is set for 2030. Actions include all Climate Emergency Action Plan and are more ambitious. It also includes higher level measures. 2030 BAU is the reference to set 80% reduction of GHG emissions. Scope of GHG inventory is different, as port and airport are excluded in this goal. Also, spanish grid emission factor is used (to compare with other spanish cities) instead of catalan grid emission factor as in former plans. Spanish grid mix has improved a lot recently."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|NF3|N2O|SF6|HFCs|PFCs|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: No plan currently,0,2019,4697.3,2005,7330.7,,2030,,100,0.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): But we are reporting another target that is science-based",4316.4,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy",Underway - moderate progress made,"Exceeds UK'S 2050 target, however we will be following the UK Governments carbon budgets. Conditionals: BCC does not have the funds to decarbonise our whole housing stock (60k in the councils stock), funding will be required to support this from national government. In the interim while the local plan is updated we are pushing developments away from gas towards electric, however how successfully this is, is dependent upon the decarbonisation of the grid. We are updating our local plan and will endeavour to push above and beyond national building regulations, however it would be easier if national government set the precedent for net zero construction. Residual emissions: 0 entered as we do not have a clear figure for what these may be"
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Other: West Midlands Combined Authority,N2O|NF3|PFCs|HFCs|CO2|SF6|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,"No, residual emissions are not expected in the net zero target year",,2019,12506.4,2005,19521.2,,2041,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Tyndall Centre",11276.4,This target is as ambitious as the Nationally Determined Contribution,Target is conditional on mitigation in emissions sources that are controlled by a higher level of government,Underway - moderate progress made,Detail of science based thinking as well as details of target can be found here: https://www.wmca.org.uk/media/4871/wm-net-zero-fyp-summary-tech-report.pdf
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,N2O|CO2|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,Do not know,,2020,6464473,2018,7070177,,2045,,100,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Own method. Target is more ambitious in timescale than UK national target of net zero by 2050.",6451566,This target is more ambitious than the Nationally Determined Contribution,"Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration",Underway - moderate progress made,Target includes all county-wide emissions so this will include those outside of Cambridgeshire County Council control. \n\nLatest data available is for 2023 (published 2025). Emissions have reduced by 9% since the 2018 baseline.
