disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Use of carbon credits,col2_Identify target,col3_Emissions purchased/sold (metric tonnes CO2e),col4_Verified to which standard,col5_Outline the crediting period and country(ies)/area(s) where offsetting efforts are or will be taking place,col6_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,0,Carbon Registry,"Local offsetting efforts (Atlanta, GA).\n","Atlanta's Carbon Credit program initiated with Lake Charlotte Nature Preserve and has a total of 36,265. Buying and selling carbon credit and renewable energy credits is a part of the plan to reach GHG reduction goals and Atlanta's clean energy goal. To date, we have not officially sold or bought any carbon or renewable energy credits."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,Target 1,1450000,"Other: Standards, registries, and best practices for carbon offsets, reductions, and removal are expected to evolve significantly over the next 20 years. We anticipate adopting the latest practices as they emerge.","Ten percent of our community-wide emissions reduction is eligible for offsets, sequestration, or other new carbon reduction/removal technology, but they are planned to be produced locally or regionally. The period is present until our the end-date of our net-zero target: 2040.","Standards, registries, and best practices for carbon offsets, reductions, and removal are expected to evolve significantly over the next 20 years. We anticipate adopting the latest practices as they emerge."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,-
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,0,Not yet verified,N/A,Do not currently plan to use offsetting
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,n/a
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,N/A
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"For our net goals as a city government, we are exploring the use of carbon credits to meet our 50% reduction goal"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,n/a
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,The district heating provider Stockholm Exergi is investigating the voluntary market for carbon credits generated in the planned bio-energy carbon capture and storage plant. as a means to finance its bio-CCS plant.
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,no plans to use carbon credits
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,N/a
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 3,,Other: California Cap and Trade program,,Disclosure of any information regarding market positions related to the sale and purchase of carbon credits is legally prohibited.
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Carbon budget will be reduced without need for offset by use of carbon credits sold to or purchased form outside the jurisdiction.
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,Target 1,0,Not yet verified, HACT Retrofit Credits aims to unlock investment in social housing retrofit by verifying the emission reductions and social value of retrofit projects. RETROFIT CREDITS will provide a channel for investment in social housing retrofit by verifying the emission reductions and social value of housing retrofit projects and originating carbon credits backed by those emission reductions. It will centre the impact of these retrofit activities on residents and communities by incorporating social value metrics so that the funding unlocked through carbon credits doesn't just reduce carbon but also improves lives.,N/A
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",2,Row 2,Offset credit transactions purchased from outside of the boundary,Target 1,0,Not yet verified,"At present, this carbon offsetting procedure has not been established.","Whilst we do not yet have a plan for delivering city-wide emission carbon offsetting in Newcastle, we do recognise the key principles that carbon offsetting would need to meet, namely:- Equivalence - any carbon unit should have a clear long-term climate benefit, at least as large as the effect of a unit of CO2 removal in Newcastle.- Additionality - the activities generating carbon units should drive genuinely additional emissions reductions (i.e. that would not have happened in the absence of such activity).- Permanence - the activities generating carbon units should lead to permanent reduction or removal of GHGs from the atmosphere.- Sustainability - the activities generating carbon units need to support wider sustainability objectives by:• Doing no net harm• Preserving and enhancing environmental integrity• Ensuring compatibility with sustainable development goals• Not disadvantaging local communities• Delivering environmental and social co-benefits to support local economic development• Ensuring land and biomass are used sustainably"
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",3,Row 3,Offset credit transactions generated within the boundary and sold,Target 1,0,"Other: The North East Carbon Marketplace - verifiers include Organic Farmers & Growers C.I.C., Verra, Verified Carbon Standard",2025-2030 and within jurisdiction boundary or an acceptable proximity - aim to avoid using transboundary international market mechanisms. ,"We have supported the development of the North East Carbon and Nature Marketplace (NECaNM), which officially launched in May 2025. This North East focused marketplace will provide opportunities for the Council to act as both a seller and buyer of carbon and other environmental credits within the North East region.\nThe NECaNM is designed to:\n· Power the North East's Net Zero Transition by enabling investment in measurable, local carbon reduction projects.\n· Raise the Integrity Standard by ensuring transparency, accountability, and additionality in all listed projects.\n· Maximise Regional Benefits by reinvesting carbon finance into local communities, creating green jobs, and restoring landscapes.\nIt will deliver co-benefits beyond carbon reduction including improved air and water quality, enhanced physical and mental health, the creation of skilled green jobs, and increased biodiversity. It will also empower local communities by supporting projects that are visible, tangible, and rooted in place—helping residents see and feel the benefits of climate action."
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Northumberland does not purchase or sell carbon credits. At a regional level, a Carbon and Nature Marketplace has launched allowing local organisations to offset emissions by investing in carbon saving projects in the North East Combined Authority area. "
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,"Other: Yet to be determined, likely to be offset credit transactions purchased from outside of the boundary; and potentially internal to the boundary through Authority Based Insetting.",Target 1,326789,"Other: Carbon credits will be verified to a standard, but we are not at the point of knowing which standard yet.","Not yet known. The CN28 Action Plan includes themes for Carbon Removal, and this will be determined in due course. This theme also includes actions to progress negative emissions technologies; and change of land use including local tree planting.","Use of carbon credits is planned, but not yet actioned. Nottingham's priority is to reduce emissions at source before looking to offset or purchase carbon credits. However it is acknowledged Nottingham will have some unavoidable emissions and will look to explore robust and verified offsetting further in the future."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,88700,Do not know,"To be purchased by 2040, but no sooner than 2030. To be purchased from within the UK, within Oxfordshire where possible.","Official council policy is for certified carbon removal credits to be purchased by 2040. However we are also exploring alternatives that may be more robust and provide additional local benefit. Local Community Carbon Offsetting may be used to fulfil the council's requirements. We are currently working on a real-world pilot test of a local offsetting process whereby local carbon reduction projects focussed on non-domestic retrofit are offered as funding opportunities for ESG/carbon conscious organisations in Oxfordshire to support within their own community. Projects are independently verified and validated by the council, thereby providing assurance to funding organisations around the projected and actual carbon savings delivered by project activity. Once we have an established process, we may be able to consider using Local Community Carbon Offsetting to contribute towards our own carbon removal credit portfolio."
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Portland buys RECs to cover all government electricity consumption and we sell clean fuels program credits to raise revenue, but these mechanisms are not incorporated into emission inventories or adopted targets. "
