disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Net zero target and emissions removals usage,col2_Emissions removals (in unit selected in column 1),col3_Removal activities the government is undertaking/plans to undertake,col4_Comment
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Agricultural soil carbon management|Other: Peatland restoration Energy-from-waste CCS NET's,
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,Las metas de la región se han establecido para el horizonte 2030. No existen metas a 2050.
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Reforestation, Estamos comprometidos em estabelecer um programa para a restauração da vegetação nativa em até dois anos e estabelecer mecanismos de compensação da supressão legal de vegetação nativa e das emissões de GEE delas provenientes até 2030. 
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target but it will not be achieved using emissions removals,,,Al inventario del año 2018 la provincia captura 2MillonesTnCo2eq ubicándose por debajo de cero neutral
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Biochar|Reforestation|Afforestation|Direct air capture (DAC)|Other: |Bioenergy with carbon capture and sequestration (BECCS)|Agricultural soil carbon management,Avoided land use conversion; Biomass Carbon Removal and Storage (BiCRS); Bio-oil production with geologic sequestration; Carbon capture and geologic sequestration; Carbon capture and utilization; Markets for forest products for long-term storage of carbon; Restoration of natural lands; Sustainable forest management practices
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Agricultural soil carbon management|Direct air capture (DAC)|Afforestation|Reforestation|Coastal blue carbon,
2025 Disclosure Cycle,779465,CDP,31206,State of New Jersey,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,,
2025 Disclosure Cycle,779465,CDP,53171,State Government of Victoria,States & Regions,South East Asia & Oceania,Australia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Reforestation,Removal activities include reforestation and afforestation.
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified as a percentage of the overall target,20,"Other: legislation now permits carbon sequestration in climate planning, but we have not yet identified these activities",Legislation requires at least an 80% reductions in emissions which leaves no more than 20% for emissions removals to achieve our net zero target.
