disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate if processes are in place for reviewing and updating emissions reduction targets,col2_Provide information on processes for reviewing and updating emissions reduction targets,col3_Indicate if accountability mechanisms are in place for cases in which emissions reduction targets are not met,col4_Provide information on the accountability mechanisms for cases in which emissions reduction targets are not met
2025 Disclosure Cycle,779465,CDP,72902,Scotland,States & Regions,UKWW,United Kingdom,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Scottish targets are assessed internally annually following publication of emissions statistics. We also request the advice of the climate change comittee at five year intervals.,Yes,"In the event of a target being missed, a statutory report with additional policies and proposals to make up the excess emissions is required. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,A través de la revisión y actualización del los programas derivados del Plan Andaluz de Acción por el Clima 2030 Enlace: https://lajunta.es/4aawj ,No,
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"A partir del gabinete provincia del cambio climático, se elaboro la primera meta de mitigación y de acuerdo a la ley de presupuestos mínimos 27.520 esta se actualizará cada 5 años.",,
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"HB19-1261 (https://leg.colorado.gov/sites/default/files/2019a_1261_signed.pdf) created C.R.S., 25-7-105 § (1)(e)(VII) “... the division, at the direction of the commission, shall report to the general assembly every odd-numbered year after May 30, 2019, regarding: Progress Toward the goals set forth in section 25-7-102 (2)(g); any newly available, final cost-benefit or regulatory analysis, developed under section 24-4-103 (2.5) or (4.5), for rules adopted to attain the goals; recommendations on future commission rules or policies to reduce greenhouse gas emissions sufficient to achieve the goals set forth in section 25-7-102 (2)(g); and any recommendations on future legislative action to address climate change, including implementation of climate adaptation policies or accelerating deployment of cleaner technologies.” Then HB21-1266 (https://leg.colorado.gov/sites/default/files/2021a_1266_signed.pdf) appended the clause with “... Beginning with the report in 2023, if the report indicates that emission reductions required by subsections (1)(e)(XII) and (1)(e)(XIII) of this section are not being met, the division shall develop and propose additional requirements to the commission, no later than six months from the submission of the report to the general assembly, which requirements must address any shortfall between the emission reductions achieved and the emission reductions necessary to meet the requirements of subsections (1)(e)(XII) and (1)(e)(XIII) of this section. In even-numbered years when a report is not made pursuant to this subsection (1)(e)(VII), the division shall provide an update to the commission on progress toward the emission reduction requirements in subsections (1)(e)(XII) and (1)(e)(XIII) of this section based on annual data reported to the division.” Additionally, the Air Quality Control Commission adopted its Resolution to Ensure Greenhouse Gas Reduction Goals Are Met on October 23, 2020 (https://drive.google.com/file/d/155LCi4kjAFpybQxiNFxggP5IduKDqiBZ/view). Per paragraph G, “The Commission will continue with assessing a final GHG Inventory as compared with the sector based emissions targets in odd years, and a review of the major drivers of emissions tracked in the dashboard in even years, and course correct as needed, beyond 2022.”",Yes,"HB21-1266 (https://leg.colorado.gov/sites/default/files/2021a_1266_signed.pdf) amended C.R.S., 25-7-105 § (1)(e)(VII) with “... Beginning with the report in 2023, if the report indicates that emission reductions required by subsections (1)(e)(XII) and (1)(e)(XIII) of this section are not being met, the division shall develop and propose additional requirements to the commission, no later than six months from the submission of the report to the general assembly, which requirements must address any shortfall between the emission reductions achieved and the emission reductions necessary to meet the requirements of subsections (1)(e)(XII) and (1)(e)(XIII) of this section. In even-numbered years when a report is not made pursuant to this subsection (1)(e)(VII), the division shall provide an update to the commission on progress toward the emission reduction requirements in subsections (1)(e)(XII) and (1)(e)(XIII) of this section based on annual data reported to the division.” Additionally, the Air Quality Control Commission adopted its Resolution to Ensure Greenhouse Gas Reduction Goals Are Met on October 23, 2020 (https://drive.google.com/file/d/155LCi4kjAFpybQxiNFxggP5IduKDqiBZ/view). Per paragraph G, “The Commission will continue with assessing a final GHG Inventory as compared with the sector based emissions targets in odd years, and a review of the major drivers of emissions tracked in the dashboard in even years, and course correct as needed, beyond 2022.”"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,31206,State of New Jersey,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,No,
2025 Disclosure Cycle,779465,CDP,53171,State Government of Victoria,States & Regions,South East Asia & Oceania,Australia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"The Climate Action Act 2017 allows interim targets to be amended if, in the opinion of the Premier and the Minister, exceptional circumstances apply. The Premier and Minister will need to follow the same process as for setting the original target and publish a statement outlining why the amendment was necessary. \n\nhttps://content.legislation.vic.gov.au/sites/default/files/2025-03/17-5aa011-authorised.pdf",Yes,"The Climate Action Act 2017 specifies that at the end of each interim target period the Minister will be required to produce a report stating whether the target for the period in question was achieved and, if not, explain why. https://content.legislation.vic.gov.au/sites/default/files/2025-03/17-5aa011-authorised.pdf"
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Legislation passed in 2025 that establishes an additional interim target for 2040 on a pathway towards net zero for 2050.,No,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Under RCW 70A.45.040 ,“Within eighteen months of the next and each successive global or national assessment of climate change science, the department shall consult with the climate impacts group at the University of Washington regarding the science on human-caused climate change and provide a report to the legislature summarizing that science and make recommendations regarding whether the greenhouse gas emissions reductions required.\'",No,
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,We have a review via our biennial inventory report but currently there is no process in place to update emissions reduction targets without new legislation being written or modified.,No,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Periodic inventories of GHG undertaken at State level annually. ,Yes,https://health.hawaii.gov/cab/files/2013/05/11-59.pdf https://health.hawaii.gov/cab/files/2014/07/HAR_11-60_1-typed.pdf
2025 Disclosure Cycle,779465,CDP,72894,State of Oregon,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,,No,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"The Environment Wales Act requires us to review the targets in relation to a number of factors such as latest science, international policy and wider developments.",Yes,The Environment Wales Act has a number of mechanism that we should follow if a target or carbon budget is not met. including setting a plan out to show how the target will be met or the potential use of offsets but first taking advice from our advisory body.
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,California's Climate Change Scoping Plan and its updates are the process used for reviewing and updating emissions reduction targets. See more information at: https://ww2.arb.ca.gov/our-work/programs/ab-32-climate-change-scoping-plan.,Yes,"Annual updates to the greenhouse gas (GHG) emission inventory track progress towards California's GHG emission targets. Periodic (at least every five years) updates to the AB 32 Climate Change Scoping Plan (Scoping Plan) include an analysis of progress towards GHG emission targets. The Scoping Plan describes a suite of climate change regulations (e.g., Cap-and-Trade Program, Low Carbon Fuel Standard, Advanced Clean Cars, Advanced Clean Trucks) and programs, all of which include monitoring and enforcement provisions. If regulations and programs do not perform as expected, and/or if Scoping Plan updates reveal that additional emissions reductions are required, Scoping Plan updates allow for modifications to ensure that the state meets its targets. In addition, the Joint Legislative Committee on Climate Change Policies established by Assembly Bill 197 holds oversight hearings to review the implementation of the climate programs and policies, including the AB 32 Climate Change Scoping Plan."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Debido a los cambios ocurridos en los últimos años, actualmente se está revisando la senda de reducción de emisiones, contemplando la posibilidad de fijar un objetivo intermedio.\nA principios del año 2025 se presentó el II Plan Regional de Energía y Clima 2030 para el desarrollo e implantación de la Estrategia Gallega de Cambio Climático y Energía 2050.",No,
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Anualmente se realiza el inventario anual de emisiones y bienalmente se redacta la memoria de ejecución del plan de cambio climático, lo que permite realizar el seguimiento de las emisiones y del cumplimiento de las metas establecidas, y su revisión en su caso.",Yes,Anualmente se realiza el inventario anual de emisiones y bienalmente se redacta la memoria de ejecución del plan de cambio climático.
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"La Ley 1/2024, de 8 de febrero, de Transición Energética y Cambio Climático establece la Oficina Vasca de Transición Energética y Cambio Climático, cuya labor entre otras es la constante recopilación de información y presentación de informes sobre la evolución de los objetivos estipulados en la misma Ley.",No,
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"El artículo 5 de la Ley 16/2017, de 1 de agosto, de Cambio Climático (versión consolidada vigente desde el 1 de octubre de 2020) establece que el Gobierno presentará al Parlamento los objetivos de reducción de las emisiones de gases de efecto invernadero y de los contaminantes atmosféricos para los periodos de cumplimiento que la Unión Europea y la Organización Mundial de la Salud establezcan para que el Parlamento, en su caso, los apruebe. \n\nEstos objetivos deberían revisarse cada cinco años. Sólo podrán modificarse antes de esta revisión si existen nuevos conocimientos que puedan alterar sustancialmente los parámetros básicos para la toma de decisiones.",Yes,"La Generalitat de Cataluña publica anualmente un documento denominado Informe de Progreso de los Objetivos de GEI, que analiza la evolución de las emisiones de GEI en Cataluña desde 1990 hasta la actualidad y evalúa el progreso y el cumplimiento de los objetivos establecidos de reducción de emisiones para el periodo 2021-2030."
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Establecimiento de indicadores de seguimiento de las medidas de la Estrategia de Cambio Climático,No,
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"We complete a GHG inventory every 2 years, as well as an annual state of mitigation responses report. \n\nA requirements of the Climate Change Act is for provinces to set Sectoral Emission Targets (or SETs) for their region, which will feed into the national emission reduction targets. ",No,
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Anualmente, é elaborado o Inventário Regional de Emissões por Fontes e Remoções por Sumidouros da Região Autónoma dos Açores (IRERPA), que quantifica as emissões de gases com efeito estufa (GEE) de origem antropogénica deste 1990 até ao ano a que se reporta o inventário.\n\nDado o horizonte temporal do RNCA, o seu Plano de Monitorização estabelece ações de monitorização, por forma a garantir a sua implementação e eficácia. Bienalmente está prevista a elaboração de um relatório de acompanhamento do estado de implementação do Roteiro, comparando o resultado anual do IRERPA com a trajetória de neutralidade traçada e avaliando os indicadores definidos, bem como realizar um balanço do financiamento das medidas preconizadas. Quinquenalmente, está prevista a revisão do RNCA.",No,
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Our emission removal target is quantified at attaining net zero in 2060, we set indicators in place such as amount of forest cover extension per year achieved from aforestation and reforestation. increase in forest cover over time through targeted planted trees etc reflect the degree of emission removal",Yes,"strengthened enforcement of target and reward to cooperating actors, forest communities, private sector etc in the aforestation and reforestation programs of the state. sanction for defaulters "
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Esta en proceso la actualización del Inventario Estatal de Gases y Compuestos de Efecto Invernadero 2010-2023 y del Programa Estatal Ante el Cambio Climático.,No,
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Se está realizando la actualización del Programa Especial Estatal de Cambio Climático (PEECC) con el fin de actualizar las metas de mitigación y los nuevos alcances de estas, así como el establecimiento de indicadores para el seguimiento de las acciones climáticas. Adicionalmente, se colabora con el gobierno federal para abonar al cumplimiento de las NDCs.",Yes,"La Ley de Cambio Climático del Estado de Yucatán define como atribuciones de la Secretaría de Desarrollo Sustentable (SDS), entre otras: (1) Elaborar y publicar un reporte bianual sobre los niveles de emisiones de compuestos y gases de efecto invernadero (CyGEI) en la entidad (Inventario Estatal de Emisiones de CyGEI).(2) Generar capacidades para contabilizar las emisiones de CyGEI y plantear planes para su reducción.La Ley de Cambio Climático del Estado de Yucatán también establece que el Gobierno del estado, a través de la SDS, celebrará instrumentos de coordinación con las autoridades que considere pertinentes, con la finalidad de incorporar la información del Inventario Estatal a los sistemas de información en materia ambiental y de cambio climático."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,presupuestos y rutas de desc.,No,
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"Each responsible institution and district level will submit their monitoring report to the provincial government and District Level Regional Planning agency (Bappeda Kabupaten). After the verification, this information will be uploaded into national monitoring system.",Do not know,
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,The BAU included in the target will be reviewed periodically. Environment and Forestry Agency will be the lead institution in reviewing the evaluation process by coordinating with other stakeholders. The current regulation allows for revising the GHG Regional Policy every 3-5 years if required.,Do not know,
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Monitoring report “Energiewende in Hessen” published December 2024 https://wirtschaft.hessen.de/sites/wirtschaft.hessen.de/files/2024-12/monitoringbericht_2024_web.pdf,Do not know,
2025 Disclosure Cycle,779465,CDP,73104,Region of Päijät-Häme,States & Regions,Europe,Finland,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,The Green Transition Programme is updated and refined annually and the monitoring indicators will be developed further in the future.\n,No,
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"The regional strategy of Helsinki-Uusimaa region is updated every four years, reflecting the electoral terms of the regional assembly. The target is evaluated during this process.",No,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Es de cumplimiento obligatorio el PDOT donde estan establecidas metas de conservación y restauración,Yes,El cumplimiento del PDOT se lo reporta anualmente en la Rendición de Cuentas que es obligatorio para toda institución pública.
