disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate action plan type^,col2_Plan attachment^,"col3_Name of plan and URL link, if applicable^",col4_Confirm attachment/link provided to plan,col5_Boundary of plan relative to jurisdiction boundary,col6_Processes for monitoring evaluation and updates of plan^,col7_Plan status/progress towards plan,col8_Funding sources and financial instruments to finance plan,col9_Communities and organizations engaged,col10_Describe if and how climate-related scenarios have informed the plan,col11_Primary author(s) of plan^,"col12_Assessment of co-benefits, trade-offs, and synergies of actions included in plan",col13_Year of formal approval of plan^,col14_End year of plan,col15_Total cost of implementation of plan (in currency specified in 1.2),col16_Sectors covered by action plan,col17_Please explain
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Standalone mitigation plan,,Climate Action Plan: https://atlantaclimateactionplan.files.wordpress.com/2016/02/atlanta-climate-action-plan-07-23-2015.pdf,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years,Underway - moderate progress made,Public-private partnerships|National funds and programmes|Climate finance (carbon credits)|Regional funds and programmes,Local government (s) and/or agencies|Business and private sector|Academia|Citizens,"To give some background, the CoA CAP is based on the Statewide Energy Efficiency Collaborative (SEEC) template and follows ICLEI's Five Milestones for Climate Mitigation (methodology of the plan can be found on pg. 52). This CoA target was based on most local governments priority target of 15-25% below 2005 levels by 2020, targets proposed via federal legislation have sought reductions of 17-20% below 2005 levels by 2020, and a recommended reduction of 80% by 2050. The CoA has set targets to reduce its emissions to 20 percent below 2009 levels by 2020, and 40 percent below 2009 levels by 2030. The Hartsfield-Jackson Airport has pledged to reach net zero by 2050 under the department of aviation (CoA) Additionally, this plan also utilizes business as usual forecasts based on expected future trends using the 2013 Georgia Power (main utility) Integrated Resource Plan (IRP). ",Consultant|Dedicated team within jurisdiction|Relevant department within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2015,2030,,"Transportation and storage|Education|Conservation|Water supply|Electricity, gas, steam and air conditioning supply|Human health and social work activities|Waste management|Sewerage, wastewater management and remediation activities|Agriculture",
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone adaptation plan,Atlanta-Resilience-Strategy.pdf,Resilient Atlanta: Atlanta's Resilience Strategy - Actions to Build an Equitable Future,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,"Other: Through different administrations many actions of the resilience strategy have been implemented, some have been adopted by other departments, and some actions deprioritized. Previous plan progress was analyzed for inclusion of the new climate plan.",Underway - moderate progress made,Jurisdiction's own resources|Private,State/regional government(s) and/or agencies|Academia|Vulnerable population groups|Local government (s) and/or agencies|Citizens|Business and private sector,"Over the last decade, agencies and organizations across Atlanta have produced a range of reports and frameworks establishing a vision for the future of the city. Resilient Atlanta builds on these efforts by bringing together decades of planning and applying a resilience lens to projects previously identified or already underway. This Strategy sets specific Visions, Targets, and Actions in order to ensure that our future Atlanta is a more equitable, connected, transparent, and sustainable city. The Resilient Atlanta development process revealed that recurring themes related to social equity, culture and identity, and climate remain priorities for Atlantans. Rather than putting each of these topics in their own silo, we have included equity, culture and identity, and climate throughout the Resilient Atlanta Visions and, in doing so, intend to address these priorities, and elevate their importance, from multiple angles. This includes the 2015 Climate Action Plan, which has been integrated across 3 out of 4 visions .",Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions|Plan assesses synergies of actions,2019.0,2023.0,,"Water supply|Agriculture|Sewerage, wastewater management and remediation activities|Electricity, gas, steam and air conditioning supply",Find the Atlanta Resilience Strategy here: https://resilientcitiesnetwork.org/downloadable_resources/Network/Atlanta-Resilience-Strategy-English.pdf
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,Standalone energy-related plan,Clean Energy Atlanta.pdf,Clean Energy Plan: A Vision for a 100% Clean Energy Future,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 1-3 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,Underway - limited progress made,Regional funds and programmes|National funds and programmes|Jurisdiction's own resources|Private,Academia|Local government (s) and/or agencies|Business and private sector|Non-governmental organisations,"Wording straight from Clean Energy Atlanta States: \'Atlanta has an imperative to act to reduce its emissions of greenhouse gases that contribute to climate change. The global community has called for a reduction in carbon dioxide (CO2) emissions to avoid warming the planet 2°C above its current temperature, a target that was selected by the scientific community to represent the highest temperature increase permissible before catastrophic effects of climate change become more likely. This target was commemorated in the 2015 Paris Agreement, which is the first international accord to establish a common cause for all nations, undertaking ambitious efforts to reduce CO2 emissions and adjusting behaviors and policies to prepare for unavoidable climate change impacts. Atlanta was one of the few cities from the American South represented at the 2015 United Nations Climate Change Conference and joined 109 other U.S. cities to commit to the targets commemorated in the Agreement to keep greenhouse gas emissions from causing a warming increase of more than 2°C. Key City of Atlanta sustainability plans incorporate energy goals, such as the Resilient Atlanta Strategy and the Climate Action Plan, but Clean Energy Atlanta is the first to focus exclusively on achieving Atlanta's clean energy goals and to identify policy options for achieving them.\'",Relevant department within jurisdiction|Dedicated team within jurisdiction|Consultant,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions|Plan assesses synergies of actions,2019.0,2035.0,,"Electricity, gas, steam and air conditioning supply","A main focus for Atlanta has been on the energy sector, which is a large contributor to the GHG Emissions portfolio. The interim targets include: 10% clean energy by 2020, 30% clean energy by 2025, 50% clean energy by 2030. The target for 100% clean energy has been set to 2035 community-wide. Lastly, this plan has a process in place to be updated every 3 years and is driven by a diverse localized stakeholder group, the Clean Energy Advisory Board. Find the Clean Energy Plan here: https://static1.squarespace.com/static/5f91d62189677674f6d02ab6/t/5f91e88080fdee7a2aa54f7d/1603397764189/nrdc_100ce_plan_021319_v8_low-res.pdf https://www.100atl.com/"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",,Climate Resilient ATL,Unable to provide an attachment and/or direct link to the plan,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 1-3 years|Update: Updates to the plan are published every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,New,Regional funds and programmes|Jurisdiction's own resources|Climate finance (carbon credits)|National funds and programmes|Public-private partnerships,Vulnerable population groups|Local government (s) and/or agencies|Citizens|Business and private sector|Academia|Non-governmental organisations,"This plan will follow science-based analysis informed by the community, this is accomplished through Sustainability Innovation Labs and Community Visioning sessions, which give residents the ability to give recommendations and review actions. Climate Resilient ATL will include mitigation and adaptation efforts and there will be a Climate Risk & Vulnerability Assessment being conducted by a local research team, which will dive more into climate science.",Dedicated team within jurisdiction|Community group,Plan assesses co-benefits of actions|Plan assesses trade-offs of actions|Plan assesses synergies of actions,2025,2029,,"Accommodation and food service activities|Financial and insurance activities|Electricity, gas, steam and air conditioning supply|Transportation and storage|Waste management|Conservation|Agriculture|Human health and social work activities|Water supply","This plan is being drafted internally by Mayor's Office of Sustainability and Resilience staff, including a story map for community to easily digest the adaptation and mitigation actions. Hummingbird firm, a local community engagement firm, spearheaded the community visioning sessions and collecting feedback and distributing surveys for the plan actions. Our goal is to reach 2,500 residents and for this to be drafted at the end of 2025 and adopted in 2026 by City Council. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Austin Climate Equity Plan.pdf,Austin Climate Equity Plan: https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate%20Equity%20Plan/Climate%20Plan%20Full%20Document__FINAL.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place annually or more frequently than annually|Update: Updates to the plan are published every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,Underway - moderate progress made,Regional funds and programmes|Public-private partnerships|Climate finance (carbon credits)|Private|Jurisdiction's own resources|National funds and programmes,Citizens|Business and private sector|Vulnerable population groups|Academia|National government and/or agencies|State/regional government(s) and/or agencies|Local government (s) and/or agencies,Climate projections informed targets and action plans.,Dedicated team within jurisdiction|Relevant department within jurisdiction|Community group,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2021,2050,0,"Agriculture|Transportation and storage|Forestry|Information and communication|Education|Sewerage, wastewater management and remediation activities|Administrative and support service activities|Construction|Waste management|Water supply|Electricity, gas, steam and air conditioning supply|Conservation|Manufacturing",We do not currently have a total implementation cost estimate for this plan.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone mitigation plan,PCAP.pdf,Austin - Round Rock - Georgetown MSA Priority Climate Action Plan: https://www.austintexas.gov/sites/default/files/files/Sustainability/Climate/CPRG/FINAL_PCAP_Summary.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Other: Covers the Metropolitan Statistical Area,"Update: Updates to the plan are published every 1-3 years|Other: The plan will be built on through the development of the Comprehensive Climate Action Plan, due Dec 1, 2025. Monitoring and evaluation will occur during the development of a Status Report, due 2027.",Underway - moderate progress made,National funds and programmes,National government and/or agencies|Non-governmental organisations|State/regional government(s) and/or agencies|Vulnerable population groups|Local government (s) and/or agencies|Citizens,Climate projections informed targets and action plans.,Dedicated team within jurisdiction,Plan assesses co-benefits of actions,2024,2025,0,"Conservation|Electricity, gas, steam and air conditioning supply|Transportation and storage|Water supply|Forestry|Real estate activities|Human health and social work activities",We do not currently have a total implementation cost estimate for this plan.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",,Austin Comprehensive Climate Implementation Plan:\nhttps://austin-climate-equity-plan-implementation-dashboard-austin.hub.arcgis.com/pages/implementation,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 1-3 years|Monitoring: Information on progress of plan is monitored and publicly reported every 1-3 years|Update: Updates to the plan are published every 1-3 years,New,National funds and programmes|Private|Public-private partnerships|Regional funds and programmes|Climate finance (carbon credits)|Jurisdiction's own resources,State/regional government(s) and/or agencies|Local government (s) and/or agencies|Vulnerable population groups|Academia|Business and private sector|Citizens|National government and/or agencies,Climate projections informed targets and action plans.,Relevant department within jurisdiction|Dedicated team within jurisdiction|Community group,Plan assesses synergies of actions|Plan assesses co-benefits of actions,2025,2027,387000000,,Approximate amount is provided
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)","Climate City Contract of Barcelona (Commitment to Climate Neutrality).pdf,Climate City Contracte of Barcelona (Annexes).pdf",https://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/134731,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 1-3 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place every 1-3 years,Underway - limited progress made,Private|Public-private partnerships|Jurisdiction's own resources,Business and private sector|Local government (s) and/or agencies|Citizens|Vulnerable population groups|Academia,"City Contract includes Climate Emergency Action Plan as the main guideline of city action. Therefore, scenarios are already described in the mentioned plan.",Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses synergies of actions|Plan assesses co-benefits of actions,2023,2030,9583000000,"Electricity, gas, steam and air conditioning supply|Administrative and support service activities|Professional, scientific and technical activities|Construction|Information and communication|Transportation and storage|Sewerage, wastewater management and remediation activities|Human health and social work activities|Waste management|Education|Water supply","City Contract of European Mission \'climate-neutral and smart European cities by 2030\'. Cost i estimated among all stakeholders, including private investments needed to deliver the plan. City Council contribution is expected to be between 8% and 10%."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone mitigation plan,PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdf,http://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/PlaEnergia_CanviClimatic_QualitatAire-2011-2020.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,Achieved,Jurisdiction's own resources,Local government (s) and/or agencies,In this plan we did not performed these sort of analysis,Relevant department within jurisdiction,Plan assesses co-benefits of actions,2011.0,2020,0,"Construction|Electricity, gas, steam and air conditioning supply|Administrative and support service activities",-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Climate_emergency_action_plan_2030_eng.pdf,https://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/123712,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place annually or more frequently than annually,Underway - moderate progress made,Jurisdiction's own resources|Private|Public-private partnerships,Citizens|Business and private sector|Local government (s) and/or agencies|Academia|Vulnerable population groups,"Climate-related scenarios have been studied to know foreseable effects of climate change in the future. This helps to study actions and prioritise them. Examples are wastewater management (droughts), heatwaves (help to prioritise which neighborhoods to refurbish first), sea level rises (adaptation policies in beaches), etc. All the explanations are delivered in the risk assessment part and in the plan.",Dedicated team within jurisdiction,Plan assesses co-benefits of actions,2021.0,2030.0,0,"Water supply|Education|Professional, scientific and technical activities|Electricity, gas, steam and air conditioning supply|Transportation and storage|Construction|Accommodation and food service activities|Administrative and support service activities|Sewerage, wastewater management and remediation activities|Human health and social work activities|Waste management",It adds measures and more ambitious goals of Climate Emergency Declaration to the former Climate Plan
