disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,"col1_Area of plan, policy and/or strategy",col2_Plan attachment,"col3_Name of plan and URL link, if applicable",col4_Current status of plan,col5_Boundary of plan relative to jurisdiction boundary,col6_Year of formal approval of plan,col7_End of year plan,col8_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",2,Row 2,Food policy,,"The department of City Planning and Sustainability and Resilience has established a goal of 85% of Atlanta residents to be within half-mile of fresh food to help 54% of residents that live in low-income or low-access regions. To help achieve this, CoA created the AgLanta Grows-A-Lot Program which creates urban gardens/farms and an example of a thriving urban garden is the Urban Food Forest at Browns Mill. https://www.atlantaga.gov/government/departments/city-planning/office-of-housing-community-development/economic-development-division/aglantahttps://storymaps.arcgis.com/stories/ccf7506dd0554e2abf1e65e8c3492b3a",In implementation,Same - covers entire jurisdiction and nothing else,2018.0,2025.0,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",3,Row 3,Sustainable urban mobility,,1. Vision Zero (2020)2. One Atlanta Strategic Transportation Plan (2019) https://atldot.atlantaga.gov/programs/vision-zero https://www.atlantaga.gov/Home/ShowDocument?id=43742,Implementation complete,Same - covers entire jurisdiction and nothing else,2019.0,2040,"Programs & Initiatives: 1) Renew Atlanta 2) TPLOST 1.0 3) Vision Zero Vision Zero Initiatives: Action Plan for Safer Streets, Tactical Urbanism, and Transportation Improvement Program (TIP). "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",4,Row 4,Green infrastructure,,"DWM's GREEN INFRASTRUCTURE STRATEGIC ACTION PLAN: https://drive.google.com/file/d/1u65BWi5qBFA-iYQmdBLm9wAVE7yHJnyf/viewThis Strategic Action Plan has been developed by the GI Task Force to serve as a comprehensive action plan for City-wide GI implementation: addressing institutional and funding barriers, increasing effectiveness, and engaging multiple city departments, citizens, the development community, and environmental groups in working towards GI implementation. ",In implementation,Same - covers entire jurisdiction and nothing else,2018.0,2030,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",5,Row 5,Water security/quality,,DWM's 2022 Strategic Plan: https://www.atlantawatershed.org/sp2022/,Implementation complete,"Other: The service area is 1.2M people each day within City of Atlanta, several cities outside of Atlanta, and parts of Fulton County.",2022.0,,"STRATEGIC PLAN 2022: A ONE WATER VISIONGoals: infrastructure reliability, workforce development, operational efficiency, financial resiliency, compliance, smart utility, and safety and security. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",6,Row 6,Urban greening,,The Tree Protection Ordinancehttps://www.atlantaga.gov/home/showdocument?id=58814&t=638169031069792768 Brownfields Assessment Programhttps://www.atlantaga.gov/government/departments/city-planning/office-of-zoning-development/brownfield-program https://www.biohabitats.com/wp-content/uploads/ACDNature_Final_Study_2020.pdf ,In implementation,Same - covers entire jurisdiction and nothing else,2022.0,,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",7,Row 7,"Deforestation, forest degradation and/or forest restoration",,"City of Atlanta Department of City Planning's Atlanta City Design: provides a design framework for the City of Atlanta around values of equity, progress, ambition, access, and nature, to create an inclusive future city for all. https://www.atlcitydesign.com/city-designhttps://www.atlcitydesign.com/atlanta-city-design-nature",In implementation,Same - covers entire jurisdiction and nothing else,2017.0,,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",8,Row 8,Urban greening,,"Atlanta City Design: Climate Resilience & Natural Systems Chapter - A plan to protect, restore, and accentuate the urban ecology of Atlanta. An updated Comprehensive Development Plan in 2025 (Plan A) for the Department of City Planning, will include a Climate Resilience chapter.",In implementation,Same - covers entire jurisdiction and nothing else,2025,2030,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",9,Row 9,Sustainable urban mobility,,Trails ATL: Atlanta's Citywide Trails Plan,In implementation,Same - covers entire jurisdiction and nothing else,2025,2052,https://issuu.com/pathfoundationtrails/docs/2025-07-23_trailsatl_reportfinal_adopted
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",10,Row 10,Sustainable urban mobility,ALT-ESG-2024-Report_FINAL.pdf,Soaring With Vision: 2024 ESG Report - Department of Aviation,In implementation,Same - covers entire jurisdiction and nothing else,2025,,https://www.atl.com/sustainability/#1749740350108-49f2a1fd-cfc7
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",1,Row 1,Waste management (inc. recycling),ARR Comprehensive Plan.pdf,Austin Resource Recovery Comprehensive Plan: https://datahub.austintexas.gov/stories/s/ipvm-iq9k,In implementation,Same - covers entire jurisdiction and nothing else,2019,2040,"This plan updates the 2011 Master Plan and further guides Austin toward its goal of zero waste by 2040. The Zero Waste Goal specifies that only items ineligible for recycling, composting, reuse, repair, or donation reach our landfills. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",2,Row 2,Water security/quality,AW_WaterForward_Report_2024.pdf,Austin Water Forward: https://www.austintexas.gov/sites/default/files/files/Water/WaterForward/Water_Forward_Plan_Report_-_A_Water_Plan_for_the_Next_100_Years.pdf,In implementation,Other: Austin Water territory does not perfectly align with the Austin ETJ,2014,2024,"Water Forward is Austin's 100-year integrated water resource plan. Water Forward is an adaptive plan to be updated on a 5-year cycle and evaluates and plans for water supply and demand management strategies for the City of Austin in a regional water supply context. Through public outreach and coordination of efforts between City departments and the Water Forward Task Force, Water Forward is a holistic and inclusive approach to water resource planning."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.2,"Report details on the other environment-related plans, policies and/or strategies in your jurisdiction.",3,Row 3,Air quality,2024 Air Quality Annual Report_Clean_7.31.2025.pdf,Austin-Round Rock MSA Regional Air Quality Plan: https://www.capcog.org/wp-content/uploads/2024/04/2019-2023_Regional_Air_Quality_Plan.pdf,In implementation,"Other: Larger - covers the whole jurisdiction and adjoining areas, please explain",2018,2026,"The 2024 Austin-Round Rock-Georgetown Metropolitan Statistical Area (MSA) Regional Air Quality Plan is intended as a guide to addressing regional air pollution issues for Bastrop, Caldwell, Hays, Travis, and Williamson counties. In 2021, an addendum was added to include Particulate Matter as a focus and extend the plan applicability through 2026. The plan is designed to help the region. Maintain and improve outdoor air quality within the MSA; Reduce the impact of emissions from within the region on air quality issues in nearby areas and elsewhere; and Mitigate the health, environmental, economic, and social impacts of the remaining regional air pollution."
