disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Response,col2_Provide an attachment to the strategy addressing emissions from consumption of the most relevant goods and services,"col3_Provide a link, if applicable, and highlight any specific action the jurisdiction is implementing to reduce emissions from the consumption of goods and services in this category"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,Fresh+Food+Access+Report+2020-digital.pdf,"Yes, the City of Atlanta incorporates food systems as a core part of its sustainability and resilience strategy. Our approach prioritizes reducing lifecycle emissions from food production focusing on supporting hyper local agriculture production and distribution, and food/organics landfill division through composting and other methods while ensuring equitable access to healthy food. Even though emissions reductions aren't the primary driver for our Urban AG and Food Systems goal, GHG reductions are certainly an important benefit to these programs, policies, and partnerships. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,"ALT-ESG-2024-Report_FINAL (1).pdf,ALT-ESG-2024-Report_FINAL (1).pdf,Sustainable Development Standards_FINAL_05192025.pdf","At Hartsfield-Jackson Atlanta International Airport, the Department of Aviation (DOA) has implemented a policy requiring contractors to divert at least 90% of C&D debris from landfill disposal. This includes recycling and reusing concrete, asphalt, metals, drywall, and wood, as well as prioritizing deconstruction techniques where feasible. Materials are either recycled on-site, sent to certified recycling facilities, or redirected for community reuse programs. The DOA's diversion program has become a national model for airports, demonstrating how large-scale capital projects can significantly reduce embodied carbon emissions and landfill dependency. Department of Aviation has set a target to divert 90 percent of all airport waste from landfills by 2035. This includes both operational waste and construction and demolition debris, with diversion tracked and required in all major capital projects. Since 2016, the airport has diverted more than 95,000 tons of C&D waste from landfill and achieved an average diversion rate of 87 percent.\n\nThe City also partners with local deconstruction and reuse organizations to extend the life cycle of salvaged building materials, integrating them into affordable housing and community development projects. Together, these measures position Atlanta as a leader in embedding circular economy principles into the construction sector while cutting carbon emissions associated with both material production and disposal.\n\nATL is committed to employing sustainable design and construction practices while maintaining operations as the world's busiest airport. ATL's Planning and Development (P&D) Sustainability Standards integrate industry best practices, aiming to reduce water use, energy consumption, and environmental impacts, including embodied carbon in building materials. ATL was the first airport to earn LEED for Communities certification and continues to pursue additional certifications across numerous projects and rating systems, including LEED, Parksmart, and Envision. Innovative practices and technologies, like the modular construction approach, carbon mineralization of concrete, and maturity meters that more accurately predict in-situ strength of concrete—reducing overall cement content and associated embodied carbon, further exemplifying ATL's commitment."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,Yes,ALT-ESG-2024-Report_FINAL (1).pdf,"Yes, the City of Atlanta Department of Aviation is going beyond measuring aviation-related emissions and is actively pursuing strategies to reduce them through partnerships, sustainable fuel systems, and electrification. Hartsfield-Jackson Atlanta International Airport (ATL). The Airport is already reducing its Scope 1 and 2 emissions through efficiency projects, renewable energy generation, fleet electrification, and the use of low-carbon construction materials. Recognizing the influence it has over Scope 3 emissions, ATL will begin tracking tenant and airline-related emissions in 2025 through expanded data collection, including electricity and fuel use in leased spaces. A key element of this strategy is preparing for Sustainable Aviation Fuel adoption. In 2024, the Department of Aviation prioritized a supply chain and infrastructure study to bring SAF to ATL, positioning the airport to partner with airlines, fuel providers, and regulators to scale lower-carbon fuel use.\n\nATL finances this transition through innovative mechanisms such as its Green Bond Framework, which directs investment into projects like the Concourse D Widening and new parking decks with embedded low-carbon and energy-efficient features. Together, these actions demonstrate that Atlanta is not only measuring aviation emissions but is embedding climate action into every level of its aviation operations, from fuel systems and fleet electrification to renewable energy and green finance."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,"ALT-ESG-2024-Report_FINAL (1).pdf,Sustainable Development Standards_FINAL_05192025.pdf","Department of Aviation has set a target to divert 90 percent of all airport waste from landfills by 2035. This includes both operational waste and construction and demolition debris, with diversion tracked and required in all major capital projects. Since 2016, the airport has diverted more than 95,000 tons of C&D waste from landfill and achieved an average diversion rate of 87 percent. These collective efforts help support progressing collective goals for net zero by 2050. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,Austin_CBEI_final.pdf,"The City of Austin will explore a plan to transition all future City contracts and projects to low-embodied-carbon concrete. Goal 1 in Sustainable Buildings Sector of the Austin Climate Equity Plan addresses the strategy, target emission reduction, and challenges towards reaching the target (page 48-50). Attached is the emissions report developed from scope 3 emissions in several sectors."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,Yes,202402_AMD_ASMP-compressed.pdf,Transportation sector is quickly becoming our largest source of GHG emissions. Work is underway to electrify vehicles and avoid trips all together. The Austin Strategic Mobility Plan (attached) includes implementable strategies to reduce GHG emissions. This website link shows one of City's Transportation Demand Management programs called \'GetThereAtx\': https://www.getthereatx.com/. The website provides all possible sustainable trip options to users based on their origin and destinations.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,Yes,ARR Comprehensive Plan.pdf,"Austin Resource Recovery works on this topic and provides curbside services to collect such items from single family homes and multifamily properties. The Austin Resource Recovery Comprehensive Plan (attached) discusses this topic in Chapter 9, Page 51-54."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,Yes,ARR Comprehensive Plan.pdf,"Austin Resource Recovery works on this topic and provides curbside services to collect such items from single family homes and multifamily properties. The Austin Resource Recovery Comprehensive Plan (attached) discusses this topic in Chapter 9, Page 51-54."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,Yes,Austin-International Airport Comprehensive Report.pdf,"Many major airlines serving Austin have committed to decarbonizations. Austin's International Airport is working to reduce the emissions that they control as well. Recently, Austin-Bergstrom International Airport has been recognized as one of four airports in North America to reach carbon neutrality, with a Level 3+ Accreditation by Airports Council International - North America's Airport Carbon Accreditation Program, link here: https://www.airportcarbonaccreditation.org/"
