disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Response,col2_Provide an attachment to the strategy or standards addressing emissions from the jurisdiction's procurement,"col3_Provide a link, if applicable, and highlight any specific action(s) the jurisdiction is implementing to reduce emissions from its own consumption"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"There was no option for \'Not Yet,\' but we are working with a sustainable finance firm on developing a Climate Budgeting Pilot, this is intended to include procurement processes."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,Construction and Demolition_Austin Procurement.pdf,"In the Austin Climate Equity Plan, the City commits to reducing greenhouse gases from institutional purchasing by at least 50% by 2030. As part of that commitment, the City conducted its first annual inventory of lifecycle GHG emissions and other environmental impacts from purchasing goods and services. However this program is no longer being continued and furthered for future years. "
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"14-its-act-250701_150246.pdf,GM_2025_31185_ANNEX_1.pdf,electricitat-gpp2020_66634.pdf","Since 2018, Barcelona City council purchase green electricity for all its managed building and services, alongside many of its dependant bodies.\n\nLink: https://www.ajsosteniblebcn.cat/ca/electricitat_87950\n\nAlso, there are other 13 sectorial purchase instructions, for instance on paper, wood, electronic devices, vehicles, caterings, etc. All are attached and include many sustainability criteria.\n\nLink: https://www.ajsosteniblebcn.cat/ca/instruccions-de-contractacio_87901"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,https://www.cambridgeshire.gov.uk/business/business-with-the-council/sustainable-procurement-strategy
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,," Chicago adopted an updated Sustainable Development Policy (SDP) in December 2024 that sets minimum sustainability standards via a points-based system for City-assisted projects, explicitly promoting sustainable building methods and materials that decrease greenhouse gas emissions and improve public health. Projects approved after January 1, 2025 must comply with the 2024 SDP update, using either “Menu strategies” or a “Third-Party Certification + Menu” pathway. These requirements operationalize lower-carbon purchasing and materials selection across energy, transportation, waste, water, and public-health categories. Examples most relevant to consumption-based emissions include: Waste strategies (“80% Waste Diversion” and “80% Diversion + 10% Reuse”), procurement of cleaner construction/industrial equipment, and EV charging/EV-readiness for fleets and facilities, all of which embed lower-carbon purchasing decisions in project delivery. For more information see: https://www.chicago.gov/content/dam/city/depts/dcd/Projects/SDP_Handbook_December2024.pdf"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,exec25-nyccb.pdf,"The City is advancing the implementation of Climate Budgeting into procurement of all its goods and services. All agency requests for capital funding are evaluated for their impact on the City's emissions-reduction goals. This helps \nidentify areas of opportunity for exploring non-fossil-fuel systems where feasible. The City is also incorporating “Good Food Purchasing” program values in its food procurement. The Good Food Purchasing program encourages large institutions to use their buying power to support five core values: local economies, environmental sustainability, valued workforce, animal welfare, and nutrition. The city is integrating these values into agency food spending, which will ensure that city funds spent on food support individual, community, and planetary health. As of 2024, over 70 institutions (which encompass thousands of individual cafeteria sites, food service operations, and venues) in 25 major U.S. cities are enrolled in the Good Food Purchasing Program, representing over $1.1 billion in annual institutional food purchases. The purpose of NYC's GFP initiative is to increase transparency around the food that NYC agencies buy, prepare, and serve; ensure NYC food spend supports individual, planetary and community health; and drive positive change across local, regional, and global food system with the purchasing power of NYC\n\nMore info: https://www.nyc.gov/site/foodpolicy/good-food-purchasing/good-food-purchasing.page"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"The GLA Group annually procures around 9.5bn worth of products and services. The Mayor is committed to 'leading by example', using the scale and diversity of this public spending to improve the lives of Londoners, by creating a fairer and more environmentally sustainable city. (The GLA Group comprises City Hall, Transport for London, the Metropolitan Police, London Fire Brigade and the London Legacy Development Corporation). This is overseen by the GLA Group Responsible Procurement Policy, which includes an objective to enhance environmental impacts including whole-life carbon reduction. The GLA Group's Responsible Procurement Delivery Plan (2025-28) seeks to reduce supply chain emissions by requiring suppliers of contracts over £5m to produce emissions Carbon Reduction Statements,; identify carbon-reduction and climate resilience opportunities in carbon-intensive contracts; and reducing emissions from suppliers' plant equipment and vehicle deliveries. The Climate and Equalities Tool (the C&E Tool) has been developed by GLA staff in collaboration with staff at the University of Manchester Tyndall Centre's Centre for Climate Change and Social Transformations. The C&E Tool is a simple excel tool that staff are encouraged to use at the start of a new project. It shows the user how to assess the potential climate and equalities impacts of their work, and helps them to strengthen these or avoid unintended negative consequences during project development. The C&E Tool is designed to be applicable to all types and scales of projects, including procurement programmes. The Climate and Equalities teams also provide support, guidance and review to users across the GLA. The C&E Tool has been shared with other functional bodies in the GLA Group, as well as some boroughs and partners. We have published a generalised, public version of the C&E Tool for boroughs and partners https://data.london.gov.uk/dataset/climate---equalities-tool."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,climate-action-plan-2030.pdf,"The City's Climate Action Plan 2030 has a dedicated transition area called \'Promote consumption with a low carbon impact in the City's own organisation\' with a list of concrete actions. Environmental requirements must always be imposed in purchasing and procurement where justified and should aim to achieve the goals of the City Environment Programme. In addition, in several categories of purchases, the City is such a large purchaser that there are good opportunities to influence the supplier market in a certain direction, which also benefits other consumers. For procured transport services, many recent agreements state 100% renewable fuels as a requirement. The City also co-operates with other local, regional and national actors to align the requirements in order to push the suppliers. One tool the City uses is category-based purchasing, in which the City analyzes both the city's aggregated needs and purchasing patterns and the markets to gain better knowledge before procurement. This is also a way to train the many procurers in the City organisation.Other measures taken are that the City requires information on the total carbon footprint of new buildings, minimizes business travel by air and sets climate requirements for the purchase of food and meals in the City's operations. The foundations are laid down in the City's Purchase Programme."
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Procurement is continuing to ensure it is aligned to wider Council objectives and a key priority is to evolve our approach to Social Value and also to embed Climate and Ethical Procurement considerations within Commissioning and Procurement practice. The aim is to maximise every pound spent to benefit the residents and businesses of Essex and to support the organisational goal of reaching net zero by 2030. Essex County Council spends over £1.2bn per annum on goods, services and capital projects in order to run its operations. Working with the Carbon Trust, ECC has baselined these (Scope 3) emissions produced under our Purchased Goods & Services and Capital Goods. ECC has set out a procurement action plan, to gain more detailed measurements, incentivise reduction of emissions and to support our suppliers to understand, set and reach their own climate targets. To date ECC has achieved:•Inclusion of a requirement for climate to be considered in all tenders over £100,000, This may result in the supplier providing a Carbon Reduction Plan (CRP) which meets the requirements of central government's Procurement Policy Note 06/21. To lead by example, ECC will be producing an organisational CRP in line with these requirements. •We take account of Social Value when awarding most contracts. Social Value includes climate measures used to ensure that environmental benefits are taken into account when deciding which bid is successful. These measures have been updated for 2024. These benefit suppliers who support Circular Economy solutions through their supply chains, as well as reducing waste and monitoring fleet emissions. \n•Developing climate transition plans for our key emitting categories (Passenger Transport, Highways, Waste, Nursing & Residential Care, Homecare Services and Facilities Management & Property), as identified in our supplier emissions report. The procurement team will be working with service commissioners to understand the current context of their markets, what legislation will be impactful to drive climate action, key climate targets already in place and contract renewal dates. This will enable each category, or indeed contract, to have a specific action plan to reduce emissions throughout the life of the contracts, ideally by baselining contract specific emissions and allowing prospective suppliers to bid against reducing these. \n•Continuing to baseline contract specific emissions and develop measures to ensure that emissions are reduced throughout the contractual terms, where appropriate. Working with our suppliers, we are creating measurement tools specific to their market sector, running webinars and publishing information to support suppliers' understanding and transition to net zero. \n•Our supplier sustainability charter is being updated with clear targets in the environmental section and our procurement policy is being amended in line with ECC's wider ambitions. •A new environmental policy is being produced. This will cover buying standards as well as expectations for how the organisation meets the climate challenge. \n•Measurement of further Scope 3 emissions (Upstream and Downstream Transportation and Distribution, Waste Generated in Operations, Business Travel and Employee Commuting) will enable us to publish our own Carbon Reduction Plan for these key areas. https://www.essex.gov.uk/sites/default/files/2024-05/Procurement%20Strategy%20-%20April%202024.pdf"
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
