disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Landscape and Jurisdictional Approaches,City of Atlanta's Carbon Credit Program,Implementation,Other: Seeking to attract buyers.,Public finance- own budget|Carbon markets,"The City of Atlanta launched its urban forest carbon credit program in 2022 with the Lake Charlotte Nature Preserve Carbon Credit Project. This initiative preserves 196 acres of ecologically high value forest and has issued 36,265 Carbon Plus credits through a 40 year urban tree preservation protocol. The program is designed to generate revenue over more than four decades that supports preservation and stewardship, delivering co benefits in public health, air quality, stormwater management, and energy savings. Currently 27,717 credits are available for purchase, with credits issued annually at approximately 9,239 per year for 2023, 2024, and 2025.\n\nBuilding on this success, the City is now expanding the program to include four newly acquired forested nature preserve properties: Southwest Nature Preserve, Utoy Creek Nature Preserve, Mount Zion Nature Preserve, and South River Nature Preserve, totaling approximately 252 acres. These areas were acquired between late 2022 and 2023 through deed, park impact fees, and tree trust funds.\n\nThis expansion continues the strategy of leveraging carbon credit revenue to preserve mature urban canopies from development pressures, bolster climate resilience, and fund ecosystem stewardship. It aligns with broader City goals of enhancing equitable greenspace access within walking distance for all residents, advancing greenhouse gas reduction efforts, and strengthening resilience through nature based strategies. Importantly, this carbon credit model is structured to continue scaling across all future forested property acquisitions the City makes, encouraging ongoing preservation while also generating additional revenue that can be reinvested to compound environmental and community impact over time.\n\nThe City is actively seeking partners to purchase these premium Carbon Plus credits and help spread the word about their availability. By connecting with buyers who value high quality, community centered offsets, the City can accelerate reinvestment in further preservation and resilience projects. At the same time, Atlanta hopes that showcasing this model will inspire other local governments to launch similar initiatives, demonstrating how urban forest preservation can serve as both a climate mitigation tool and a revenue generating pathway to fund long term adaptation.\n\nProject documentation and credits available for purchase can be found here. Lake Charlotte Nature Preserve Carbon Credit Project Page : https://www.cityforestcredits.org/carbon-credits/carbon-registry/atlanta-forest-carbon-offsets/\n\nCity of Atlanta's Carbon Credit Program Expansion: https://www.cityforestcredits.org/carbon-credits/carbon-registry/city-of-atlanta-carbon-credit-program-2024/\n\n",,110000,,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Buildings,WeatheRISE Atlanta,Project structuring,Project partially funded and seeking additional funding,Public finance- national government,"The City of Atlanta has invested $2 million through the American Rescue Plan Act funds, which has aided in updating around 100+ homes with lighting, HVAC, insulation, and other issues with specific energy burdened neighbors and old buildings. This program has shifted to be run by three non-profits instead of the City: Greenlink Analytics, Sustainable Georgia Futures, and Partners in Action for Healthy Living (PAHL) to move this project forward to reduce energy burden in the city. \n\nSolar for All termination impacts: The City of Atlanta was expecting to receive an additional $2 million to support and scale WeatheRISE Atlanta's audits, energy efficiency retrofits, and pairing these with solar. However, just a few weeks ago the EPA terminated their contracts for all Solar For All grant recipients, so this is detrimental to scaling the impact and continued capacity to support this program. More funding is needed to reach the 10% energy burden reduction goal, but Google has donated $300,000 to support WeatheRISE Atlanta and the City has recently also invested an additional $200,000 from the Atlanta Community Energy Fund. However, new funding, partners, and models are needed to replace the funding gap in the wake of the sudden Solar For All contract terminations. \n\nLink: https://www.100atl.com/weatherise-atl",,2500000,2500000,Mitigation Action 13
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,7,Row 7,Transport,Moving Atlanta Forward: 2022 Infrastructure Package,Implementation,Project partially funded and seeking additional funding,Bonds|Other: penny tax,"Atlanta voters approved three ballot measures on May 24, 2022, that will make significant investments in the city's infrastructure and economy. The measures — two bonds and the renewal of a special sales tax — will put $750M toward vital transportation, recreation, public safety and arts projects across the city. The City of Atlanta has identified major infrastructure needs across streets, sidewalks, parks, recreation centers and public safety facilities. To make progress against these needs, the City of Atlanta has prepared a $750M infrastructure program for the next five years. Of this $750 million, $540 will be going to support increase and maintenance of bike and pedestrian infrastructure along with greenspace acquisition and maintenance, trails and transportation, complete streets and bridges. The comprehensive project list can be found at: https://www.atlantaga.gov/government/mayor-s-office/2022infrastructure",,750000000.0,750000000.0,Mitigation Action 8
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,8,Row 8,Water management,City of Atlanta Department of Watershed Management Environmental Impact Bond for Green Infrastructure ,Implementation,Other: Fully Funded,Bonds,"The EIB has provided $14M to implement green infrastructure and resilience projects on the city's west side, specifically in the Proctor Creek watershed. Redevelopment of disinvested urban areas, such as the Proctor Creek watershed, has the potential to create more impervious surfaces that contribute to stormwater runoff, water quality issues, and flooding during rainfall events. The Proctor Creek watershed neighborhoods are surrounded by acres of impervious areas and nestled in the predominantly African American, low-income communities of Vine City, English Avenue, and Historic Westin Heights-Bankhead. In order to build capacity in these marginalized communities, DWM is developing a hyper-local workforce strategy that provides training and employment to the people who live in and around the neighborhoods where these projects will be constructed. https://www.atlantawatershed.org/first-publicly-issued-environmental-impact-bond/",,14000000.0,,Adaptation Action 2
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,9,Row 9,Energy efficiency (including public lighting),Energy Efficiency Retrofits,Implementation,Project partially funded and seeking additional funding,Public-private partnership|Grants,"The City is seeking additional funding for municipal energy efficiency projects, funding has been supplied for a couple buildings to conduct an energy audit and implement measures to improve energy efficiency. The funding had been supplied through DOE's Energy Efficiency Conservation Block Grant (EECBG) and funding provided from Georgia Power to upgrade Fire Station 21, the fire department was very excited about the project and was seeking to expand, but the City does not have an identified source for continual funding.",,538000,5000000,Mitigation Action 3
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,10,Row 10,Renewable energy,BESS Emergency Backup,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Grants,"A goal for the Office of Sustainability & Resilience is to deploy resilience hubs by transitioning municipal facilities from fossil gas to PV & battery storage backup. Funding is currently being applied to through state Hazard Mitigation funding from FEMA. Currently, there is one resilience hub in Atlanta at a church that serves the community, Vicars Community Church of God, but not yet for a municipal facility. If awarded, the FEMA funding will go towards critical facilities in the City of Atlanta that need to continue operations in the case of an outage, such as warming and cooling centers. Additional funding is needed for facilities to transition to 100% clean energy and include a battery storage need.",,8566100,,Mitigation Action 6
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,11,Row 11,Renewable energy,Solar Atlanta,Implementation,Project partially funded and seeking additional funding,Public-private partnership|Public finance- own budget,"Solar Atlanta is the City's municipal solar power program on City-owned sites. Currently, looking to expand this across Atlanta's portfolio to reach 100% clean energy by 2035, specifically seeking funding for a capped landfill solar community energy project. This would be an alternative model to our Solar Energy Procurement Agreement (SEPA) and would include upfront capital needed to launch. The cost of the project would be $2.68M with Direct Pay incentives, without them the cost would drive up to $6.7M. ",,6700000,2680000,Mitigation Action 6
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,12,Row 12,Transport,Electric Vehicles and Electric Vehicle Charging Stations,Implementation,Project partially funded and seeking additional funding,Public-private partnership|Public finance- own budget|Grants,"As the City works to transition its fleet to zero emission and low emission vehicles, especially EV's, and lead, partner and support the installation of 250 new EV charging ports through 2025 as well as aligning with Climate Mayor's 500% increase in EV charging by 2030. \n\nAtlanta Fire Foundation's fleet forward campaign has purchased the first two EV emergency response vehicles (Rivian R1T's) for our Atlanta Fire Rescue Department's Fleet but is still raising in its $3 million capital goal to purchase the City first EV Fire Truck (Rosenbauer) \n\nCFI Grant: $11.8M (USDOT/FHWA CFI, announced Aug 27, 2024). Scope is a 50-port DC fast-charging hub at Hartsfield-Jackson Atlanta International Airport to serve rental fleets, rideshare, hotel shuttles, airport employees, City fleet (light-heavy duty), and the traveling public on adjacent interstates. Status: In early 2025, federal EV-charging funds were paused/frozen. Atlanta's CFI award remains treated as “frozen” pending clear federal direction on Georgia resumption, so the City is maintaining project readiness while the pause is resolved.\n\n3rd Party owned charging on City owned property model: A cost-neutral (potentially revenue-generating) partnership in which a private EV charging provider owns, finances, installs, operates, and maintains DCFC and L2 chargers on City sites and eligible right-of-way; the City grants site access/licenses and receives revenue share or site-host fees. This approach is consistent with established right-of-way licensing and public-private EVSE best practices used by peer cities. This is currently in the process of the City's procurement Department to move forward. \n\nCHDV Grant: The City of Atlanta was awarded $3.2 million through the EPA's Clean Heavy-Duty Vehicles (CHDV) program to accelerate the electrification of its municipal fleet. Under this grant, the City will deploy seven medium- and heavy-duty zero-emission vehicles (including refuse and utility trucks, a street sweeper, and transit-style shuttles) and seven 150-kW DC fast chargers across four priority municipal sites. An earlier proposal to electrify four Department of Aviation buses was deemed ineligible, reducing the total scope to seven vehicles and seven chargers. The project, known as EcoFleet ATL, will deliver measurable reductions in greenhouse gas and criteria pollutant emissions, improve air quality in overburdened neighborhoods, and build workforce capacity through mechanic and operator EV training. It also represents the City's first dedicated heavy-duty EV and DC fast charging deployments, serving as a foundation for scaling electrification across Atlanta's municipal fleet. However, rising tariff prices on both EVs and charging infrastructure have significantly increased project costs, making external funding (like Georgia Power's Make Ready Program) important to closing budget gaps and maximizing successful implementation. \n\n",,25000000,,Mitigation Action 1|Mitigation Action 8
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,13,Row 13,Transport,Trails ATL,Project structuring,Project partially funded and seeking additional funding,Loans from commercial banks|Private investment|Grants|Loans from International Financial Institutions|Public finance- own budget|Public-private partnership|Bonds,"The City of Atlanta formally adopted the Trails ATL master plan on June 16, 2025, through unanimous City Council approval, integrating it into the City's Comprehensive Development Plan and establishing the policy framework needed to move into implementation. As part of this bold 30 year vision, the plan targets a total network of 535 miles of multi use trails designed to connect neighborhoods, parks, schools, transit corridors, and greenways, ultimately enabling 95 percent of residents to access an \'all ages, all abilities\' trail within a 10 minute walk or wheelchair ride by 2052.\n\nPhase I of Trails ATL is scoped to deliver approximately 35 miles of new greenways and protected street trails spanning neighborhoods like Lakewood Heights, South Atlanta, Buckhead, and southwest Atlanta over a buildout decade from 2027 to 2037. This first phase carries an estimated price tag of $252 million, reflecting December 2024 labor and materials pricing, with some trails to include lighting but excluding costs for security cameras, real estate acquisition, easements, etc.\n\nTo date, while more than 100 miles of trails have already been completed or are currently funded through existing infrastructure, the Trails ATL plan remains reliant on securing dedicated funding. Proposed sources include local bonds or levies such as a Transportation Special Local Option Sales Tax (TSPLOST) anticipated for 2027, alongside state and federal grants, philanthropic contributions, and partnerships. These funding pathways are essential to launch Phase I and sustain the ongoing project conveyor belt strategy, ensuring design, permitting, and construction phases are continuously active.",,252000000,,Mitigation Action 8
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Transport,Project Connect,Implementation,Project partially funded and seeking additional funding,Loans from commercial banks|Public finance- national government|Private investment|Public finance- own budget|Bonds|Grants,"Project Connect will expand and improve our public transportation network for the entire Central Texas region, including new light rail, a subway under downtown and an accessible bus system to better connect neighborhoods in and outside our great city. Project Connect is designed to improve access to essential jobs, health care and education-making our communities more livable, equitable and sustainable. CapMetro and the City of Austin have formed the Austin Transit Partnership (ATP), an independent organization that will guide the Project Connect investment with transparency and accountability throughout the program. In 2023, after five options for a light rail plan were released, City Council, ATP, and CapMetro agreed on an initial alignment.",ProjectConnect.pdf,7800000000,4000000000,Mitigation Action 1
