disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Mechanisms used by jurisdiction to access finance for climate-related projects,col2_Comment,col3_Credit rating of jurisdiction,col4_Comment,col5_Decarbonising jurisdiction's investments,col6_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction uses carbon markets to help finance climate-related projects|Jurisdiction has established a fund to invest in climate-related projects|Jurisdiction access finance from national government funds, grants etc.","The City is utilizing all modes of generating climate-related investment, but is always open to additional ideas and models. Currently, the City is working with Sustainable Capital Advisors to develop the City's first \'climate budget.\'",Jurisdiction has a domestic credit rating|Jurisdiction has an international credit rating,"Atlanta holds an Issuer Default Rating (IDR) of \'AAA\' from Fitch Ratings, which is the highest credit rating offered. Additionally, the City has a bond rating of \'Aa1\' from Moody's.",Jurisdiction has taken steps to decarbonise municipal investments by investing in the low-carbon economy|Jurisdiction has taken steps to decarbonise municipal investments by divesting from fossil fuels,"In 2022, the City of Atlanta issued its first-ever social bonds, totaling $369 million, as part of a broader $410 million general obligation bond offering. The social bonds align with Environmental, Social, and Governance (ESG) principles, demonstrating the city's commitment to sustainable and socially responsible development."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction's own funds and budgetary means|Jurisdiction access finance from national government funds, grants etc.",Financing for climate work is primarily funded through local and national government resources. \n\nThe City is planning to ask voters for approval to issue General Obligation Bonds in Fall 2026. Climate staff have been involved in screening and rating projects for inclusion to ensure that climate is a consideration.,Jurisdiction has a domestic credit rating,City of Austin Bond Ratings are in good standing. https://data.austintexas.gov/Utilities-and-City-Services/Bond-Ratings/ewqz-mrzs,Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by engaging with portfolio companies to reduce emissions in their operations or investments,Not available
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction accesses finance from public-private partnerships|Jurisdiction access finance from national government funds, grants etc.|Jurisdiction partners with other jurisdictions to access finance|Jurisdiction accesses finance from Regional Development Banks|Jurisdiction has received or secured funding for climate-related projects from an International Financial Institution (e.g. World Bank, Asian Development Bank, etc.)","Barcelona City Council has access to various funding lines from the European Union to finance climate-related projects. Likewise, a line of subsidies for the climate is periodically launched (€200,000 every 2 years), aimed at city entities that promote projects of this type.",Jurisdiction has an international credit rating,-,"Other: Other, please specify",The Barcelona City Council is not investing in decarbonizing investments because it does not invest in fossil fuels. Work is currently underway on a climate assessment of the Carbon budget and on a Program for a Carbon Neutral City Council.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction has established a fund to invest in climate-related projects|Jurisdiction access finance from national government funds, grants etc.|Jurisdiction borrows from national government|Jurisdiction's own funds and budgetary means",,Jurisdiction does not have an international or domestic credit rating,,Do not know,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction access finance from national government funds, grants etc.|Jurisdiction has established a fund to invest in climate-related projects|Jurisdiction's own funds and budgetary means|Jurisdiction partners with other jurisdictions to access finance|Jurisdiction accesses finance from public-private partnerships|Jurisdiction issues municipal bonds","The City of Chicago issues general obligation bonds, uses City revenue, and attracts funding and grants from state and national sources to fund its climate, energy, and environmental projects.\n\nThe City looks forward to the working with the newly developed Illinois Finance Authority, the State's Climate Bank. The institution was established in accordance with the Climate and Equitable Jobs Act and will provide various financial services and products including, but not limited to EE revolving loan funds and grid resilience grants. Visit Illinois Finance Authority at https://www.il-fa.com/\n\nAdditionally, the City recognizes that intentional partnership with the electric utility company will provide meaningful investments in infrastructure and services that support to residents and business across the jurisdiction. Programs for energy audits, energy efficiency tools, and investments to support a just clean energy transition will be pursued through diverse funding sources.",Jurisdiction has an international credit rating|Jurisdiction has a domestic credit rating,BBB+ credit rating via S&P Global Ratings. Ba1 rating on City of Chicago outstanding general obligation tax bonds via Moody Investor Services. ,Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by engaging with portfolio companies to reduce emissions in their operations or investments,Chicago passed a municipal fund divestment ordinance in 2022. 
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction issues municipal bonds|Jurisdiction accesses finance from public-private partnerships|Jurisdiction has established a fund to invest in climate-related projects|Jurisdiction's own funds and budgetary means|Jurisdiction access finance from national government funds, grants etc."," Mayor Eric Adams introduced the city's first-ever climate budgeting publication through the city's Fiscal Year (FY) 2025 Executive Budget. Climate budgeting is a process that incorporates science-based climate considerations into the city's budget decision-making process by evaluating how actions and spending today contribute to meeting longer-term climate targets and needs. The process allows New York City to understand the climate impact of the dollars New York City spends, identify where more effort is needed to tackle climate change, and champion forward-looking investments. https://www.nyc.gov/office-of-the-mayor/news/327-24/mayor-adams-celebrates-launch-new-york-city-s-first-climate-budgeting-process\n\nTo see the NYC's executive climate budgets, do to --> https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting",Jurisdiction has a domestic credit rating|Jurisdiction has an international credit rating,https://www.nyc.gov/site/omb/publications/budget-reports.page?report=Climate%20Budgeting,Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by engaging with portfolio companies to reduce emissions in their operations or investments|Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by divesting from fossil fuels,"The initial focus areas for the city's Climate Budgeting process include achieving net-zero greenhouse gas (GHG) emissions citywide by 2050 while aligning with interim science-based emissions targets provided by the Intergovernmental Panel on Climate Change (IPCC) and bolstering citywide resilience to coastal and inland flooding and extreme heat. In managing toward these goals, Climate Budgeting will seek to prioritize equity considerations, reflect the best available science, and integrate local expertise, knowledge, and best practice through collaboration across city agencies."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction borrows from national government|Jurisdiction issues green bonds and/or climate bonds|Jurisdiction accesses finance from public-private partnerships|Jurisdiction access finance from national government funds, grants etc.|Jurisdiction's own funds and budgetary means|Jurisdiction has established a fund to invest in climate-related projects",Press release UKIB - https://www.ukib.org.uk/news/uk-infrastructure-bank-backs-capitals-green-finance-fund GFF - https://www.london.gov.uk/media-centre/mayors-press-releases/mayor-announces-new-ps100-million-fund-accelerate-london-wide-decarbonisation-partnership-leading-uk ,Jurisdiction has an international credit rating,"The GLA's Rating Agency is S&P Global Ratings. The GLA's credit rating is reviewed every six months, usually in March and September. The September 2023 Research Update was issued on 29 September 2023. This Research Update re-affirmed the GLA's long term issuer credit rating of 'AA' and the GLA's short term issuer crediting rating of 'A-1+' and maintained the stable outlook. ",Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by divesting from fossil fuels,"The Mayor has worked with the LPFA (London Pension Fund Authority) on a climate change policy covering combined assets of just under 10 billion. The fund has divested from all extractive fossil fuels and it agrees to no longer consider new active investments in extractive fossil fuel companies and for the fund to implement its policy on climate change from 2021. The Mayor has also worked with the LPFA in developing a net zero by 2050 portfolio plan, with interim targets for 2030 - including 75% reductions in carbon emissions from the LPFA portfolio and a target for proportion of the fund investing in climate solutions. The LPFA has been making good progress towards this interim target, and has been steadily increasing green investments. To continue building on its green credentials the LPFA in June 2025 set a new target of 5% of its portfolio (~£400 million) to be dedicated to climate solutions. The Mayor is also calling on London boroughs to follow his lead and divest from fossil fuels.https://www.london.gov.uk/what-we-do/environment/climate-change/zero-carbon-london/divestment-and-green-investment"
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction has received or secured funding for climate-related projects from an International Financial Institution (e.g. World Bank, Asian Development Bank, etc.)|Jurisdiction access finance from national government funds, grants etc.|Jurisdiction's own funds and budgetary means|Jurisdiction has established a fund to invest in climate-related projects",The city has established an internal banking function in order to structure the financing.,Jurisdiction has an international credit rating,Standard & Poor*s AAA/Stable/A-1+ ,Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by engaging with portfolio companies to reduce emissions in their operations or investments|Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by divesting from fossil fuels,The city has an integrated routine for following-up the results of the climate efforts
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction has established a fund to invest in climate-related projects|Jurisdiction access finance from national government funds, grants etc.|Jurisdiction borrows from national government|Jurisdiction's own funds and budgetary means",,Jurisdiction does not have an international or domestic credit rating,,Jurisdiction has taken steps to decarbonise municipal investments by divesting from fossil fuels|Jurisdiction has taken steps to decarbonise municipal investments by investing in the low-carbon economy|Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by investing in the low-carbon economy,"•The Essex Pension Fund - for which ECC is the administering authority - recognises both its responsibility to be a trusted investor and the range of potential long-term risks associated with climate change that the Fund, as a long-term investor, faces. The Investment Steering Committee has appointed specialist external managers to a range of investment mandates. The financial impact of issues, including climate change, forms one part of the process that determines the investments made on the Fund's behalf. The Committee continues to review its Responsible Investment (RI) Policy and RI Beliefs - which includes climate change - to ensure that the Fund's mandates are aligned and have an aspiration to be net zero by 2050. As a result, the Fund recently, in collaboration with its Index Tracking Manager, launched a new Environmental, Social and Governance (ESG) global Equity Sustainable Transition Fund and has made a £100 million commitment to the Stafford Carbon Offset Opportunity Fund. In addition, the Committee has agreed a set of Climate Change Metrics in line with the Taskforce on Climate-Related Financial Disclosures (TCFD) regulations. \n•The Essex Renewal Fund supports land and property projects in Essex and the investment principles include a commitment to net zero and climate resilience. The fund is part of our commitment to good jobs, future growth and investment, green growth and levelling up the economy. Over the next 20 years, the fund aims to invest over £100m, (subject to affordability) supporting 1,500 jobs and bringing to market enough land to deliver 1,000 new homes.\n"
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q9.4,Report the factors that support climate-related investment and financial planning in your jurisdiction.,1,Response,"Jurisdiction access finance from national government funds, grants etc.|Jurisdiction issues municipal bonds|Jurisdiction accesses finance from public-private partnerships|Jurisdiction's own funds and budgetary means",IIJA and IRA are new funding sources for climate action spending,Jurisdiction has a domestic credit rating,,Jurisdiction has taken steps to decarbonise the investments held by the jurisdiction retirement funds by divesting from fossil fuels,
