disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,54408,Aarhus Municipality,City,Europe,Denmark,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58485,"Abington Township, PA",58485,"Abington Township, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027930,Ahome,2027930,Ahome,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,848122,Alajuela,848122,Alajuela,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50374,Alcaldia Distrital de Cartagena de Indias,50374,Alcaldia Distrital de Cartagena de Indias,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54608,Alcaldia de Montería,54608,Alcaldia de Montería,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54617,Alcaldia de Pereira,54617,Alcaldia de Pereira,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,69968,Alcaldia de Rionegro,69968,Alcaldia de Rionegro,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54613,Alcaldia de Valdivia,54613,Alcaldia de Valdivia,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Amended,Public,No Response
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60381,Alcaldía Distrital de Santa Marta,60381,Alcaldía Distrital de Santa Marta,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54637,Alcaldía de Cuenca,54637,Alcaldía de Cuenca,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60385,Alcaldía de Villavicencio,60385,Alcaldía de Villavicencio,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60384,Alcaldía de Yopal,60384,Alcaldía de Yopal,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,929501,Algarrobo,929501,Algarrobo,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,919723,Alvesta Municipality,919723,Alvesta Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50375,Ayuntamiento de Chihuahua,50375,Ayuntamiento de Chihuahua,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826129,Ayuntamiento de Jesús María,826129,Ayuntamiento de Jesús María,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50369,Ayuntamiento de San Luis Potosí,50369,Ayuntamiento de San Luis Potosí,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60009,Bacolod City,60009,Bacolod City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,60003,Baguio City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54349,Balikpapan City Government,54349,Balikpapan City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59956,Banda Aceh City Government,59956,Banda Aceh City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74302,Bandar Lampung City,74302,Bandar Lampung City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,49385,Bandung City,49385,Bandung City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73771,Banjarmasin City,73771,Banjarmasin City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2027923,Barva,2027923,Barva,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59996,Batangas City,59996,Batangas City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,74698,Beira,74698,Beira,City,UKWW,Mozambique,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,31054,Belfast City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74346,Bengkulu City,74346,Bengkulu City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54492,Bergen Municipality,54492,Bergen Municipality,City,Europe,Norway,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58866,Beşiktaş Municipality,58866,Beşiktaş Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840113,Bhavnagar Municipal Corporation,840113,Bhavnagar Municipal Corporation,City,India,India,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,1850,Birmingham City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,841525,Blackburn with Darwen Borough Council,841525,Blackburn with Darwen Borough Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60102,Blackpool Council,60102,Blackpool Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,62407,Blacktown City Council,62407,Blacktown City Council,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862909,"Blaine County, ID",862909,"Blaine County, ID",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54329,Bogor City Government,54329,Bogor City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834058,Bogor Regency,834058,Bogor Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,31154,Bogotá Distrito Capital,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73752,Bontang City,73752,Bontang City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74414,"Boulder County, CO",74414,"Boulder County, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,917883,Brecon Beacons National Park Authority,917883,Brecon Beacons National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012301,Broads National Park Authority,2012301,Broads National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",63941,"Broward County, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,917886,Broxtowe Borough Council,917886,Broxtowe Borough Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,44076,Bursa Metropolitan Municipality,44076,Bursa Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840155,Calapan City,840155,Calapan City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,60104,Cambridge City Council,60104,Cambridge City Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
